Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,2:07.516,Xander,,<1,43.518,42.160,41.838,7-3-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,2:07.503,Peka,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,2:07.038,Limit,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,2:06.306,Limit,,1,-,-,-,-,-,-,-,-,-
2017-04-29,2:06.259,Peka,,<1,43.368,41.614,41.277,7-3-0,1-1-1,Morton,Streetle,Crimson Slim,Plane Glider
2017-04-29,2:05.858,X treme,,<1,43.210,41.449,41.199,7-3-0,1-1-1,Heavy Mii,W 25 Silver Arrow,Roller,Super Glider
2017-04-29,2:05.858,とれいん。,,<1,43.255,41.435,41.168,7-3-0,1-1-1,Morton,W 25 Silver Arrow,Roller,Plane Glider
2017-04-29,2:05.723,とれいん。,,<1,43.231,41.313,41.179,7-3-0,1-1-1,Morton,W 25 Silver Arrow,Roller,Plane Glider
2017-04-29,2:05.594,Peka,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,2:05.514,X treme,,<1,43.149,41.261,41.104,7-3-0,1-1-1,Wario,W 25 Silver Arrow,Roller,Plane Glider
2017-04-29,2:05.484,Peka,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,2:05.428,Peka,,<1,43.073,41.309,41.046,7-3-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Plane Glider
2017-04-29,2:05.364,Peka,,<1,-,-,-,7-3-0,1-1-1,Wario,Mach 8,Azure Roller,Plane Glider
2017-04-29,2:05.354,X treme,,1,43.072,41.283,40.999,7-3-0,1-1-1,Wario,W 25 Silver Arrow,Roller,Plane Glider
2017-04-30,2:05.351,Peka,,<1,-,-,-,-,-,-,-,-,-
2017-04-30,2:05.348,Peka,,1,-,-,-,-,-,-,-,-,-
2017-05-01,2:05.339,X treme,,<1,43.091,41.117,41.131,7-3-0,1-1-1,Wario,W 25 Silver Arrow,Roller,Plane Glider
2017-05-01,2:05.305,K4I,,<1,43.032,41.286,40.987,-,-,Morton,Mach 8,Azure Roller,Plane Glider
2017-05-01,2:05.239,K4I,,<1,42.944,41.194,41.101,7-3-0,1-1-1,Bowser,Sports Coupe,Azure Roller,Plane Glider
2017-05-01,2:05.178,K4I,,2,43.041,41.121,41.016,7-3-0,1-1-1,Bowser,Sports Coupe,Azure Roller,Plane Glider
2017-05-03,2:05.132,とれいん。,,<1,42.957,41.186,40.989,7-3-0,1-1-1,Wario,Sports Coupe,Roller,Plane Glider
2017-05-03,2:05.002,とれいん。,,<1,-,-,-,-,-,-,-,-,-
2017-05-03,2:04.975,Peka,,1,42.965,41.116,40.894,7-3-0,1-1-1,Wario,Sports Coupe,Azure Roller,Plane Glider
2017-05-04,2:04.969,とれいん。,,1,42.930,41.110,40.929,7-3-0,1-1-1,Wario,Sports Coupe,Azure Roller,Plane Glider
2017-05-05,2:04.842,とれいん。,,4,42.832,41.050,40.960,7-3-0,1-1-1,Wario,Sports Coupe,Roller,Plane Glider
2017-05-09,2:04.812,とれいん。,,1,42.858,41.062,40.892,7-3-0,1-1-1,Wario,Sports Coupe,Roller,Plane Glider
2017-05-10,2:04.615,とれいん。,,29,42.808,40.996,40.811,7-3-0,1-1-1,Wario,Sports Coupe,Leaf Tires,Plane Glider
2017-06-08,2:04.547,とれいん。,,5,42.746,40.976,40.825,7-3-0,1-1-1,Wario,Sports Coupe,Leaf Tires,Plane Glider
