Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:55.937,Xander,,1,39.741,38.265,37.931,8-2-0,1-1-1,Wario,Streetle,Slim,Super Glider
2017-04-29,1:55.720,Ren,,4,39.736,37.986,37.998,8-2-0,1-1-1,Morton,Mach 8,Roller,Plane Glider
2017-05-03,1:55.521,Tyler,,<1,39.733,37.968,37.820,8-2-0,1-1-1,Morton,W 25 Silver Arrow,Azure Roller,Plane Glider
2017-05-03,1:55.206,Ren,,<1,39.837,37.792,37.577,9-1-0,0-1-2,Wario,Mach 8,Roller,Cloud Glider
2017-05-03,1:55.170,Ren,,1,39.708,37.991,37.471,7-3-0,0-1-2,Morton,W 25 Silver Arrow,Roller,Super Glider
2017-05-04,1:54.903,Ren,,<1,39.730,37.868,37.305,7-3-0,0-1-2,Morton,W 25 Silver Arrow,Roller,Super Glider
2017-05-04,1:54.825,Ren,,14,39.621,37.636,37.568,8-2-0,0-2-1,Morton,W 25 Silver Arrow,Roller,Super Glider
2017-05-18,1:54.725,Leus,,<1,39.553,38.006,37.166,9-1-0,0-1-2,Heavy Mii Varia,W 25 Silver Arrow,Azure Roller,Hylian Kite
2017-05-18,1:54.667,Tyler,,<1,39.744,37.834,37.089,8-2-0,0-1-2,Morton,W 25 Silver Arrow,Azure Roller,Super Glider
2017-05-18,1:54.502,Ren,,2,39.812,37.550,37.140,9-1-0,0-1-2,Morton,W 25 Silver Arrow,Roller,Super Glider
2017-05-20,1:54.449,Ren,,1,39.779,37.543,37.127,9-1-0,0-1-2,Heavy Mii Mario,W 25 Silver Arrow,Roller,Paper Glider
2017-05-21,1:54.142,Ren,,1,39.623,37.416,37.103,9-1-0,0-1-2,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-05-22,1:53.784,Ren,,2,39.646,37.383,36.755,9-1-0,0-1-2,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-05-24,1:53.717,Ren,,19,39.590,37.397,36.730,9-1-0,0-1-2,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-06-12,1:53.682,Lyte,,<1,39.136,37.470,37.076,9-1-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Leaf Tires,Paper Glider
2017-06-12,1:53.554,Ren,,3,39.117,37.173,37.264,10-0-0,1-1-1,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-06-15,1:53.415,Ren,,3,39.034,37.167,37.214,10-0-0,1-1-1,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-06-18,1:53.237,Ren,,174,39.004,37.116,37.117,10-0-0,1-1-1,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-12-09,1:53.219,Carson,,<1,38.966,37.121,37.132,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-12-09,1:53.212,Ren,,1,38.929,37.072,37.211,10-0-0,1-1-1,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-12-10,1:53.183,Carson,,<1,38.944,37.176,37.063,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-12-10,1:53.124,Ren,,1,38.920,37.037,37.167,10-0-0,1-1-1,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-12-11,1:53.099,Ren,,11,38.895,37.197,37.007,10-0-0,1-1-1,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-12-22,1:53.084,K4I,,1,38.999,37.121,36.964,10-0-0,1-1-1,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Super Glider
2017-12-23,1:53.058,Ren,,3,38.930,37.178,36.950,9-1-0,1-1-1,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-12-26,1:53.034,Ren,,1,38.954,37.106,36.974,10-0-0,1-1-1,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2017-12-27,1:52.970,Ren,,220,38.899,37.093,36.978,10-0-0,1-1-1,Heavy Mii Mario,W 25 Silver Arrow,Leaf Tires,Hylian Kite
2018-08-04,1:52.963,RubenD,,2,38.909,37.039,37.015,10-0-0,1-1-1,Heavy Mii Pacman,W 25 Silver Arrow,Leaf Tires,Paraglider
2018-08-06,1:52.680,Carson,,96,39.249,36.727,36.704,10-0-0,1-1-1,Yoshi,Biddybuggy,Roller,Paper Glider
2018-11-10,1:52.518,K4I,,9,39.124,36.927,36.467,9-1-0,1-1-1,Yoshi,Biddybuggy,Azure Roller,Paper Glider
2018-11-19,1:52.516,K4I,,141,39.076,36.871,36.569,9-1-0,1-1-1,Tanooki Mario,Biddybuggy,Azure Roller,Cloud Glider
2019-04-09,1:52.408,K4I,,423,39.080,36.825,36.503,10-0-0,1-1-1,Yoshi,Biddybuggy,Azure Roller,Cloud Glider
2020-06-05,1:52.373,K4I,,108,38.885,36.955,36.533,9-1-0,1-1-1,King Boo,Biddybuggy,Azure Roller,Paper Glider
