Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:49.907,SeLe,,<1,37.722,36.251,35.934,9-1-0,1-1-1,Morton,Streetle,Slim,Super Glider
2017-04-28,1:49.883,Joel,,<1,37.729,35.989,36.165,9-1-0,1-1-1,Dry Bowser,Streetle,Standard,Super Glider
2017-04-28,1:49.747,Joel,,<1,37.814,36.159,35.774,9-1-0,1-1-1,Dry Bowser,Streetle,Standard,Super Glider
2017-04-28,1:49.717,Joel,,<1,37.738,36.165,35.814,9-1-0,1-1-1,Dry Bowser,Streetle,Standard,Super Glider
2017-04-28,1:49.647,Joel,,<1,37.845,35.895,35.907,9-1-0,1-1-1,Dry Bowser,Streetle,Standard,Plane Glider
2017-04-28,1:49.041,まさしん,,<1,37.514,35.774,35.753,9-1-0,1-1-1,Dry Bowser,Streetle,Standard,Plane Glider
2017-04-28,1:49.029,Joel,,<1,37.391,35.948,35.690,9-1-0,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-04-28,1:48.978,Joel,,<1,37.425,35.839,35.714,9-1-0,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-04-28,1:48.852,Joel,,<1,37.395,35.721,35.736,9-1-0,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-04-28,1:48.707,Joel,,<1,37.281,35.777,35.649,9-1-0,1-1-1,Wario,Streetle,Azure Roller,Super Glider
2017-04-28,1:48.433,Joel,,<1,37.363,35.689,35.381,9-1-0,1-1-1,Dry Bowser,Streetle,Azure Roller,Super Glider
2017-04-28,1:47.824,Dragnir,,1,37.279,35.253,35.292,9-1-0,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-04-29,1:47.816,Joel,,<1,37.199,35.330,35.287,9-1-0,1-1-1,Dry Bowser,Streetle,Azure Roller,Super Glider
2017-04-29,1:47.741,まさしん,,<1,37.182,35.480,35.079,9-1-0,1-1-1,Wario,Streetle,Roller,Super Glider
2017-04-29,1:47.692,Dragnir,,<1,37.255,35.299,35.138,9-1-0,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
