Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,2:06.418,7step,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,2:06.196,Xander,,<1,42.875,41.811,41.510,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,2:06.120,れいぜ,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,2:06.077,Xander,,<1,43.008,41.554,41.515,-,-,Wario,Streetle,Slim,Super Glider
2017-04-28,2:05.766,れいぜ,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,2:04.859,カニ,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,2:04.851,K4I,,<1,42.669,41.119,41.063,10-0-0,1-1-1,Morton,W 25 Silver Arrow,Slim,Parachute
2017-04-28,2:03.980,ぺんぎんさむらい,,2,-,-,-,-,-,-,-,-,-
2017-04-30,2:02.700,ぺんぎんさむらい,,<1,41.827,40.443,40.430,10-0-0,1-1-1,Dry Bowser,Comet,Azure Roller,Cloud Glider
2017-04-30,2:02.160,ぺんぎんさむらい,,3,41.611,40.347,40.202,10-0-0,1-1-1,Roy,Comet,Roller,Cloud Glider
2017-05-03,2:02.119,ぺんぎんさむらい,,<1,41.591,40.255,40.273,10-0-0,1-1-1,Roy,Yoshi Bike,Roller,Paper Glider
2017-05-03,2:02.071,ぺんぎんさむらい,,1,41.625,40.189,40.257,10-0-0,1-1-1,Morton,Comet,Roller,Cloud Glider
2017-05-04,2:01.945,ぺんぎんさむらい,,46,41.468,40.228,40.249,10-0-0,1-1-1,Morton,Comet,Roller,Cloud Glider
2017-06-19,2:01.932,Danny,,<1,41.462,40.352,40.118,10-0-0,1-1-1,Wario,Yoshi Bike,Azure Roller,Cloud Glider
2017-06-19,2:01.851,Danny,,4,41.516,40.231,40.104,10-0-0,1-1-1,Wario,Yoshi Bike,Azure Roller,Cloud Glider
2017-06-23,2:01.827,ぺんぎんさむらい,,15,41.393,40.255,40.179,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Cloud Glider
2017-07-08,2:01.798,Lyte,,1,41.454,40.218,40.126,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2017-07-09,2:01.773,ぺんぎんさむらい,,1,41.435,40.184,40.154,10-0-0,1-1-1,Donkey Kong,Comet,Roller,Cloud Glider
2017-07-10,2:01.754,ぺんぎんさむらい,,22,41.444,40.122,40.188,10-0-0,1-1-1,Donkey Kong,Comet,Roller,Cloud Glider
2017-08-01,2:01.713,ぺんぎんさむらい,,<1,41.367,40.262,40.084,10-0-0,1-1-1,Donkey Kong,Comet,Roller,Cloud Glider
2017-08-01,2:01.603,ぺんぎんさむらい,,163,41.440,40.098,40.065,10-0-0,1-1-1,Donkey Kong,Comet,Roller,Cloud Glider
2018-01-11,2:01.597,ふうすけ,,1,41.374,40.098,40.125,10-0-0,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2018-01-12,2:01.571,Ryan's,,4,41.280,40.141,40.150,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Paper Glider
2018-01-16,2:01.567,Ryan's,,<1,41.305,40.183,40.079,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Paper Glider
2018-01-16,2:01.519,Ryan's,,1,41.317,40.082,40.120,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Paper Glider
2018-01-17,2:01.360,Alice,,<1,41.174,40.080,40.106,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2018-01-17,2:01.273,Ryan's,,1,41.336,39.958,39.979,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Paper Glider
2018-01-18,2:01.122,Alice,,2,41.108,39.975,40.039,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2018-01-20,2:01.092,ちゃあああ,,1,41.107,40.033,39.952,10-0-0,1-1-1,Waluigi,Biddybuggy,Roller,Cloud Glider
2018-01-21,2:01.057,Alice,,4,41.171,40.009,39.877,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2018-01-25,2:00.984,ちゃあああ,,1,41.090,40.009,39.885,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Paper Glider
2018-01-26,2:00.914,ちゃあああ,,<1,41.247,39.782,39.885,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Flower Glider
2018-01-26,2:00.829,ちゃあああ,,185,41.125,39.806,39.898,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Parachute
2018-07-30,2:00.774,ちゃあああ,,88,41.210,39.716,39.848,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2018-10-26,2:00.736,ふうすけ,,1,41.027,39.835,39.874,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Paper Glider
2018-10-27,2:00.487,ちゃあああ,,297,41.046,39.706,39.735,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Azure Roller,Flower Glider
2019-08-20,2:00.476,そうめん,,25,40.937,39.779,39.760,10-0-0,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2019-09-14,2:00.417,ちゃあああ,,1,41.029,39.718,39.670,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Cloud Glider
2019-09-15,2:00.332,そうめん,,1,40.937,39.664,39.731,10-0-0,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2019-09-16,2:00.317,そうめん,,2,40.988,39.650,39.679,10-0-0,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2019-09-18,2:00.264,そうめん,,5,40.891,39.663,39.710,10-0-0,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2019-09-23,2:00.195,そうめん,,5,40.891,39.640,39.664,10-0-0,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2019-09-28,2:00.066,ちゃあああ,,1,40.951,39.473,39.642,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Paper Glider
2019-09-29,2:00.049,そうめん,,4,40.948,39.594,39.507,10-0-0,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2019-10-03,1:59.915,そうめん,,446,40.790,39.537,39.588,10-0-0,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2020-12-22,1:59.889 ,Alberto,,<1,40.758,39.517,39.614,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2020-12-22,1:59.623 ,Alberto,,305,40.751,39.478,39.394,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Azure Roller,Paper Glider
2021-10-23,1:59.610 ,しらぬい,,1,40.726,39.394,39.490,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2021-10-24,1:59.427 ,しらぬい,,255,40.692,39.347,39.388,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-07-06,1:59.407 ,Alberto,,39,40.773,39.340,39.294,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-08-14,1:59.320 ,しらぬい,,2,40.716,39.275,39.329,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-08-16,1:59.224 ,しらぬい,,88,40.727,39.290,39.207,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-11-12,1:59.183 ,Pii,,7,40.676,39.259,39.248,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
