Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-12-07,1:11.818 ,Technical,,<1,21.116,28.650,22.052,5-4-1,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-07,1:11.711 ,Technical,,<1,21.066,28.650,21.995,5-4-1,1-1-1,Bowser,Mach 8,Crimson Slim,Gold Glider
2022-12-07,1:11.652 ,Technical,,<1,21.116,28.567,21.969,5-4-1,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-07,1:11.526 ,Technical,,<1,21.116,28.517,21.893,5-4-1,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-07,1:11.354 ,Technical,,1,21.033,28.467,21.854,5-4-1,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-08,1:11.333 ,Technical,,<1,21.050,28.500,21.783,5-4-1,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-08,1:11.285 ,Technical,,<1,21.033,28.467,21.785,5-4-1,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-08,1:11.217 ,Technical,,<1,20.983,28.483,21.751,5-4-1,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-08,1:11.206 ,Technical,,<1,21.033,28.383,21.790,5-4-1,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-08,1:11.133 ,Technical,,<1,21.033,28.500,21.600,5-4-1,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-08,1:10.991 ,Technical,,<1,21.100,28.333,21.558,5-4-1,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-08,1:10.927 ,Technical,,<1,21.116,28.284,21.527,5-5-0,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-08,1:10.879 ,Technical,,<1,21.083,28.350,21.446,5-5-0,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-08,1:10.734 ,Technical,,1,21.050,28.233,21.451,5-5-0,1-1-1,Wario,Mach 8,Crimson Slim,Gold Glider
2022-12-09,1:10.713 ,Technical,,<1,21.016,28.200,21.497,5-5-0,1-1-1,Wario,Mach 8,Crimson Slim,Wario Wing
2022-12-09,1:10.666 ,Technical,,1,21.050,28.116,21.500,5-5-0,1-1-1,Wario,Mach 8,Crimson Slim,Wario Wing
2022-12-10,1:10.649 ,Technical,,<1,21.033,28.117,21.499,5-5-0,1-1-1,Wario,W 25 Silver Arrow,Crimson Slim,Wario Wing
2022-12-10,1:10.605 ,Technical,,<1,21.033,28.167,21.405,5-5-0,1-1-1,Wario,W 25 Silver Arrow,Crimson Slim,Wario Wing
2022-12-10,1:10.509 ,Technical,,1,20.983,28.100,21.426,5-5-0,1-1-1,Wario,W 25 Silver Arrow,Crimson Slim,Wario Wing
2022-12-11,1:10.506 ,Technical,,<1,20.933,28.183,21.390,5-5-0,1-1-1,Wario,W 25 Silver Arrow,Crimson Slim,Wario Wing
2022-12-11,1:10.344 ,Technical,,4,20.950,27.966,21.428,5-5-0,1-1-1,Wario,W 25 Silver Arrow,Crimson Slim,Wario Wing
2022-12-15,1:10.341 ,Technical,,2,20.916,28.084,21.341,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Crimson Slim,Gold Glider
2022-12-17,1:10.262 ,Technical,,3,20.916,27.967,21.379,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Crimson Slim,Gold Glider
2022-12-20,1:10.192 ,Technical,,1,20.933,27.900,21.359,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Crimson Slim,Gold Glider
2022-12-21,1:10.165 ,Technical,,<1,20.900,27.916,21.349,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Crimson Slim,Gold Glider
2022-12-21,1:10.090 ,Technical,,1,20.833,27.817,21.440,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Crimson Slim,Gold Glider
2022-12-22,1:10.061 ,Technical,,1,20.800,27.866,21.395,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Crimson Slim,Gold Glider
2022-12-23,1:10.039 ,Technical,,<1,20.816,27.867,21.356,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Crimson Slim,Gold Glider
2022-12-23,1:09.977 ,Technical,,11,20.766,27.850,21.361,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Wood,Gold Glider
2023-01-03,1:09.931 ,Technical,,1,20.800,27.783,21.348,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Wood,Plane Glider
2023-01-04,1:09.915 ,Technical,,2,20.783,27.783,21.349,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Wood,Plane Glider
2023-01-06,1:09.907 ,Technical,,3,20.783,27.800,21.324,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Wood,Plane Glider
2023-01-09,1:09.881 ,Technical,,18,20.800,27.766,21.315,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Wood,Super Glider
2023-01-27,1:09.857 ,Technical,,18,20.850,27.716,21.291,5-5-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Wood,Super Glider
