Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-12-07,1:29.470,Euan,,<1,31.205,29.137,29.128,8-2-0,1-1-1,Wario,Teddy Buggy,Azure Roller,Gold Glider
2022-12-07,1:29.318,Euan,,<1,31.049,29.245,29.024,8-2-0,1-1-1,Wario,Teddy Buggy,Azure Roller,Gold Glider
2022-12-07,1:29.259,Euan,,<1,31.075,29.223,28.961,8-2-0,1-1-1,Bowser,Teddy Buggy,Azure Roller,Gold Glider
2022-12-07,1:29.112,Panda,,1,30.938,29.264,28.910,8-2-0,1-1-1,Wario,Teddy Buggy,Azure Roller,Wario Wing
2022-12-08,1:29.094,Euan,,<1,31.018,29.127,28.949,8-2-0,1-1-1,Heavy Mii Toad,Teddy Buggy,Azure Roller,Gold Glider
2022-12-08,1:29.052 ,Panda,,<1,31.038,29.175,28.839,7-2-0,1-1-1,Wario,Teddy Buggy,Azure Roller,Wario Wing
2022-12-08,1:29.013 ,Panda,,<1,30.993,29.162,28.858,7-2-0,1-1-1,Wario,Teddy Buggy,Azure Roller,Wario Wing
2022-12-08,1:28.954 ,Panda,,<1,31.024,29.076,28.854,7-2-0,1-1-1,Wario,Teddy Buggy,Azure Roller,Wario Wing
2022-12-08,1:28.952,Panda,,<1,30.963,29.090,28.899,8-2-0,1-1-1,Wario,Teddy Buggy,Azure Roller,Wario Wing
2022-12-08,1:28.703 ,Panda,,<1,30.778,29.042,28.883,8-2-0,1-1-1,Wario,Teddy Buggy,Azure Roller,Wario Wing
2022-12-08,1:28.698 ,grace,,1,30.864,28.917,28.917,8-2-0,1-1-1,Dry Bowser,Teddy Buggy,Cushion,Wario Wing
2022-12-09,1:28.686 ,grace,,<1,30.842,28.919,28.925,8-2-0,1-1-1,Dry Bowser,Teddy Buggy,Sponge,Wario Wing
2022-12-09,1:28.633 ,grace,,<1,30.839,28.921,28.873,8-2-0,1-1-1,Dry Bowser,Teddy Buggy,Cushion,Wario Wing
2022-12-09,1:28.609 ,grace,,<1,30.868,28.908,28.833,8-2-0,1-1-1,Dry Bowser,Teddy Buggy,Cushion,Wario Wing
2022-12-09,1:28.548 ,grace,,<1,30.846,28.913,28.789,8-2-0,1-1-1,Dry Bowser,Teddy Buggy,Cushion,Gold Glider
2022-12-09,1:28.405 ,grace,,1,30.710,28.873,28.822,8-2-0,1-1-1,Dry Bowser,Teddy Buggy,Cushion,Gold Glider
2022-12-10,1:28.358 ,grace,,1,30.702,28.885,28.771,8-2-0,1-1-1,Dry Bowser,Teddy Buggy,Cushion,Gold Glider
2022-12-11,1:28.311 ,EternalX,,<1,30.686,28.823,28.802,9-1-0,1-1-1,Dry Bowser,Teddy Buggy,Cushion,Wario Wing
2022-12-11,1:28.279 ,grace,,<1,30.684,28.833,28.762,9-1-0,1-1-1,Dry Bowser,Teddy Buggy,Cushion,Gold Glider
2022-12-11,1:28.126 ,EternalX,,1,30.671,28.836,28.619,8-2-0,1-1-1,Dry Bowser,Teddy Buggy,Cushion,Gold Glider
2022-12-12,1:28.114 ,Panda,,<1,30.668,28.751,28.695,8-2-0,1-1-1,Wario,Teddy Buggy,Cushion,Wario Wing
2022-12-12,1:28.073 ,Panda,,<1,30.658,28.797,28.618,8-2-0,1-1-1,Wario,Teddy Buggy,Cushion,Wario Wing
2022-12-12,1:28.071 ,Panda,,<1,30.651,28.828,28.592,9-1-0,1-1-1,Wario,Teddy Buggy,Cushion,Wario Wing
2022-12-12,1:28.070 ,Panda,,<1,30.636,28.722,28.712,8-2-0,1-1-1,Wario,Teddy Buggy,Cushion,Wario Wing
2022-12-12,1:28.049 ,Panda,,1,30.692,28.737,28.620,8-2-0,1-1-1,Wario,Teddy Buggy,Cushion,Wario Wing
2022-12-13,1:27.893 ,Panda,,5,30.552,28.759,28.582,8-2-0,1-1-1,Wario,Teddy Buggy,Cushion,Wario Wing
2022-12-18,1:27.892 ,EternalX,,<1,30.543,28.745,28.604,8-2-0,1-1-1,Wario,Teddy Buggy,Cushion,Wario Wing
2022-12-18,1:27.842 ,EternalX,,1,30.521,28.739,28.582,8-2-0,1-1-1,Wario,Teddy Buggy,Cushion,Wario Wing
2022-12-19,1:27.763 ,EternalX,,<1,30.543,28.691,28.529,8-2-0,1-1-1,Wario,Teddy Buggy,Cushion,Wario Wing
2022-12-19,1:27.680 ,EternalX,,7,30.501,28.605,28.574,8-2-0,1-1-1,Wario,Teddy Buggy,Cushion,Wario Wing
2022-12-26,1:27.667,grace,,<1,30.658,28.530,28.479,8-2-0,1-1-1,Wario,Yoshi Bike,Sponge,Wario Wing
2022-12-26,1:27.625,grace,,2,30.633,28.529,28.463,8-2-0,1-1-1,Wario,Yoshi Bike,Sponge,Wario Wing
2022-12-28,1:27.577,EternalX,,16,30.467,28.606,28.504,8-2-0,1-1-1,Dry Bowser,Teddy Buggy,Cushion,Plane Glider
2023-01-13,1:27.567,grace,,6,30.658,28.521,28.388,8-2-0,1-1-1,Wario,Yoshi Bike,Sponge,Wario Wing
2023-01-19,1:27.539,grace,,10,30.593,28.511,28.435,8-2-0,1-1-1,Wario,Yoshi Bike,Sponge,Gold Glider
2023-01-29,1:27.528,grace,,1,30.602,28.485,28.441,8-2-0,1-1-1,Dry Bowser,Yoshi Bike,Sponge,Gold Glider
2023-01-30,1:27.474,grace,,15,30.560,28.461,28.453,8-2-0,1-1-1,Wario,Yoshi Bike,Sponge,Gold Glider
