Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-03-17,0:57.512,Beta,,<1,20.965,18.293,18.254,10-0-0,1-1-1,Wario,Prancer,Wood,Wario Wing
2022-03-17,0:57.505,alpha,,<1,21.030,18.211,18.264,10-0-0,1-1-1,Wario,Sneeker,Slim,Wario Wing
2022-03-17,0:57.472,Army,,<1,20.933,18.254,18.285,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-03-17,0:57.436,alpha,,<1,20.890,18.330,18.216,10-0-0,1-1-1,Wario,Sneeker,Slim,Wario Wing
2022-03-17,0:57.426,Army,,<1,20.831,18.302,18.293,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-03-17,0:57.363,Army,,<1,20.882,18.285,18.196,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-03-17,0:57.265,Army,,1,20.877,18.240,18.148,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-03-18,0:57.118,Army,,<1,20.790,18.155,18.173,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-03-18,0:56.917,Army,,<1,20.807,18.072,18.038,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-03-18,0:56.892,Army,,<1,20.836,18.012,18.044,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-03-18,0:56.892,そうめん,,<1,20.729,18.093,18.070,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Super Glider
2022-03-18,0:56.857,Army,,<1,20.821,18.055,17.981,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-03-18,0:56.786,Army,,<1,20.747,18.020,18.019,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-03-18,0:56.742,Army,,2,20.741,18.017,17.984,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-03-20,0:56.741,grace,,<1,20.727,18.040,17.974,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-03-20,0:56.688,Army,,6,20.742,17.985,17.961,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-03-26,0:56.625,Army,,32,20.704,17.958,17.963,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-04-27,0:56.607,Army,,1,20.741,17.927,17.939,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-04-28,0:56.584,Army,,9,20.711,17.933,17.940,10-0-0,1-1-1,Wario,Sneeker,Crimson Slim,Gold Glider
2022-05-07,0:56.572,Army,,1,20.679,17.947,17.946,10-0-0,1-1-1,Wario,Prancer,Crimson Slim,Gold Glider
2022-05-08,0:56.569,Army,,<1,20.687,17.935,17.947,10-0-0,1-1-1,Wario,Prancer,Crimson Slim,Gold Glider
2022-05-08,0:56.556,Army,,<1,20.701,17.933,17.922,10-0-0,1-1-1,Wario,Prancer,Crimson Slim,Gold Glider
2022-05-08,0:56.547,Army,,<1,20.678,17.939,17.930,10-0-0,1-1-1,Wario,Prancer,Crimson Slim,Gold Glider
2022-05-08,0:56.535,Army,,37,20.668,17.942,17.925,10-0-0,1-1-1,Wario,Prancer,Crimson Slim,Gold Glider
2022-06-14,0:56.489,Army,,245,20.658,17.895,17.936,10-0-0,1-1-1,Wario,Prancer,Crimson Slim,Super Glider
