Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:20.180,Wariuzzo,,<1,28.186,26.043,25.951,-,-,Pink Gold Peach,City Tripper,Slick,Peach Parasol
2017-04-28,1:16.180,Wariuzzo,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:16.074,Danny,,1,26.437,25.243,24.394,6-4-0,1-1-1,Wario,Splat Buggy,Slim,Super Glider
2017-04-29,1:15.669,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:14.655,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:13.922,Poker,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:13.524,TTyler,,1,-,-,-,-,-,-,-,-,-
2017-04-30,1:13.447,Poker,,<1,-,-,-,-,-,-,-,-,-
2017-04-30,1:13.324,TTyler,,<1,25.544,23.933,23.847,10-0-0,1-1-1,Morton,Streetle,Leaf Tires,Super Glider
2017-04-30,1:13.211,Poker,,<1,-,-,-,-,-,-,-,-,-
2017-04-30,1:13.149,X treme,,<1,25.516,23.855,23.778,10-0-0,1-1-1,Morton,Streetle,Roller,Plane Glider
2017-04-30,1:12.844,Poker,,1,25.390,23.760,23.694,10-0-0,1-1-1,Heavy Mii Splatoon,Streetle,Leaf Tires,Plane Glider
2017-05-01,1:12.755,X treme,,5,25.322,23.713,23.720,10-0-0,1-1-1,Wario,Pipe Frame,Roller,Plane Glider
2017-05-06,1:12.646,X treme,,2,25.312,23.683,23.651,10-0-0,1-1-1,Wario,Pipe Frame,Azure Roller,Plane Glider
2017-05-08,1:12.459,X treme,,18,25.237,23.652,23.570,10-0-0,1-1-1,Heavy Mii DK,Pipe Frame,Azure Roller,Parachute
2017-05-26,1:12.447,Jimmy,,33,25.211,23.613,23.623,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Azure Roller,Cloud Glider
2017-06-28,1:12.432,George,,4,25.450,23.460,23.522,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Azure Roller,Cloud Glider
2017-07-02,1:12.425,Poker,,<1,25.319,23.526,23.580,10-0-0,1-1-1,Heavy Mii Crossing,Pipe Frame,Azure Roller,Cloud Glider
2017-07-02,1:12.370,George,,<1,25.288,23.572,23.510,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Roller,Cloud Glider
2017-07-02,1:12.367,George,,1,25.276,23.544,23.547,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Roller,Cloud Glider
2017-07-03,1:12.360,George,,<1,25.365,23.489,23.506,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Roller,Cloud Glider
2017-07-03,1:12.263,George,,<1,25.239,23.488,23.536,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Roller,Cloud Glider
2017-07-03,1:12.155,Jimmy,,48,25.145,23.439,23.571,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Azure Roller,Cloud Glider
2017-08-20,1:12.051,ちーちゃん,,5,25.170,23.431,23.450,10-0-0,1-1-1,Wario,Pipe Frame,Roller,Super Glider
2017-08-25,1:12.028,Mon,,1,25.244,23.375,23.409,10-0-0,1-1-1,Wario,Teddy Buggy,Azure Roller,Super Glider
2017-08-26,1:12.013,Jimmy,,<1,25.175,23.494,23.344,10-0-0,1-1-1,Dry Bowser,Teddy Buggy,Azure Roller,Super Glider
2017-08-26,1:12.010,Jimmy,,<1,25.119,23.422,23.469,10-0-0,1-1-1,Dry Bowser,Cat Cruiser,Azure Roller,Super Glider
2017-08-26,1:11.982,Jimmy,,1,25.122,23.397,23.463,10-0-0,1-1-1,Dry Bowser,Cat Cruiser,Azure Roller,Super Glider
2017-08-27,1:11.926,Jimmy,,2,25.165,23.380,23.381,10-0-0,1-1-1,Dry Bowser,Teddy Buggy,Azure Roller,Super Glider
2017-08-29,1:11.788,Jimmy,,45,25.043,23.362,23.383,10-0-0,1-1-1,Dry Bowser,Teddy Buggy,Azure Roller,Super Glider
2017-10-13,1:11.785,CreepGanon,,2,25.129,23.347,23.309,10-0-0,1-1-1,Dry Bowser,Wild Wiggler,Azure Roller,Cloud Glider
2017-10-15,1:11.776,Jimmy,,6,25.057,23.362,23.357,10-0-0,1-1-1,Dry Bowser,Teddy Buggy,Azure Roller,Super Glider
2017-10-21,1:11.758,CreepGanon,,<1,25.128,23.334,23.296,10-0-0,1-1-1,Dry Bowser,Wild Wiggler,Azure Roller,Cloud Glider
2017-10-21,1:11.746,Jimmy,,30,25.076,23.308,23.362,10-0-0,1-1-1,Dry Bowser,Teddy Buggy,Azure Roller,Super Glider
2017-11-20,1:11.686,CreepGanon,,205,25.095,23.285,23.306,10-0-0,1-1-1,Dry Bowser,Wild Wiggler,Azure Roller,Cloud Glider
2018-06-13,1:11.674,おまえモナー,,42,24.985,23.306,23.383,10-0-0,1-1-1,Dry Bowser,Cat Cruiser,Azure Roller,Super Glider
2018-07-25,1:11.615,Kevin,,1,25.102,23.259,23.254,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2018-07-26,1:11.598,Kevin,,<1,25.017,23.284,23.297,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2018-07-26,1:11.567,Kevin,,1,25.064,23.270,23.233,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2018-07-27,1:11.519,Kevin,,2,25.038,23.293,23.188,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2018-07-29,1:11.514,Kevin,,<1,25.051,23.244,23.219,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2018-07-29,1:11.502,Kevin,,1,25.051,23.227,23.224,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2018-07-30,1:11.499,Kevin,,37,25.028,23.253,23.218,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2018-09-05,1:11.491,4laps2win,,129,24.957,23.239,23.295,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2019-01-12,1:11.488,Kevin,,1,24.942,23.269,23.277,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2019-01-13,1:11.470,Kevin,,<1,24.958,23.242,23.270,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2019-01-13,1:11.462,Kevin,,<1,24.993,23.240,23.229,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2019-01-13,1:11.448,Kevin,,2,24.955,23.283,23.210,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2019-01-15,1:11.442,Kevin,,2,24.909,23.283,23.250,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2019-01-17,1:11.430,Kevin,,1,24.961,23.262,23.207,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2019-01-18,1:11.418,Kevin,,<1,24.967,23.206,23.245,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2019-01-18,1:11.398,Kevin,,260,24.898,23.215,23.285,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2019-10-05,1:11.398,CreepGanon,,<1,24.958,23.229,23.211,10-0-0,1-1-1,Dry Bowser,Wild Wiggler,Azure Roller,Paper Glider
2019-10-05,1:11.397,CreepGanon,,1,24.992,23.203,23.202,10-0-0,1-1-1,Dry Bowser,Wild Wiggler,Azure Roller,Paper Glider
2019-10-06,1:11.386,4laps2win,,3,24.888,23.265,23.233,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2019-10-09,1:11.365,CreepGanon,,<1,24.969,23.218,23.178,10-0-0,1-1-1,Dry Bowser,Wild Wiggler,Azure Roller,Paper Glider
2019-10-09,1:11.340,4laps2win,,<1,24.892,23.270,23.178,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2019-10-09,1:11.331,CreepGanon,,3,24.941,23.172,23.218,10-0-0,1-1-1,Dry Bowser,Wild Wiggler,Azure Roller,Paper Glider
2019-10-12,1:11.271,4laps2win,,48,24.870,23.169,23.232,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2019-11-29,1:11.249,CreepGanon,,169,24.886,23.183,23.180,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Azure Roller,Paper Glider
2020-05-16,1:11.246,4laps2win,,<1,24.859,23.206,23.181,10-0-0,1-1-1,Heavy Mii Hylian,Teddy Buggy,Azure Roller,Waddle Wing
2020-05-16,1:11.236,4laps2win,,108,24.857,23.209,23.170,10-0-0,1-1-1,Heavy Mii Hylian,Teddy Buggy,Azure Roller,Waddle Wing
2020-09-01,1:11.207,4laps2win,,35,24.853,23.161,23.193,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2020-10-06,1:11.181,CreepGanon,,12,24.874,23.151,23.156,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Azure Roller,Paper Glider
2020-10-18,1:11.175,4laps2win,,<1,24.858,23.156,23.161,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2020-10-18,1:11.159,4laps2win,,6,24.859,23.146,23.154,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2020-10-24,1:11.134,4laps2win,,1,24.840,23.126,23.168,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2020-10-25,1:11.129,4laps2win,,72,24.835,23.164,23.130,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2021-01-05,1:11.083,4laps2win,,7,24.815,23.164,23.104,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2021-01-12,1:11.068,4laps2win,,17,24.851,23.092,23.125,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2021-01-29,1:11.065,4laps2win,,1,24.839,23.106,23.120,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2021-01-30,1:11.001,4laps2win,,85,24.829,23.089,23.083,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2021-04-25,1:10.997,4laps2win,,161,24.810,23.110,23.077,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2021-10-03,1:10.923 ,Alberto,,71,24.773,23.050,23.100,10-0-0,1-1-1,Heavy Mii Mega Man,Teddy Buggy,Azure Roller,Super Glider
2021-12-13,1:10.913,4laps2win,,40,24.767,23.067,23.079,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Waddle Wing
2022-01-22,1:10.911 ,Alberto,,3,24.778,23.085,23.048,10-0-0,1-1-1,Heavy Mii Mega Man,Teddy Buggy,Azure Roller,Super Glider
2022-01-25,1:10.888 ,4laps2win,,<1,24.787,23.030,23.071,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
2022-01-25,1:10.761 ,4laps2win,,385,24.754,23.015,22.992,10-0-0,1-1-1,Heavy Mii Crossing,Teddy Buggy,Azure Roller,Super Glider
