Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2017-04-28,1:05.400,chun,,<1,24.100,16.883,24.417,7-0-3,2-0-1,Bowser,Splat Buggy,Slim,MKTV Parafoil
2017-04-28,1:05.133,Luigi_Fan2,,<1,24.116,16.834,24.183,10-0-0,2-0-1,Wario,Splat Buggy,Slim,Super Glider
2017-04-28,1:04.850,Luigi_Fan2,,<1,24.133,16.383,24.334,10-0-0,2-0-1,Wario,Splat Buggy,Slim,Super Glider
2017-04-28,1:04.650,Jimmy,,<1,24.100,16.450,24.100,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-04-28,1:04.433,Jimmy,,<1,23.950,16.233,24.250,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-04-28,1:03.933,Jimmy,,<1,23.866,16.367,23.700,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-04-28,1:03.800,Jimmy,,3,23.783,16.233,23.784,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-05-01,1:03.633,Luigi_Fan2,,<1,24.100,16.033,23.500,10-0-0,1-1-1,Wario,Splat Buggy,Slim,Wario Wing
2017-05-01,1:03.450,Jimmy,,1,24.250,15.750,23.450,10-0-0,1-1-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-05-02,1:03.400,Jimmy,,<1,23.966,15.834,23.600,10-0-0,1-1-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-05-02,1:03.366,Jimmy,,1,23.966,15.867,23.533,10-0-0,1-1-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-05-03,1:03.316,Jimmy,,<1,23.983,15.883,23.450,10-0-0,1-1-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-05-03,1:03.316,けい,,<1,23.833,15.967,23.516,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-05-03,1:03.200,Jimmy,,<1,23.983,15.783,23.434,10-0-0,1-1-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-05-03,1:03.150,Jimmy,,<1,23.933,15.817,23.400,10-0-0,1-1-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-05-03,1:03.083,Jimmy,,7,23.916,15.750,23.417,10-0-0,1-1-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-05-10,1:02.916,Jimmy,,<1,23.233,16.100,23.583,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Super Glider
2017-05-10,1:02.833,Jimmy,,<1,23.200,16.283,23.350,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Super Glider
2017-05-10,1:02.733,Jimmy,,4,23.266,16.050,23.417,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Super Glider
2017-05-14,1:02.716,Jimmy,,1,23.200,16.033,23.483,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Super Glider
2017-05-15,1:02.616,Jimmy,,4,23.250,16.016,23.350,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Super Glider
2017-05-19,1:02.600,けい,,1,23.300,15.933,23.367,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-05-20,1:02.583,けい,,<1,23.233,16.000,23.350,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-05-20,1:02.483,Jimmy,,<1,23.116,15.934,23.433,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Super Glider
2017-05-20,1:02.450,Jimmy,,<1,23.216,15.900,23.334,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Super Glider
2017-05-20,1:02.416,Jimmy,,1,23.116,15.884,23.416,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Super Glider
2017-05-21,1:02.283,Jimmy,,1,23.116,15.900,23.267,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Cloud Glider
2017-05-22,1:02.250,Jimmy,,1,23.183,15.817,23.250,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Cloud Glider
2017-05-23,1:02.183,Jimmy,,20,23.116,15.834,23.233,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Cloud Glider
2017-06-12,1:02.133,Jimmy,,<1,23.016,15.767,23.350,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Cloud Glider
2017-06-12,1:02.083,Jimmy,,<1,23.000,15.850,23.233,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Cloud Glider
2017-06-12,1:02.033,Jimmy,,<1,22.933,15.883,23.217,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Cloud Glider
2017-06-12,1:02.016,Jimmy,,<1,22.983,15.783,23.250,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Cloud Glider
2017-06-12,1:01.916,Jimmy,,12,22.916,15.817,23.183,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Cloud Glider
2017-06-17,1:01.916,ポッチ,,7,22.883,15.783,23.250,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Cloud Glider
2017-06-24,1:01.883,ポッチ,,17,22.816,15.800,23.267,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Cloud Glider
2017-07-11,1:01.866,ポッチ,,2,22.866,15.784,23.216,10-0-0,2-0-1,Dry Bowser,Splat Buggy,Crimson Slim,Cloud Glider
2017-07-13,1:01.816,ポッチ,,1,22.800,15.800,23.216,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2017-07-14,1:01.733,ポッチ,,4,22.783,15.733,23.217,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2017-07-14,1:01.733,たこゾー,,4,22.833,15.767,23.133,10-0-0,2-0-1,Dry Bowser,Inkstriker,Crimson Slim,Cloud Glider
2017-07-18,1:01.700,ポッチ,,14,22.766,15.784,23.150,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2017-08-01,1:01.700,Miguel,,<1,22.866,15.800,23.034,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2017-08-01,1:01.616,ポッチ,,16,22.750,15.683,23.183,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2017-08-04,1:01.616,Miguel,,13,22.850,15.716,23.050,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2017-08-17,1:01.583,Miguel,,10,22.816,15.700,23.067,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2017-08-27,1:01.500,ポッチ,,65,22.750,15.700,23.050,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2017-10-13,1:01.500,Miguel,,18,22.800,15.683,23.017,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2017-10-31,1:01.466,Miguel,,7,22.750,15.683,23.033,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2017-11-07,1:01.450,Miguel,,56,22.750,15.666,23.034,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2018-01-02,1:01.433,Miguel,,71,22.766,15.650,23.017,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2018-03-12,1:01.433,ポッチ,,2,22.733,15.667,23.033,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2018-03-14,1:01.416,ポッチ,,4,22.700,15.683,23.033,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Cloud Glider
2018-03-18,1:01.383,ポッチ,,327,22.683,15.667,23.033,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Paper Glider
2019-02-08,1:01.366,ポッチ,,36,22.733,15.650,22.983,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Paper Glider
2019-03-16,1:01.333,ポッチ,,7,22.683,15.700,22.950,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Paper Glider
2019-03-23,1:01.316,ポッチ,,10,22.733,15.633,22.950,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Paper Glider
2019-04-02,1:01.283,ポッチ,,3,22.700,15.633,22.950,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Paper Glider
2019-04-05,1:01.266,ポッチ,,78,22.683,15.617,22.966,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Paper Glider
2019-06-22,1:01.183,オトヒメ,,3,22.700,15.450,23.033,10-0-0,2-0-1,Wario,Inkstriker,Wood,Paper Glider
2019-06-25,1:01.150,ポッチ,,3,22.700,15.416,23.034,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Paper Glider
2019-06-28,1:01.116,ポッチ,,<1,22.633,15.450,23.033,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Paper Glider
2019-06-28,1:01.066,ポッチ,,17,22.666,15.400,23.000,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Paper Glider
2019-07-15,1:01.033,ポッチ,,22,22.650,15.400,22.983,10-0-0,2-0-1,Dry Bowser,Inkstriker,Wood,Paper Glider
2019-08-06,1:01.016,Jimmy,,18,22.600,15.366,23.050,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2019-08-22,1:01.016,ポッチ,,2,22.600,15.383,23.033,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2019-08-24,1:01.000,Jimmy,,<1,22.633,15.433,22.934,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2019-08-24,1:00.983,ポッチ,,2,22.583,15.383,23.017,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2019-08-26,1:00.983,Miguel,,<1,22.600,15.400,22.983,10-0-0,2-0-1,Dry Bowser,Mach 8,Button,Cloud Glider
2019-08-26,1:00.950,ポッチ,,14,22.633,15.400,22.917,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2019-09-06,1:00.950,オトヒメ,,3,22.650,15.383,22.917,10-0-0,2-0-1,Wario,Mach 8,Leaf Tires,Paper Glider
2019-09-09,1:00.916,Jimmy,,7,22.583,15.333,23.000,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2019-09-14,1:00.916,ポッチ,,2,22.600,15.316,23.000,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2019-09-16,1:00.900,ポッチ,,3,22.583,15.350,22.967,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2019-09-19,1:00.883,ポッチ,,1,22.600,15.316,22.967,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2019-09-20,1:00.866,ポッチ,,<1,22.583,15.350,22.933,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2019-09-20,1:00.850,ポッチ,,6,22.566,15.367,22.917,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2019-09-26,1:00.833,オトヒメ,,33,22.566,15.334,22.933,10-0-0,2-0-1,Wario,Mach 8,Leaf Tires,Paper Glider
2019-10-23,1:00.833,アーモンド,,6,22.516,15.384,22.933,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2019-10-29,1:00.816,アーモンド,,7,22.516,15.350,22.950,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2019-11-05,1:00.750,アーモンド,,165,22.516,15.350,22.884,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2020-04-18,1:00.750,Ronny,,<1,22.500,15.366,22.884,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2020-04-18,1:00.733,Ronny,,67,22.466,15.317,22.950,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2020-06-24,1:00.700,Ronny,,3,22.500,15.316,22.884,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2020-06-27,1:00.666,Ronny,,420,22.483,15.333,22.850,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2021-04-30,1:00.666,アーモンド,,113,22.466,15.334,22.866,10-0-0,2-0-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2021-08-21,1:00.650 ,Ronny,,1,22.483,15.300,22.867,10-0-0,2-0-1,Heavy Mii Cpt Falcon,Mach 8,Leaf Tires,Paper Glider
2021-08-22,1:00.633 ,Ronny,,273,22.483,15.317,22.833,10-0-0,2-0-1,Heavy Mii Crossing,Mach 8,Leaf Tires,Paper Glider
2022-05-01,1:00.633 ,alpha,,21,22.466,15.317,22.850,10-0-0,2-0-1,Wario,Sports Coupe,Button,Cloud Glider
