Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:27.027,Issem,,1,30.304,27.926,28.797,8-0-2,1-2-0,King Boo,Pipe Frame,Slim,Parachute
2017-04-29,1:26.784,Issem,,<1,30.420,27.643,28.721,8-1-0,1-2-0,King Boo,Streetle,Slim,Super Glider
2017-04-29,1:25.738,ハゼル,,<1,29.891,27.771,28.076,-,-,Black Yoshi,Streetle,Roller,Parachute
2017-04-29,1:25.687,ハゼル,,1,29.756,27.820,28.111,10-0-0,1-1-1,Black Yoshi,Streetle,Roller,Parachute
2017-04-30,1:25.672,Issem,,<1,29.720,27.678,28.274,9-0-1,1-1-1,Yellow Yoshi,Streetle,Roller,Parachute
2017-04-30,1:25.430,Issem,,2,29.834,27.650,27.946,9-0-1,1-1-1,Yellow Yoshi,Streetle,Roller,Parachute
2017-05-02,1:24.861,Issem,,3,29.575,27.716,27.570,8-0-2,1-1-1,Orange Inkling Girl,Streetle,Roller,Cloud Glider
2017-05-05,1:23.995,Issem,,18,29.318,27.205,27.472,9-1-0,1-1-1,King Boo,Pipe Frame,Roller,Cloud Glider
2017-05-23,1:23.921,Power,,<1,29.399,27.071,27.451,10-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-23,1:23.816,Power,,<1,29.337,27.054,27.425,9-0-1,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-23,1:23.446,Power,,<1,29.372,27.013,27.061,10-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-23,1:23.204,Power,,1,29.266,26.875,27.063,10-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-24,1:23.072,Power,,<1,29.274,26.904,26.894,10-0-0,1-1-1,Roy,Pipe Frame,Roller,Cloud Glider
2017-05-24,1:23.057,Power,,<1,29.165,27.053,26.839,10-0-0,1-1-1,Roy,Pipe Frame,Roller,Cloud Glider
2017-05-24,1:23.033,Power,,9,29.151,26.880,27.002,10-0-0,1-1-1,Roy,Pipe Frame,Roller,Cloud Glider
2017-06-02,1:23.026,vxlocity,,1,29.112,26.951,26.963,10-0-0,1-1-1,Waluigi,Pipe Frame,Azure Roller,Cloud Glider
