Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,2:05.964,Mattew,,<1,43.013,41.306,41.645,10-0-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Super Glider
2017-04-28,2:05.113,うひ,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,2:05.110,さくやん,,<1,42.926,41.105,41.079,10-0-0,1-1-1,Bowser,Circuit Special,Slim,Plane Glider
2017-04-28,2:05.014,Shaun,,<1,42.982,40.908,41.124,10-0-0,1-1-1,Morton,Circuit Special,Slim,Super Glider
2017-04-28,2:04.998,Shaun,,<1,42.992,40.951,41.055,10-0-0,1-1-1,Morton,Circuit Special,Slim,Super Glider
2017-04-28,2:04.441,Shaun,,<1,42.845,40.715,40.881,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,2:04.399,Shaun,,<1,42.858,40.743,40.798,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,2:04.361,Shaun,,<1,42.724,40.875,40.762,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,2:04.284,Shaun,,<1,42.757,40.686,40.841,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,2:04.214,Shaun,,<1,42.826,40.634,40.754,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,2:04.114,Shaun,,<1,42.770,40.588,40.756,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,2:04.036,Shaun,,<1,42.715,40.538,40.783,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,2:03.966,Shaun,,1,42.720,40.467,40.779,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-29,2:03.895,さくやん,,<1,42.607,40.350,40.938,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Plane Glider
2017-04-29,2:03.870,うひ,,<1,42.539,40.620,40.711,10-0-0,1-1-1,Bowser,Splat Buggy,Crimson Slim,Super Glider
2017-04-29,2:03.806,Shaun,,<1,42.681,40.635,40.490,9-1-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-29,2:03.740,Shaun,,<1,42.590,40.668,40.482,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-29,2:03.712,さくやん,,<1,42.522,40.541,40.649,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Plane Glider
2017-04-29,2:03.692,Shaun,,<1,42.574,40.586,40.532,10-0-0,1-1-1,Bowser,Splat Buggy,Slim,Super Glider
2017-04-29,2:03.605,うひ,,<1,42.555,40.479,40.571,10-0-0,1-1-1,Bowser,Splat Buggy,Crimson Slim,Super Glider
2017-04-29,2:03.564,Shaun,,<1,42.585,40.528,40.451,10-0-0,1-1-1,Bowser,Splat Buggy,Slim,Super Glider
2017-04-29,2:03.559,Shaun,,<1,42.527,40.560,40.472,10-0-0,1-1-1,Bowser,Splat Buggy,Roller,Super Glider
2017-04-29,2:03.501,Shaun,,<1,42.511,40.562,40.428,10-0-0,1-1-1,Bowser,Splat Buggy,Roller,Super Glider
2017-04-29,2:03.489,Shaun,,<1,42.462,40.510,40.517,10-0-0,1-1-1,Bowser,Splat Buggy,Roller,Super Glider
2017-04-29,2:03.432,Shaun,,1,42.502,40.371,40.559,9-1-0,1-1-1,Bowser,Splat Buggy,Roller,Super Glider
2017-04-30,2:03.374,もぺち,,<1,42.345,40.435,40.594,-,1-1-1,Wario,W 25 Silver Arrow,Roller,Paper Glider
2017-04-30,2:03.350,Shaun,,<1,42.471,40.425,40.454,-,1-1-1,Bowser,Wild Wiggler,Roller,Super Glider
2017-04-30,2:03.331,さくやん,,1,42.432,40.285,40.614,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Roller,Cloud Glider
2017-05-01,2:03.290,もぺち,,<1,-,-,-,-,-,-,-,-,-
2017-05-01,2:03.193,うひ,,<1,42.350,40.296,40.547,-,1-1-1,Dry Bowser,Wild Wiggler,Roller,MKTV Parafoil
2017-05-01,2:03.001,うひ,,<1,42.367,40.141,40.493,-,1-1-1,Dry Bowser,Wild Wiggler,Roller,Cloud Glider
2017-05-01,2:02.767,うひ,,4,42.256,40.160,40.351,10-0-0,1-1-1,Dry Bowser,Wild Wiggler,Roller,Cloud Glider
2017-05-05,2:02.749,Shaun,,<1,42.274,40.231,40.244,9-1-0,1-1-1,Heavy Mii,Wild Wiggler,Roller,Plane Glider
2017-05-05,2:02.741,Shaun,,<1,42.338,40.069,40.334,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Roller,Plane Glider
2017-05-05,2:02.700,Shaun,,<1,42.244,40.178,40.278,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Roller,Plane Glider
2017-05-05,2:02.665,Shaun,,<1,42.374,40.094,40.197,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Roller,Plane Glider
2017-05-05,2:02.625,Shaun,,<1,42.305,40.081,40.239,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Roller,Plane Glider
2017-05-05,2:02.614,Shaun,,<1,42.334,40.023,40.257,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Roller,Plane Glider
2017-05-05,2:02.582,Shaun,,1,42.324,40.027,40.231,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Roller,Plane Glider
2017-05-06,2:02.490,Shaun,,<1,42.221,39.980,40.289,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-06,2:02.449,Shaun,,<1,42.202,39.999,40.248,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-06,2:02.397,Shaun,,2,42.221,40.014,40.162,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-08,2:02.374,Shaun,,<1,42.099,40.155,40.120,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-08,2:02.326,Shaun,,<1,42.199,39.968,40.159,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-08,2:02.245,Shaun,,<1,42.160,40.071,40.014,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-08,2:02.178,Shaun,,1,42.178,39.939,40.061,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-09,2:02.167,Shaun,,<1,42.118,40.067,39.982,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-09,2:02.095,Shaun,,<1,42.113,40.074,39.908,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-09,2:02.072,Shaun,,<1,42.118,40.011,39.943,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-09,2:02.046,Shaun,,1,42.141,39.982,39.923,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-10,2:02.005,Shaun,,<1,42.135,39.985,39.885,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-10,2:01.830,Shaun,,18,42.089,40.016,39.725,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-28,2:01.826,うひ,,1,42.067,39.938,39.821,10-0-0,1-1-1,Dry Bowser,Sports Coupe,Azure Roller,Plane Glider
2017-05-29,2:01.631,Shaun,,<1,42.047,39.854,39.730,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Leaf Tires,Plane Glider
2017-05-29,2:01.567,Shaun,,1,42.026,39.901,39.640,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Leaf Tires,Plane Glider
2017-05-30,2:01.564,Shaun,,<1,42.043,39.787,39.734,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Leaf Tires,Plane Glider
2017-05-30,2:01.535,Shaun,,<1,42.068,39.889,39.578,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Leaf Tires,Plane Glider
2017-05-30,2:01.445,Shaun,,<1,42.016,39.826,39.603,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Leaf Tires,Plane Glider
2017-05-30,2:01.396,Shaun,,1,41.998,39.857,39.541,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Leaf Tires,Plane Glider
2017-05-31,2:01.372,Shaun,,<1,42.031,39.876,39.465,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Leaf Tires,Plane Glider
2017-05-31,2:01.364,Shaun,,<1,41.966,39.897,39.501,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Leaf Tires,Plane Glider
2017-05-31,2:01.331,Shaun,,<1,41.987,39.824,39.520,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Leaf Tires,Plane Glider
2017-05-31,2:01.309,Shaun,,101,41.973,39.855,39.481,10-0-0,1-1-1,Heavy Mii,Sports Coupe,Leaf Tires,Plane Glider
2017-09-09,2:01.276,Shaun,,1,41.943,39.790,39.543,10-0-0,1-1-1,Heavy Mii,Mach 8,Leaf Tires,Paper Glider
2017-09-10,2:01.198,Shaun,,1,41.895,39.810,39.493,10-0-0,1-1-1,Heavy Mii,Mach 8,Leaf Tires,Paper Glider
2017-09-11,2:01.196,Shaun,,<1,41.955,39.836,39.405,10-0-0,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-09-11,2:01.163,Shaun,,2,41.896,39.821,39.446,10-0-0,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-09-13,2:01.129,Shaun,,4,41.927,39.711,39.491,10-0-0,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-09-17,2:01.125,Shaun,,<1,41.873,39.770,39.482,10-0-0,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-09-17,2:01.122,Shaun,,<1,41.876,39.754,39.492,10-0-0,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-09-17,2:01.076,Shaun,,1,41.901,39.723,39.452,10-0-0,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-09-18,2:01.064,Shaun,,3,41.887,39.777,39.400,10-0-0,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-09-21,2:01.052,Shaun,,1,41.913,39.696,39.443,10-0-0,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-09-22,2:01.042,Shaun,,<1,41.878,39.756,39.408,10-0-0,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
