Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,2:05.626,Limit,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,2:05.307,ス,,<1,43.476,41.041,40.790,10-0-0,1-1-1,Morton,Streetle,Slim,Super Glider
2017-04-28,2:05.276,Limit,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,2:04.467,Limit,,1,42.694,41.106,40.667,8-2-0,1-1-1,Morton,W 25 Silver Arrow,Slim,Super Glider
2017-04-29,2:04.402,たくや,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,2:04.104,Limit,,1,-,-,-,-,-,-,-,-,-
2017-04-30,2:03.979,Linkos,,<1,43.070,40.935,39.974,8-2-0,0-2-1,Heavy Mii,Wild Wiggler,Azure Roller,Flower Glider
2017-04-30,2:03.879,vxlocity,,<1,-,-,-,-,-,Morton,Sports Coupe,Roller,Wario Wing
2017-04-30,2:03.846,Linkos,,<1,43.023,40.975,39.848,8-2-0,0-2-1,Heavy Mii,Wild Wiggler,Azure Roller,Flower Glider
2017-04-30,2:03.825,Linkos,,1,43.068,40.909,39.848,8-2-0,0-2-1,Heavy Mii,Wild Wiggler,Azure Roller,Flower Glider
2017-05-01,2:03.818,Linkos,,<1,43.127,40.822,39.869,8-2-0,0-2-1,Heavy Mii,Wild Wiggler,Azure Roller,Flower Glider
2017-05-01,2:03.813,Linkos,,<1,42.999,40.975,39.839,8-2-0,0-2-1,Heavy Mii,Wild Wiggler,Azure Roller,Flower Glider
2017-05-01,2:03.645,vxlocity,,<1,42.913,40.789,39.943,8-2-0,0-1-2,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-01,2:03.632,vxlocity,,3,42.881,40.826,39.925,8-2-0,0-1-2,Heavy Mii,Sports Coupe,Roller,Plane Glider
2017-05-04,2:03.543,たくや,,<1,42.921,40.830,39.792,8-2-0,0-1-2,Heavy Mii,Sports Coupe,Azure Roller,Wario Wing
2017-05-04,2:03.514,Danny,,<1,42.892,40.838,39.784,8-2-0,0-1-2,Bowser,Sports Coupe,Azure Roller,Plane Glider
2017-05-04,2:03.421,Danny,,<1,42.780,40.957,39.684,8-2-0,0-1-2,Bowser,Sports Coupe,Azure Roller,Plane Glider
2017-05-04,2:03.393,Danny,,1,42.931,40.693,39.769,8-2-0,0-1-2,Bowser,Sports Coupe,Azure Roller,Plane Glider
