Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:53.271,Mattew,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:53.199,Danny,,<1,38.776,37.278,37.145,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:53.117,Ethan,,<1,38.749,37.180,37.188,10-0-0,1-1-1,Wario,Splat Buggy,Metal,Parachute
2017-04-28,1:52.980,Mattew,,<1,38.834,37.087,37.059,10-0-0,1-1-1,Morton,Blue Falcon,Slim,Super Glider
2017-04-28,1:52.813,Gumer,,<1,38.634,37.086,37.093,10-0-0,1-1-1,Morton,Streetle,Slim,Super Glider
2017-04-28,1:52.697,Gumer,,<1,38.622,36.953,37.122,10-0-0,1-1-1,Morton,Streetle,Slim,Super Glider
2017-04-28,1:52.590,Gumer,,<1,38.559,37.004,37.027,10-0-0,1-1-1,Morton,Streetle,Slim,Super Glider
2017-04-28,1:52.544,Gumer,,<1,38.512,36.951,37.081,10-0-0,1-1-1,Wario,Streetle,Standard,Super Glider
2017-04-28,1:52.452,Gumer,,<1,38.517,36.986,36.949,10-0-0,1-1-1,Wario,Streetle,Standard,Super Glider
2017-04-28,1:52.297,Ethan,,<1,38.449,36.904,36.944,10-0-0,1-1-1,Wario,Streetle,Standard,Super Glider
2017-04-28,1:52.201,Ethan,,<1,38.386,36.901,36.914,10-0-0,1-1-1,Wario,Streetle,Standard,Super Glider
2017-04-28,1:52.079,Ethan,,<1,38.376,36.820,36.883,10-0-0,1-1-1,Wario,Streetle,Standard,Super Glider
2017-04-28,1:51.883,Ethan,,1,38.262,36.834,36.787,10-0-0,1-1-1,Wario,Streetle,Standard,Super Glider
2017-04-29,1:51.756,Ethan,,<1,38.267,36.724,36.765,10-0-0,1-1-1,Wario,Streetle,Standard,Super Glider
2017-04-29,1:51.676,からくり,,<1,38.277,36.754,36.645,10-0-0,1-1-1,Morton,Streetle,Standard,Super Glider
2017-04-29,1:51.641,Gumer,,1,38.216,36.773,36.652,10-0-0,1-1-1,Morton,Streetle,Standard,Super Glider
2017-04-30,1:51.567,Gumer,,<1,38.231,36.731,36.605,10-0-0,1-1-1,Morton,Streetle,Roller,Super Glider
2017-04-30,1:51.565,Gumer,,<1,38.241,36.646,36.678,10-0-0,1-1-1,Morton,Streetle,Roller,Super Glider
2017-04-30,1:51.463,Gumer,,<1,38.175,36.652,36.636,10-0-0,1-1-1,Morton,Streetle,Roller,Super Glider
2017-04-30,1:51.381,からくり,,<1,38.175,36.598,36.608,10-0-0,1-1-1,Morton,Streetle,Roller,Super Glider
2017-04-30,1:51.301,Ethan,,<1,38.119,36.598,36.584,10-0-0,1-1-1,Morton,Streetle,Azure Roller,Hylian Kite
2017-04-30,1:51.217,Xander,,<1,38.214,36.471,36.532,10-0-0,1-1-1,Wario,Streetle,Roller,Super Glider
2017-04-30,1:51.162,Ethan,,1,38.179,36.520,36.463,10-0-0,1-1-1,Wario,Streetle,Azure Roller,Hylian Kite
2017-05-01,1:51.136,Jeff,,<1,38.117,36.547,36.472,10-0-0,1-1-1,Bowser,Streetle,Azure Roller,Super Glider
2017-05-01,1:51.002,Xander,,<1,37.975,36.433,36.594,10-0-0,1-1-1,Dry Bowser,Streetle,Azure Roller,Plane Glider
2017-05-01,1:50.863,Xander,,1,37.863,36.470,36.530,10-0-0,1-1-1,Dry Bowser,Streetle,Azure Roller,Super Glider
2017-05-02,1:50.789,Ethan,,<1,37.864,35.966,36.959,10-0-0,1-2-0,Heavy Mii,Streetle,Azure Roller,Super Glider
