Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-12-07,1:28.301 ,Army,,<1,27.137,25.294,35.870,9-1-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-12-07,1:28.217 ,Army,,<1,27.147,25.288,35.782,9-1-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-12-07,1:27.934 ,Army,,<1,27.119,25.294,35.521,9-1-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-12-07,1:27.751 ,Army,,<1,27.037,25.377,35.337,9-1-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-12-07,1:27.734 ,Army,,<1,27.000,25.240,35.494,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-07,1:27.667 ,Army,,<1,26.999,25.335,35.333,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-07,1:27.651 ,Army,,<1,26.967,25.249,35.435,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-07,1:27.451 ,Army,,2,26.919,25.125,35.407,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-09,1:27.267 ,Army,,<1,26.789,25.106,35.372,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-09,1:27.101 ,Army,,<1,26.802,25.036,35.263,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-09,1:27.067 ,Army,,<1,26.822,25.093,35.152,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-09,1:26.867 ,Army,,6,26.766,24.969,35.132,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-15,1:26.867,3-UP,,<1,26.769,25.054,35.044,9-1-0,1-1-1,Wario,Sport Bike,Slim,Wario Wing
2022-12-15,1:26.834 ,Army,,<1,26.714,24.915,35.205,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-15,1:26.767 ,Army,,<1,26.762,24.964,35.041,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-15,1:26.701 ,Army,,5,26.739,24.888,35.074,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-20,1:26.667,3-UP,,<1,26.750,24.897,35.020,9-1-0,1-1-1,Dry Bowser,Master Cycle,Wood,Hylian Kite
2022-12-20,1:26.667 ,Army,,<1,26.725,24.936,35.006,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-20,1:26.617 ,Army,,1,26.717,24.996,34.904,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-21,1:26.601,3-UP,,<1,26.753,24.932,34.916,9-1-0,1-1-1,Wario,Sport Bike,Slim,Wario Wing
2022-12-21,1:26.467 ,Army,,14,26.709,24.921,34.837,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-12-22,1:26.467,3-UP,,13,26.713,24.841,34.913,9-1-0,1-1-1,Wario,Sport Bike,Slim,Wario Wing
2023-01-04,1:26.451,3-UP,,<1,26.671,24.875,34.905,9-1-0,1-1-1,Wario,Sport Bike,Slim,Wario Wing
2023-01-04,1:26.417,3-UP,,<1,26.707,24.811,34.899,9-1-0,1-1-1,Wario,Sport Bike,Slim,Wario Wing
2023-01-04,1:26.351 ,Army,,1,26.706,24.881,34.764,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2023-01-05,1:26.334 ,Army,,<1,26.658,24.921,34.755,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2023-01-05,1:26.251 ,Army,,40,26.698,24.828,34.725,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
