Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-03-17,1:47.533,おんど,,1,37.842,34.741,34.950,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:47.329 ,クロト,,<1,37.850,34.693,34.786,9-1-0,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2022-03-18,1:47.268 ,クロト,,<1,37.797,34.812,34.659,-,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2022-03-18,1:47.167 ,¥146,,<1,37.541,34.890,34.736,-,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:46.771 ,¥146,,<1,37.441,34.718,34.612,9-1-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:46.555 ,¥146,,<1,37.371,34.639,34.545,9-1-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:46.470 ,¥146,,<1,37.456,34.491,34.523,9-1-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:46.321 ,¥146,,<1,37.314,34.478,34.529,9-1-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:46.211 ,そうめん,,1,37.260,34.467,34.484,10-0-0,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2022-03-19,1:46.176 ,Alberto,,<1,37.308,34.492,34.376,9-1-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-19,1:46.063 ,Alberto,,<1,37.322,34.402,34.339,9-1-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-19,1:46.057 ,Alberto,,1,37.226,34.467,34.364,9-1-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-20,1:45.956 ,そうめん,,<1,37.154,34.407,34.395,9-1-0,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2022-03-20,1:45.724 ,そうめん,,4,37.055,34.369,34.300,9-1-0,1-1-1,Waluigi,Biddybuggy,Roller,Paper Glider
2022-03-24,1:45.678 ,Alberto,,<1,37.068,34.395,34.215,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-24,1:45.635 ,Alberto,,<1,36.936,34.501,34.198,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-24,1:45.597 ,Alberto,,<1,36.970,34.463,34.164,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-24,1:45.591 ,Alberto,,<1,36.953,34.467,34.171,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-24,1:45.516 ,Alberto,,1,36.910,34.432,34.174,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-25,1:45.420 ,Alberto,,<1,36.858,34.416,34.146,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-25,1:45.392 ,Alberto,,<1,36.903,34.328,34.161,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-25,1:45.249 ,Alberto,,<1,36.825,34.306,34.118,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-03-25,1:45.182 ,Alberto,,36,36.809,34.251,34.122,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-04-30,1:45.162 ,Alberto,,49,36.813,34.235,34.114,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-06-18,1:45.161 ,Alberto,,<1,36.836,34.227,34.098,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-06-18,1:45.026 ,Alberto,,<1,36.724,34.269,34.033,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-06-18,1:44.992 ,Alberto,,170,36.746,34.209,34.037,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-05,1:44.973 ,Alberto,,71,36.756,34.192,34.025,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
