Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:51.199,B!KZO,,<1,37.848,37.410,35.941,9-1-0,1-1-1,Morton,W 25 Silver Arrow,Slim,Plane Glider
2017-04-28,1:51.035,Brent,,<1,37.855,37.007,36.173,9-1-0,1-1-1,Morton,Streetle,Slim,Plane Glider
2017-04-28,1:50.953,B!KZO,,<1,38.001,36.958,35.994,9-1-0,1-1-1,Morton,Streetle,Crimson Slim,-
2017-04-28,1:50.698,Peze,,<1,37.767,37.227,35.704,8-2-0,1-1-1,Wario,Streetle,Slim,Paper Glider
2017-04-28,1:50.580,Brent,,<1,37.748,37.065,35.767,8-2-0,1-1-1,Donkey Kong,Sneeker,Roller,Paper Glider
2017-04-28,1:50.413,Brent,,<1,37.766,36.904,35.743,-,-,Donkey Kong,Sneeker,Roller,Paper Glider
2017-04-28,1:50.376,Danny,,<1,37.636,36.734,36.006,9-1-0,1-1-1,Donkey Kong,Sneeker,Azure Roller,Plane Glider
2017-04-28,1:50.249,Brent,,<1,37.808,36.785,35.656,9-1-0,1-1-1,Waluigi,Sneeker,Roller,Plane Glider
2017-04-28,1:50.135,Peze,,1,37.773,36.244,36.118,9-1-0,1-2-0,Morton,Streetle,Slim,Plane Glider
2017-04-29,1:49.797,Brent,,<1,37.667,36.051,36.079,9-1-0,1-2-0,Donkey Kong,Sneeker,Roller,Plane Glider
2017-04-29,1:49.300,Xander,,<1,37.772,35.681,35.847,9-1-0,1-2-0,Morton,Streetle,Slim,Super Glider
2017-04-29,1:49.231,Peze,,<1,37.622,35.671,35.938,9-1-0,1-1-1,Morton,Streetle,Azure Roller,Wario Wing
2017-04-29,1:49.226,Peze,,<1,37.612,35.529,36.085,-,-,Wario,Streetle,Azure Roller,Super Glider
2017-04-29,1:49.199,Peze,,<1,37.681,35.661,35.857,9-1-0,1-1-1,Morton,Streetle,Azure Roller,Super Glider
2017-04-29,1:49.175,Peze,,<1,37.637,35.798,35.740,9-1-0,1-1-1,Morton,Streetle,Azure Roller,Super Glider
2017-04-29,1:49.099,Peze,,<1,37.667,35.715,35.717,9-1-0,1-1-1,Morton,Streetle,Azure Roller,Super Glider
2017-04-29,1:48.969,Peze,,<1,37.655,35.643,35.671,9-1-0,1-1-1,Morton,W 25 Silver Arrow,Azure Roller,Super Glider
2017-04-29,1:48.862,Xander,,1,37.739,35.557,35.566,9-1-0,1-1-1,Wario,Streetle,Roller,Hylian Kite
2017-04-30,1:48.771,Peze,,<1,37.682,35.488,35.601,9-1-0,1-2-0,Morton,Streetle,Roller,Cloud Glider
2017-04-30,1:48.626,Peze,,<1,37.616,35.440,35.570,9-1-0,1-2-0,Morton,Streetle,Roller,Cloud Glider
2017-04-30,1:48.524,Peze,,<1,37.551,35.529,35.444,8-2-0,1-2-0,Dry Bowser,W 25 Silver Arrow,Roller,Peach Parasol
2017-04-30,1:48.360,Peze,,1,37.529,35.659,35.172,9-1-0,1-1-1,Morton,Streetle,Roller,Cloud Glider
2017-05-01,1:48.329,Peze,,<1,37.467,35.646,35.216,9-1-0,1-1-1,Wario,W 25 Silver Arrow,Roller,Cloud Glider
2017-05-01,1:48.136,Xander,,<1,37.362,35.686,35.088,9-1-0,1-1-1,Morton,Streetle,Azure Roller,Hylian Kite
2017-05-01,1:48.036,Peze,,1,37.431,35.478,35.127,9-1-0,1-1-1,Wario,Streetle,Azure Roller,Cloud Glider
2017-05-02,1:47.806,Peze,,<1,37.332,35.391,35.083,9-1-0,1-1-1,Heavy Mii Pikmin,Streetle,Azure Roller,Cloud Glider
2017-05-02,1:47.674,Peze,,4,37.366,35.267,35.041,9-1-0,1-1-1,Dry Bowser,Streetle,Azure Roller,Cloud Glider
2017-05-06,1:47.671,Blaze,,1,37.026,35.578,35.067,9-1-0,1-1-1,Morton,Streetle,Azure Roller,Cloud Glider
2017-05-07,1:47.563,Blaze,,<1,36.951,35.478,35.134,9-1-0,1-1-1,Morton,Biddybuggy,Roller,Cloud Glider
2017-05-07,1:47.485,Blaze,,<1,36.936,35.530,35.019,9-1-0,1-1-1,Morton,Biddybuggy,Roller,Cloud Glider
2017-05-07,1:47.480,Blaze,,<1,36.840,35.336,35.304,9-1-0,1-1-1,Morton,Biddybuggy,Roller,Cloud Glider
2017-05-07,1:47.451,Blaze,,<1,36.967,35.318,35.166,9-1-0,1-1-1,Morton,Biddybuggy,Roller,Cloud Glider
2017-05-07,1:47.410,Blaze,,<1,37.178,35.409,34.823,9-1-0,1-1-1,Morton,Biddybuggy,Roller,Cloud Glider
2017-05-07,1:47.294,7step,,<1,37.164,35.106,35.024,9-1-0,1-1-1,Morton,Biddybuggy,Roller,Paper Glider
2017-05-07,1:47.020,7step,,1,-,-,-,-,-,Wario,Biddybuggy,Roller,Paper Glider
2017-05-08,1:46.931,7step,,<1,37.034,35.133,34.764,9-1-0,1-1-1,Morton,Biddybuggy,Roller,Paper Glider
2017-05-08,1:46.886,Peze,,1,36.876,35.246,34.764,9-1-0,1-1-1,Heavy Mii Crossing,Biddybuggy,Azure Roller,Paper Glider
2017-05-09,1:46.844,Peze,,<1,36.957,35.202,34.685,9-1-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Paper Glider
2017-05-09,1:46.806,Peze,,1,37.061,35.070,34.675,9-1-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Paper Glider
2017-05-10,1:46.736,7step,,1,36.956,35.024,34.756,9-1-0,1-1-1,Bowser,Biddybuggy,Roller,Paper Glider
