Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-08-04,1:48.326,Pii,,<1,36.921,35.856,35.549,9-1-0,2-0-1,Iggy,Varmint,Azure Roller,Cloud Glider
2022-08-04,1:48.212,Pii,,<1,36.897,35.785,35.530,9-1-0,2-0-1,Iggy,Mr. Scooty,Azure Roller,Paper Glider
2022-08-04,1:48.161,Pii,,<1,36.919,35.698,35.544,9-1-0,2-0-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-04,1:48.129,Pii,,<1,37.123,35.464,35.542,-,-,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-04,1:48.043,Pii,,1,36.995,35.623,35.425,9-1-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-05,1:47.848,Pii,,<1,37.043,35.411,35.394,8-2-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-08-05,1:47.617,Pii,,1,36.706,35.351,35.560,9-1-0,2-1-0,Waluigi,Pipe Frame,Azure Roller,Super Glider
2022-08-06,1:47.478,Pii,,<1,36.674,35.298,35.506,9-1-0,2-1-0,Waluigi,Pipe Frame,Azure Roller,Super Glider
2022-08-06,1:47.398,SuperFX,,1,36.608,35.335,35.455,9-1-0,1-1-1,Waluigi,Varmint,Roller,Super Glider
2022-08-07,1:47.335,JenZua,,<1,36.824,35.314,35.197,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Super Glider
2022-08-07,1:47.168,JenZua,,<1,36.724,35.529,34.915,9-1-0,1-0-2,Waluigi,Wild Wiggler,Azure Roller,Super Glider
2022-08-07,1:47.132,JenZua,,<1,36.732,35.172,35.228,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Super Glider
2022-08-07,1:47.090,JenZua,,<1,36.738,35.209,35.143,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Super Glider
2022-08-07,1:47.019,JenZua,,<1,36.721,35.184,35.114,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Super Glider
2022-08-07,1:46.998,JenZua,,2,36.767,35.080,35.151,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Super Glider
2022-08-09,1:46.983,JenZua,,<1,36.726,35.175,35.082,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Super Glider
2022-08-09,1:46.973,JenZua,,<1,36.741,35.100,35.132,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Super Glider
2022-08-09,1:46.940,JenZua,,<1,36.709,35.137,35.094,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Super Glider
2022-08-09,1:46.932,JenZua,,<1,36.730,35.128,35.074,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Super Glider
2022-08-09,1:46.909,JenZua,,1,36.736,35.084,35.089,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Super Glider
2022-08-10,1:46.880,JenZua,,13,36.724,35.089,35.067,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Super Glider
2022-08-23,1:46.879,Alberto,,<1,36.678,35.114,35.087,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Wario Wing
2022-08-23,1:46.860,Alberto,,<1,36.710,35.114,35.036,9-1-0,1-1-1,Waluigi,Wild Wiggler,Azure Roller,Wario Wing
