Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:56.636,ゆゆゆ,,<1,39.625,38.419,38.592,10-0-0,1-1-1,Bowser,Sport Bike,Slick,Wario Wing
2017-04-28,1:56.324,ゆゆゆ,,<1,39.547,38.266,38.511,-,-,Bowser,Sport Bike,Slick,Wario Wing
2017-04-28,1:56.207,ゆゆゆ,,<1,39.454,38.430,38.323,-,1-1-1,Bowser,Sport Bike,Slick,Wario Wing
2017-04-28,1:56.046,ゆゆゆ,,1,39.463,38.252,38.331,10-0-0,1-1-1,Wario,Sport Bike,Slick,Wario Wing
2017-04-29,1:55.720,ゆゆゆ,,<1,39.295,38.355,38.070,-,-,Wario,Sport Bike,Slim,Wario Wing
2017-04-29,1:55.568,チェルシー,,1,39.510,37.967,38.091,10-0-0,1-1-1,Wario,Splat Buggy,Azure Roller,Cloud Glider
2017-04-30,1:55.418,ゆゆゆ,,<1,39.284,38.074,38.060,10-0-0,1-1-1,Waluigi,Yoshi Bike,Roller,Wario Wing
2017-04-30,1:55.151,チェルシー,,1,39.195,38.022,37.934,9-1-0,1-1-1,Dry Bowser,Splat Buggy,Roller,Cloud Glider
2017-05-01,1:55.135,ぺよん,,<1,39.213,37.897,38.025,-,-,Wario,Splat Buggy,Roller,Hylian Kite
2017-05-01,1:54.937,チェルシー,,1,-,-,-,-,-,-,-,-,-
2017-05-02,1:54.811,チェルシー,,1,39.122,37.790,37.899,-,1-1-1,Dry Bowser,Splat Buggy,Azure Roller,Cloud Glider
2017-05-03,1:54.675,Hemi,,1,-,-,-,10-0-0,1-1-1,Wario,Splat Buggy,Azure Roller,Hylian Kite
2017-05-04,1:54.646,Hemi,,<1,38.986,37.791,37.869,10-0-0,1-1-1,Wario,Splat Buggy,Azure Roller,Cloud Glider
2017-05-04,1:54.586,Hemi,,1,39.008,37.758,37.820,10-0-0,1-1-1,Wario,Sports Coupe,Azure Roller,Cloud Glider
2017-05-05,1:54.522,Hemi,,2,38.943,37.722,37.857,10-0-0,1-1-1,Wario,Sports Coupe,Azure Roller,Cloud Glider
2017-05-07,1:54.443,Hemi,,4,38.968,37.674,37.801,10-0-0,1-1-1,Wario,Sports Coupe,Azure Roller,Cloud Glider
2017-05-11,1:54.212,Hemi,,7,38.856,37.649,37.707,10-0-0,1-1-1,Wario,Sports Coupe,Azure Roller,Cloud Glider
2017-05-18,1:54.153,duel,,15,38.834,37.671,37.648,10-0-0,1-1-1,Wario,Sports Coupe,Roller,Super Glider
2017-06-02,1:54.040,Hemi,,3,38.801,37.664,37.575,10-0-0,1-1-1,Wario,Sports Coupe,Azure Roller,Gold Glider
2017-06-05,1:53.963,duel,,4,38.814,37.608,37.541,10-0-0,1-1-1,Wario,Sports Coupe,Roller,Plane Glider
2017-06-09,1:53.953,SuperFX,,1,38.778,37.624,37.551,10-0-0,1-1-1,Wario,Sports Coupe,Azure Roller,Plane Glider
2017-06-10,1:53.896,SuperFX,,<1,38.712,37.671,37.513,10-0-0,1-1-1,Wario,Sports Coupe,Azure Roller,Plane Glider
2017-06-10,1:53.847,Hemi,,3,38.744,37.525,37.578,10-0-0,1-1-1,Wario,Sports Coupe,Azure Roller,Gold Glider
2017-06-13,1:53.840,Hemi,,9,38.755,37.547,37.538,10-0-0,1-1-1,Wario,Sports Coupe,Azure Roller,Gold Glider
2017-06-22,1:53.789,SuperFX,,25,38.742,37.498,37.549,10-0-0,1-1-1,Wario,Sports Coupe,Roller,Plane Glider
2017-07-17,1:53.749,SuperFX,,40,38.730,37.553,37.466,10-0-0,1-1-1,Wario,Sports Coupe,Roller,Plane Glider
2017-08-26,1:53.739,チェルシー,,37,38.823,37.430,37.486,10-0-0,1-1-1,Wario,Sports Coupe,Roller,Gold Glider
2017-10-02,1:53.480,SuperFX,,47,38.644,37.438,37.398,10-0-0,1-1-1,Wario,Sports Coupe,Roller,Plane Glider
2017-11-18,1:53.392,SuperFX,,1,38.464,37.435,37.493,10-0-0,1-1-1,Dry Bowser,Sports Coupe,Roller,Plane Glider
2017-11-19,1:53.214,SuperFX,,2,38.494,37.337,37.383,10-0-0,1-1-1,Dry Bowser,Sports Coupe,Roller,Plane Glider
2017-11-21,1:53.210,SuperFX,,1,38.566,37.381,37.263,10-0-0,1-1-1,Dry Bowser,Mach 8,Roller,Plane Glider
2017-11-22,1:53.109,SuperFX,,4,38.498,37.369,37.242,10-0-0,1-1-1,Dry Bowser,Mach 8,Roller,Plane Glider
2017-11-26,1:53.085,SuperFX,,145,38.440,37.284,37.361,10-0-0,1-1-1,Dry Bowser,Mach 8,Roller,Plane Glider
2018-04-20,1:52.995,チェルシー,,1,38.449,37.326,37.220,10-0-0,1-1-1,Wario,Mach 8,Roller,Plane Glider
2018-04-21,1:52.994,こまち,,<1,38.460,37.313,37.221,10-0-0,1-1-1,Wario,Mach 8,Azure Roller,Plane Glider
2018-04-21,1:52.990,チェルシー,,2,38.490,37.216,37.284,10-0-0,1-1-1,Wario,Mach 8,Azure Roller,Gold Glider
2018-04-23,1:52.919,チェルシー,,<1,38.424,37.143,37.352,10-0-0,1-1-1,Wario,Mach 8,Azure Roller,Gold Glider
2018-04-23,1:52.844,チェルシー,,3,38.467,37.212,37.165,10-0-0,1-1-1,Wario,Mach 8,Azure Roller,Gold Glider
2018-04-26,1:52.761,こまち,,13,38.432,37.184,37.145,10-0-0,1-1-1,Wario,Mach 8,Azure Roller,Plane Glider
2018-05-09,1:52.582,こまち,,30,38.401,37.082,37.099,10-0-0,1-1-1,Wario,Mach 8,Azure Roller,Plane Glider
2018-05-18,1:52.582,チェルシー,,21,38.362,37.146,37.074,10-0-0,1-1-1,Wario,Mach 8,Roller,Gold Glider
2018-06-08,1:52.495,チェルシー,,3,38.343,37.103,37.049,10-0-0,1-1-1,Wario,Mach 8,Azure Roller,Gold Glider
2018-06-11,1:52.457,こまち,,25,38.353,37.007,37.097,10-0-0,1-1-1,Dry Bowser,Mach 8,Azure Roller,Gold Glider
2018-07-06,1:52.437,こまち,,20,38.327,37.041,37.069,10-0-0,1-1-1,Wario,Sports Coupe,Azure Roller,Gold Glider
