Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:31.994,パステル,,<1,31.422,30.276,30.296,-,-,Bowser,Sport Bike,Standard,Super Glider
2017-04-28,1:28.388,Naoto,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:28.126,Naoto,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:27.871,Naoto,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:25.987,John,,3,29.933,27.979,28.075,10-0-0,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-05-01,1:25.701,Play,,<1,29.905,27.825,27.971,10-0-0,1-1-1,Blue Yoshi,Streetle,Roller,Flower Glider
2017-05-01,1:25.286,John,,6,29.477,27.924,27.885,10-0-0,1-1-1,Gold Mario,Streetle,Roller,Super Glider
2017-05-07,1:25.267,Dread,,<1,29.630,27.762,27.875,10-0-0,1-1-1,Donkey Kong,Streetle,Roller,Super Glider
2017-05-07,1:25.213,John,,<1,29.560,27.899,27.754,10-0-0,1-1-1,Roy,Streetle,Roller,Hylian Kite
2017-05-07,1:25.089,John,,<1,29.504,27.863,27.722,10-0-0,1-1-1,Roy,Streetle,Roller,Hylian Kite
2017-05-07,1:24.945,John,,6,29.565,27.736,27.644,10-0-0,1-1-1,Roy,Streetle,Roller,Hylian Kite
2017-05-13,1:24.910,Jimmy,,1,29.435,27.747,27.728,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Cloud Glider
2017-05-14,1:24.803,John,,6,29.506,27.711,27.586,10-0-0,1-1-1,Roy,Streetle,Roller,Paper Glider
2017-05-20,1:24.774,Tyler,,<1,29.522,27.605,27.647,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2017-05-20,1:24.727,Xander,,<1,29.535,27.667,27.525,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2017-05-20,1:24.703,Angryfast,,<1,29.471,27.669,27.563,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2017-05-20,1:24.568,Angryfast,,3,29.439,27.518,27.611,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2017-05-23,1:24.548,Naoto,,<1,29.277,27.637,27.634,10-0-0,1-1-1,Roy,Landship,Roller,Paper Glider
2017-05-23,1:24.488,Angryfast,,31,29.396,27.561,27.531,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2017-06-23,1:24.431,TTyler,,1,29.332,27.452,27.647,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Cloud Glider
2017-06-24,1:24.422,ちーちゃん,,3,29.299,27.625,27.498,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Cloud Glider
2017-06-27,1:24.361,TTyler,,<1,29.357,27.541,27.463,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Cloud Glider
2017-06-27,1:24.327,ちーちゃん,,94,29.324,27.503,27.500,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Cloud Glider
2017-09-29,1:24.117,Naoto,,12,29.208,27.425,27.484,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2017-10-11,1:24.064,Davi,,3,29.309,27.440,27.315,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2017-10-14,1:23.884,Davi,,168,29.171,27.358,27.355,10-0-0,1-1-1,Roy,Streetle,Roller,Paper Glider
2018-03-31,1:23.871,Darky,,1,29.257,27.377,27.237,10-0-0,1-1-1,Roy,Streetle,Roller,Paper Glider
2018-04-01,1:23.777,Davi,,117,29.207,27.377,27.193,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2018-07-27,1:23.762,Davi,,46,29.137,27.289,27.336,10-0-0,1-1-1,Donkey Kong,Streetle,Azure Roller,Paper Glider
2018-09-11,1:23.742,Davi,,<1,29.150,27.288,27.304,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2018-09-11,1:23.718,Davi,,<1,29.139,27.326,27.253,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2018-09-11,1:23.668,Davi,,9,29.129,27.273,27.266,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2018-09-20,1:23.658,Davi,,1,29.086,27.336,27.236,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2018-09-21,1:23.607,Davi,,19,29.058,27.255,27.294,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2018-10-10,1:23.575,Davi,,1,29.068,27.249,27.258,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2018-10-11,1:23.563,Davi,,<1,29.063,27.225,27.275,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2018-10-11,1:23.478,Davi,,5,29.022,27.190,27.266,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2018-10-16,1:23.410,Davi,,38,29.008,27.195,27.207,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2018-11-23,1:23.404,Davi,,26,28.975,27.213,27.216,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2018-12-19,1:23.341,Davi,,319,28.971,27.179,27.191,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2019-11-03,1:23.321,Jimmy,,5,29.000,27.189,27.132,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Cloud Glider
2019-11-08,1:23.317,Alberto,,1,28.986,27.148,27.183,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2019-11-09,1:23.238,Alberto,,5,28.961,27.125,27.152,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2019-11-14,1:23.209,Jimmy,,3,28.885,27.205,27.119,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Cloud Glider
2019-11-17,1:23.159,Jimmy,,4,28.937,27.164,27.058,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Cloud Glider
2019-11-21,1:23.087,Jimmy,,186,28.852,27.128,27.107,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Cloud Glider
2020-05-25,1:23.085,Tane,,1,28.906,27.028,27.151,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Cloud Glider
2020-05-26,1:23.024,Tane,,<1,28.788,27.150,27.086,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Cloud Glider
2020-05-26,1:22.910,Tane,,62,28.801,27.067,27.042,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Cloud Glider
2020-07-27,1:22.883,すわこ,,8,28.784,27.014,27.085,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2020-08-04,1:22.851,Alberto,,9,28.832,27.031,26.988,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2020-08-13,1:22.849,すわこ,,<1,28.782,26.985,27.082,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2020-08-13,1:22.804,Alberto,,1,28.778,27.063,26.963,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2020-08-14,1:22.556 ,Alberto,,103,28.659,26.940,26.957,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2020-11-25,1:22.510 ,すわこ,,58,28.623,26.989,26.898,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-01-22,1:22.490 ,Alberto,,1,28.673,26.889,26.928,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2021-01-23,1:22.477 ,Alberto,,1,28.669,26.900,26.908,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-01-24,1:22.455 ,Alberto,,<1,28.646,27.004,26.805,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-01-24,1:22.449 ,Alberto,,<1,28.687,26.919,26.843,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-01-24,1:22.434 ,Alberto,,<1,28.617,26.935,26.882,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-01-24,1:22.395 ,Alberto,,12,28.579,26.961,26.855,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-02-05,1:22.347 ,Alberto,,122,28.627,26.895,26.825,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-06-07,1:22.337 ,Alberto,,<1,28.633,26.841,26.863,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-06-07,1:22.323 ,Alberto,,<1,28.599,26.924,26.800,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-06-07,1:22.296 ,Alberto,,1,28.640,26.843,26.813,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-06-08,1:22.286 ,Alberto,,<1,28.586,26.931,26.769,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-06-08,1:22.254 ,Alberto,,<1,28.594,26.828,26.832,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-06-08,1:22.208 ,Alberto,,2,28.655,26.763,26.790,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-06-10,1:22.194 ,Alberto,,87,28.480,26.837,26.877,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2021-09-05,1:22.171 ,Alberto,,1,28.551,26.833,26.787,10-0-0,1-1-1,Waluigi ,Streetle ,Azure Roller ,Paper Glider
2021-09-06,1:22.064 ,Alberto,,189,28.547,26.781,26.736,10-0-0,1-1-1,Waluigi,Streetle ,Azure Roller ,Paper Glider
2022-03-14,1:22.053 ,Alberto,,1,28.545,26.785,26.723,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2022-03-15,1:22.023 ,Alberto,,1,28.466,26.761,26.796,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2022-03-16,1:22.020 ,Alberto,,18,28.519,26.780,26.721,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2022-04-03,1:21.980 ,Alberto,,317,28.498,26.737,26.745,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
