Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:25.866,Issem,,1,-,-,-,-,-,-,-,-,-
2017-04-29,1:24.336,Toad King,,<1,28.499,27.720,28.117,2-0-0,1-1-1,Dark Blue Inkling Boy,Streetle,Slim,Parafoil
2017-04-29,1:23.999,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:23.685,TTyler,,<1,28.809,27.495,27.381,-,1-1-1,Light-blue Yoshi,Streetle,Azure Roller,Hylian Kite
2017-04-29,1:23.479,Dread,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:23.341,Dread,,<1,29.888,27.028,26.425,8-1-0,0-1-2,Lakitu,Standard Kart,Slim,Hylian Kite
2017-04-29,1:22.547,TTyler,,<1,28.466,27.161,26.920,-,1-1-1,Light-blue Yoshi,Streetle,Leaf Tires,Cloud Glider
2017-04-29,1:22.463,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:22.354,TTyler,,1,28.179,27.060,27.115,-,1-1-1,Light-blue Yoshi,Streetle,Leaf Tires,Cloud Glider
2017-04-30,1:21.911,TTyler,,<1,28.447,26.842,26.622,6-1-0,1-1-1,Light-blue Yoshi,Streetle,Leaf Tires,Cloud Glider
2017-04-30,1:21.715,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-30,1:21.608,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-30,1:21.484,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-30,1:21.410,TTyler,,<1,28.416,26.510,26.484,-,1-1-1,Male Villager,Streetle,Azure Roller,Cloud Glider
2017-04-30,1:21.226,Toad King,,5,27.958,26.904,26.364,7-0-0,1-1-1,Dark Blue Inkling Boy,Streetle,Roller,Parachute
2017-05-05,1:20.629,TTyler,,1,27.930,26.314,26.385,7-0-0,1-1-1,Male Villager,Streetle,Azure Roller,Cloud Glider
2017-05-06,1:20.595,Darren,,<1,27.806,26.547,26.242,7-0-0,1-1-1,King Boo,Biddybuggy,Roller,Parachute
2017-05-06,1:20.497,Darren,,<1,27.726,26.342,26.429,7-0-0,1-1-1,Rosalina,Biddybuggy,Roller,Paper Glider
2017-05-06,1:20.430,Darren,,<1,27.898,26.196,26.336,7-0-0,1-1-1,Rosalina,Biddybuggy,Roller,Paper Glider
2017-05-06,1:20.379,Darren,,<1,27.847,26.346,26.186,7-0-0,1-1-1,Rosalina,Biddybuggy,Roller,Paper Glider
2017-05-06,1:20.190,Darren,,<1,27.883,26.219,26.088,7-0-0,1-1-1,Rosalina,Biddybuggy,Roller,Paper Glider
2017-05-06,1:20.067,Darren,,2,27.616,26.160,26.291,7-0-0,1-1-1,Rosalina,Biddybuggy,Roller,Paper Glider
2017-05-08,1:19.985,TTyler,,1,27.801,26.107,26.077,7-0-0,1-1-1,Male Villager,Biddybuggy,Azure Roller,Cloud Glider
2017-05-09,1:19.725,おまえモナー,,<1,27.908,25.843,25.974,7-2-0,1-1-1,Green Inkling Girl,Biddybuggy,Leaf Tires,Paper Glider
2017-05-09,1:19.640,おまえモナー,,1,27.793,25.945,25.902,7-2-0,1-1-1,Green Inkling Girl,Biddybuggy,Leaf Tires,Paper Glider
2017-05-10,1:19.515,おまえモナー,,1,27.833,25.737,25.945,7-2-0,1-1-1,Orange Inkling Girl,Biddybuggy,Roller,Paper Glider
2017-05-11,1:19.383,おまえモナー,,7,27.824,25.836,25.723,7-2-0,1-1-1,Pink Inkling Girl,Biddybuggy,Azure Roller,Paper Glider
2017-05-18,1:19.364,どらさ,,1,27.684,25.831,25.849,7-2-0,1-1-1,Baby Rosalina,Biddybuggy,Azure Roller,Paper Glider
2017-05-19,1:18.995,どらさ,,40,27.917,25.532,25.546,10-0-0,1-1-1,Baby Rosalina,Biddybuggy,Azure Roller,Paper Glider
2017-06-28,1:18.659,どらさ,,31,27.767,25.451,25.441,10-0-0,1-1-1,Baby Rosalina,Biddybuggy,Leaf Tires,Paper Glider
2017-07-29,1:18.589,Lyte,,153,27.233,25.779,25.577,7-1-0,1-1-1,Bowser Jr.,Biddybuggy,Azure Roller,Bowser Kite
2017-12-29,1:18.574,Nindragon,,7,27.691,25.404,25.479,10-0-0,1-1-1,Lemmy,Biddybuggy,Roller,Super Glider
2018-01-05,1:18.489,Jimmy,,59,27.581,25.496,25.412,9-1-0,1-1-1,Koopa Troopa,Biddybuggy,Azure Roller,Cloud Glider
2018-03-05,1:18.385,Brionac,,1,27.566,25.473,25.346,10-0-0,1-1-1,Koopa Troopa,Biddybuggy,Roller,Cloud Glider
2018-03-06,1:18.305,Jimmy,,1,27.456,25.454,25.395,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Button,Cloud Glider
2018-03-07,1:18.221,Brionac,,<1,27.383,25.406,25.432,10-0-0,1-1-1,Koopa Troopa,Biddybuggy,Roller,Cloud Glider
2018-03-07,1:18.166,Jimmy,,4,27.334,25.372,25.460,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Button,Cloud Glider
2018-03-11,1:18.104,Brionac,,1,27.580,25.220,25.304,10-0-0,1-1-1,Koopa Troopa,Biddybuggy,Roller,Cloud Glider
2018-03-12,1:18.058,Jimmy,,2,27.327,25.415,25.316,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Button,Cloud Glider
2018-03-14,1:17.944,Brionac,,1,27.414,25.244,25.286,10-0-0,1-1-1,Koopa Troopa,Biddybuggy,Roller,Cloud Glider
2018-03-15,1:17.936,Jimmy,,3,27.406,25.251,25.279,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Button,Cloud Glider
2018-03-18,1:17.893,Brionac,,1,27.354,25.301,25.238,10-0-0,1-1-1,Koopa Troopa,Biddybuggy,Roller,Cloud Glider
2018-03-19,1:17.891,Brionac,,<1,27.347,25.220,25.324,10-0-0,1-1-1,Koopa Troopa,Biddybuggy,Roller,Cloud Glider
2018-03-19,1:17.772,Jimmy,,208,27.239,25.282,25.251,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Button,Cloud Glider
2018-10-13,1:17.713,Iván ,,8,27.383,25.187,25.143,10-0-0,1-1-1,Koopa Troopa,Biddybuggy,Roller,Paper Glider
2018-10-21,1:17.612,Jimmy,,4,27.203,25.322,25.087,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Cloud Glider
2018-10-25,1:17.546,Jimmy,,177,27.179,25.194,25.173,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Cloud Glider
2019-04-20,1:17.545,Jimmy,,1,27.224,25.165,25.156,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Cloud Glider
2019-04-21,1:17.482,Jimmy,,9,27.207,25.099,25.176,9-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Cloud Glider
2019-04-30,1:17.470,Jimmy,,19,27.138,25.146,25.186,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Cloud Glider
2019-05-19,1:17.419,Army,,<1,27.260,25.056,25.103,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Paper Glider
2019-05-19,1:17.262,Army,,245,27.132,25.071,25.059,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Paper Glider
2020-01-19,1:17.134,Army,,<1,27.120,25.023,24.991,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Paper Glider
2020-01-19,1:17.028,Army,,273,27.088,24.977,24.963,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Paper Glider
2020-10-18,1:16.989,Army,,4,27.063,24.954,24.972,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Cloud Glider
2020-10-22,1:16.965,Italic,,2,27.064,25.010,24.891,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Paper Glider
2020-10-24,1:16.928,Italic,,3,27.027,24.988,24.913,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Paper Glider
2020-10-27,1:16.902,Army,,1,27.068,24.943,24.891,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Cloud Glider
2020-10-28,1:16.856,Army,,1,27.044,24.948,24.864,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Cloud Glider
2020-10-29,1:16.852,Italic,,<1,27.142,24.887,24.823,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Parachute
2020-10-29,1:16.829,Italic,,<1,27.053,24.898,24.878,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Parachute
2020-10-29,1:16.819,Army,,<1,27.122,24.874,24.823,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Flower Glider
2020-10-29,1:16.810,Army,,<1,26.915,24.907,24.988,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Flower Glider
2020-10-29,1:16.779,Army,,1,27.034,24.880,24.865,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Flower Glider
2020-10-30,1:16.740,Army,,337,26.936,24.873,24.931,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Flower Glider
2021-10-02,1:16.682,Army,,4,26.924,24.850,24.908,10-0-0,1-1-1,Baby Daisy ,Biddybuggy ,Leaf Tires,Parachute
2021-10-06,1:16.680,Army,,<1,26.791,24.913,24.976,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Parachute
2021-10-06,1:16.666,Army,,<1,26.912,24.880,24.874,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Parachute
2021-10-06,1:16.640,Army,,<1,26.878,24.891,24.871,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Parachute
2021-10-06,1:16.542,Army,,<1,26.690,24.972,24.880,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Parachute
2021-10-06,1:16.458,Army,,496,26.797,24.870,24.791,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Leaf Tires,Parachute
