Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:31.451,Del,,<1,-,-,-,6-4-0,1-1-1,Male Villager,Standard Kart,Off-Road,Super Glider
2017-04-28,1:29.002,Danny,,<1,30.981,29.124,28.897,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:28.976,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:28.588,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:28.195,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:28.078,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:27.648,Play,,<1,30.361,28.556,28.731,10-0-0,1-1-1,Heavy Mii,Splat Buggy,Slim,Plane Glider
2017-04-28,1:27.601,John,,1,30.254,28.737,28.610,9-1-0,1-1-1,Dry Bowser,Streetle,Blue Standard,Super Glider
2017-04-29,1:27.523,TTyler,,1,30.389,28.581,28.553,10-0-0,1-1-1,Morton,Standard Kart,Slim,Hylian Kite
2017-04-30,1:27.384,Darren,,<1,30.112,28.695,28.577,10-0-0,1-1-1,Roy,Standard Kart,Slim,Super Glider
2017-04-30,1:27.325,Darren,,<1,30.135,28.493,28.697,10-0-0,1-1-1,Waluigi,Standard Kart,Slim,Super Glider
2017-04-30,1:27.221,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-30,1:27.099,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-30,1:27.015,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-04-30,1:26.922,TTyler,,<1,30.047,28.473,28.402,-,1-1-1,Link,Standard Kart,Slim,Super Glider
2017-04-30,1:26.788,Darren,,<1,30.087,28.314,28.387,10-0-0,1-1-1,Waluigi,Standard Kart,Slim,Super Glider
2017-04-30,1:26.760,Darren,,<1,30.039,28.337,28.384,9-1-0,1-1-1,Donkey Kong,Splat Buggy,Crimson Slim,Super Glider
2017-04-30,1:26.648,Darren,,<1,30.026,28.359,28.263,10-0-0,1-1-1,Donkey Kong,Splat Buggy,Crimson Slim,Super Glider
2017-04-30,1:26.457,TTyler,,2,29.988,28.288,28.181,10-0-0,1-1-1,Donkey Kong,Splat Buggy,Crimson Slim,Super Glider
2017-05-02,1:26.384,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-05-02,1:26.141,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-05-02,1:26.104,TTyler,,1,29.899,28.078,28.127,-,1-1-1,Donkey Kong,Splat Buggy,Crimson Slim,Super Glider
2017-05-03,1:25.988,TTyler,,<1,-,-,-,-,-,-,-,-,-
2017-05-03,1:25.980,TTyler,,2,-,-,-,-,-,-,-,-,-
2017-05-05,1:25.843,TTyler,,5,29.707,28.103,28.033,10-0-0,1-1-1,Donkey Kong,Splat Buggy,Crimson Slim,Super Glider
2017-05-10,1:25.717,TTyler,,1,29.833,27.985,27.899,9-1-0,1-1-1,Morton,Biddybuggy,Azure Roller,Cloud Glider
2017-05-11,1:25.688,TTyler,,<1,29.698,28.030,27.960,9-1-0,1-1-1,Morton,Biddybuggy,Azure Roller,Cloud Glider
2017-05-11,1:25.595,TTyler,,2,29.717,28.036,27.842,9-1-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2017-05-13,1:25.575,TTyler,,33,29.710,27.938,27.927,9-1-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2017-06-15,1:25.517,TTyler,,<1,29.649,27.911,27.957,9-1-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2017-06-15,1:25.456,TTyler,,<1,29.449,28.079,27.928,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2017-06-15,1:25.442,TTyler,,1,29.429,28.040,27.973,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2017-06-16,1:25.421,TTyler,,<1,29.571,27.945,27.905,9-1-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2017-06-16,1:25.388,TTyler,,1,29.543,27.903,27.942,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2017-06-17,1:25.256,TTyler,,2,29.551,27.997,27.708,9-1-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2017-06-19,1:25.254,TTyler,,4,29.495,27.953,27.806,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2017-06-23,1:25.198,TTyler,,<1,29.684,27.765,27.749,10-0-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2017-06-23,1:25.152,TTyler,,<1,29.363,27.848,27.941,10-0-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2017-06-23,1:25.077,TTyler,,<1,29.390,27.837,27.850,10-0-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2017-06-23,1:24.993,TTyler,,19,29.395,27.771,27.827,9-1-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2017-07-12,1:24.991,Jimmy,,263,29.408,27.767,27.816,10-0-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2018-04-01,1:24.974,TTyler,,7,29.482,27.713,27.779,10-0-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2018-04-08,1:24.922,Jimmy,,24,29.358,27.897,27.667,9-1-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2018-05-02,1:24.850,Ziner,,6,29.458,27.616,27.776,10-0-0,1-1-1,Roy,Wild Wiggler,Azure Roller,Paper Glider
2018-05-08,1:24.775,Brionac,,3,29.305,27.733,27.737,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2018-05-11,1:24.722,TTyler,,1,29.272,27.698,27.752,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2018-05-12,1:24.691,Jimmy,,3,29.288,27.814,27.589,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2018-05-15,1:24.617,Carson,,15,29.378,27.615,27.624,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2018-05-30,1:24.614,TTyler,,2,29.275,27.610,27.729,10-0-0,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-06-01,1:24.571,Carson,,<1,29.361,27.444,27.766,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2018-06-01,1:24.530,TTyler,,1,29.147,27.697,27.686,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2018-06-02,1:24.478,Carson,,289,29.249,27.622,27.607,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2019-03-18,1:24.402,TTyler,,80,29.167,27.696,27.539,9-1-0,1-1-1,Waluigi,Mach 8,Leaf Tires,Cloud Glider
2019-06-06,1:24.357,Grant,,<1,29.258,27.565,27.534,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Paper Glider
2019-06-06,1:24.321,Army,,1,29.204,27.606,27.511,10-0-0,1-1-1,Waluigi,Mach 8,Leaf Tires,Paper Glider
2019-06-07,1:24.267,Alberto,,2,29.215,27.526,27.526,10-0-0,1-1-1,Waluigi,Mach 8,Leaf Tires,Paper Glider
2019-06-09,1:24.171,SuperFX,,<1,29.044,27.496,27.631,10-0-0,1-1-1,Roy,W 25 Silver Arrow,Leaf Tires,Paper Glider
2019-06-09,1:24.156,Alberto,,5,29.111,27.507,27.538,9-1-0,1-1-1,Waluigi,Mach 8,Leaf Tires,Paper Glider
2019-06-14,1:24.138,SuperFX,,3,29.051,27.537,27.550,10-0-0,1-1-1,Roy,W 25 Silver Arrow,Leaf Tires,Paper Glider
2019-06-17,1:24.047,SuperFX,,223,29.008,27.513,27.526,10-0-0,1-1-1,Roy,W 25 Silver Arrow,Leaf Tires,Paper Glider
2020-01-26,1:23.971,Grant,,4,29.079,27.505,27.387,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2020-01-30,1:23.970,Grant,,<1,28.968,27.519,27.483,10-0-0,1-1-1,Wario,Mach 8,Leaf Tires,Cloud Glider
2020-01-30,1:23.944,SuperFX,,1,29.035,27.402,27.507,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2020-01-31,1:23.939,SuperFX,,1,29.089,27.455,27.395,9-1-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2020-02-01,1:23.877,SuperFX,,195,28.969,27.342,27.566,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2020-08-14,1:23.846,Grant,,45,29.008,27.370,27.468,10-0-0,1-1-1,Heavy Mii Splatoon,Mach 8,Leaf Tires,Cloud Glider
2020-09-28,1:23.839,Alberto,,5,29.035,27.406,27.398,10-0-0,1-1-1,Waluigi,Mach 8,Leaf Tires,Paper Glider
2020-10-03,1:23.760,Alberto,,7,28.950,27.427,27.383,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Paper Glider
2020-10-10,1:23.758,Grant,,7,28.944,27.290,27.524,9-1-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2020-10-17,1:23.668,Alberto,,53,28.970,27.311,27.387,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Paper Glider
2020-12-09,1:23.557,Grant,,247,28.986,27.302,27.269,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2021-08-13,1:23.539,Alberto,,1,28.884,27.357,27.298,10-0-0,1-1-1,Waluigi,Mach 8,Leaf Tires,Cloud Glider
2021-08-14,1:23.505,Alberto,,<1,28.883,27.311,27.311,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2021-08-14,1:23.441,Alberto,,549,28.871,27.233,27.337,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
