Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:48.123,Danny,,<1,36.956,35.303,35.864,8-2-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:47.549,Mattew,,<1,36.620,35.494,35.435,8-2-0,1-1-1,Morton,Blue Falcon,Azure Roller,Cloud Glider
2017-04-28,1:47.529,TTyler,,<1,36.798,35.415,35.316,9-1-0,1-1-1,Morton,Streetle,Azure Roller,Parafoil
2017-04-28,1:47.506,Mattew,,<1,36.898,35.460,35.148,8-2-0,1-1-1,Morton,Blue Falcon,Azure Roller,Cloud Glider
2017-04-28,1:46.994,Mattew,,1,-,-,-,-,-,-,-,-,-
2017-04-29,1:46.979,Jujudut,,<1,36.466,35.248,35.265,8-2-0,1-1-1,Heavy Mii Varia,Streetle,Roller,Parafoil
2017-04-29,1:46.365,Jujudut,,3,36.239,35.044,35.082,8-2-0,1-1-1,Heavy Mii Toad,Wild Wiggler,Azure Roller,Parafoil
2017-05-02,1:46.227,むし,,<1,36.216,34.930,35.081,8-2-0,1-1-1,King Boo,Streetle,Roller,Peach Parasol
2017-05-02,1:46.185,Jujudut,,1,36.354,34.994,34.837,8-2-0,1-1-1,Heavy Mii,Wild Wiggler,Azure Roller,Parafoil
2017-05-03,1:46.176,むし,,<1,36.311,34.906,34.959,8-2-0,1-1-1,Gold Mario,Streetle,Roller,Paper Glider
2017-05-03,1:46.096,むし,,<1,36.298,34.874,34.924,-,-,Gold Mario,Streetle,Roller,Paper Glider
2017-05-03,1:45.891,むし,,<1,36.319,34.648,34.924,8-2-0,1-1-1,Gold Mario,Streetle,Roller,Paper Glider
2017-05-03,1:45.890,Jujudut,,<1,36.246,34.843,34.801,7-3-0,1-1-1,Heavy Mii Crossing,Streetle,Azure Roller,Paper Glider
2017-05-03,1:45.808,Jujudut,,<1,36.039,34.956,34.813,8-2-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2017-05-03,1:45.783,むし,,<1,36.251,34.652,34.880,8-2-0,1-1-1,Wario,Biddybuggy,Azure Roller,Cloud Glider
2017-05-03,1:45.687,Power,,<1,36.297,34.789,34.601,8-2-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2017-05-03,1:45.608,Power,,<1,35.962,34.882,34.764,8-2-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2017-05-03,1:45.432,Power,,2,35.947,34.676,34.809,8-2-0,1-1-1,Roy,Streetle,Azure Roller,Paper Glider
2017-05-05,1:45.407,Jujudut,,<1,35.924,34.749,34.734,8-2-0,1-1-1,Roy,Streetle,Azure Roller,Parachute
