Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-12-07,1:23.110,Anthony,,<1,29.249,26.870,26.991,9-1-0,1-1-1,Blue Yoshi,Biddybuggy,Roller,Paper Glider
2022-12-07,1:22.939,Anthony,,<1,29.187,26.897,26.855,9-1-0,1-1-1,Blue Yoshi,Biddybuggy,Roller,Paper Glider
2022-12-07,1:22.834,Ziner,,<1,29.219,26.811,26.804,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-07,1:22.725,Ziner,,<1,29.069,27.060,26.596,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-07,1:22.643,Pii,,<1,29.103,26.639,26.901,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2022-12-07,1:22.538,Ziner,,<1,29.172,26.725,26.641,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-07,1:22.224,Ziner,,1,28.986,26.698,26.540,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-08,1:22.101,Pii,,<1,29.102,26.446,26.553,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-08,1:21.949,Pii,,<1,29.013,26.594,26.342,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-08,1:21.939,Pii,,1,29.003,26.516,26.420,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-09,1:21.862,Pii,,<1,29.038,26.471,26.353,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2022-12-09,1:21.845,Pii,,<1,28.996,26.337,26.512,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2022-12-09,1:21.743,Pii,,<1,28.879,26.490,26.374,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2022-12-09,1:21.700,Pii,,1,28.857,26.501,26.342,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2022-12-10,1:21.641,Pii,,4,28.955,26.429,26.257,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-14,1:21.483,Pii,,4,28.923,26.289,26.271,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2022-12-18,1:21.414,Pii,,7,28.842,26.360,26.212,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2022-12-25,1:21.381,Vincent,,<1,28.786,26.335,26.260,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-25,1:21.355,Vincent,,2,28.841,26.299,26.215,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-27,1:21.280,Alberto,,<1,28.832,26.407,26.041,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-27,1:21.250,Alberto,,1,28.949,26.223,26.078,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-28,1:21.225,Alberto,,<1,28.843,26.187,26.195,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-28,1:21.130,Alberto,,48,28.864,26.184,26.082,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
