Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:37.383,Shadman,,<1,33.186,33.131,31.066,-,-,Mario,Standard Kart,Standard,Super Glider
2017-04-28,1:34.411,Danny,,<1,32.884,31.926,29.601,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:31.996,Del,,<1,30.565,31.037,30.394,-,1-1-1,Male Villager,Circuit Special,Retro Off-Road,Super Glider
2017-04-28,1:30.024,Chris,,<1,31.366,30.051,28.607,7-3-0,1-1-1,Toadette,Circuit Special,Triforce Tires,Super Glider
2017-04-28,1:27.046,Luigi_Fan2,,<1,30.730,28.327,27.989,-,1-1-1,Luigi,Standard Kart,Standard,Super Glider
2017-04-28,1:26.465,Elpis,,<1,29.268,28.402,28.795,-,-,Pink Yoshi,Streetle,Azure Roller,Super Glider
2017-04-28,1:25.854,Elpis,,<1,29.389,27.932,28.533,-,-,Pink Yoshi,Streetle,Azure Roller,Super Glider
2017-04-28,1:25.768,Kevin,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:24.758,Mick,,<1,28.963,28.025,27.770,9-1-0,1-1-1,Orange Yoshi,Streetle,Roller,Super Glider
2017-04-28,1:24.423,Kevin,,<1,28.898,27.591,27.934,-,1-1-1,Heavy Mii,Streetle,Roller,Super Glider
2017-04-28,1:24.167,Mick,,1,28.921,27.537,27.709,8-0-1,1-1-1,Orange Yoshi,Streetle,Roller,Super Glider
2017-04-29,1:24.012,Mick,,<1,29.021,27.853,27.138,7-2-1,1-1-1,Orange Yoshi,Streetle,Roller,Super Glider
2017-04-29,1:23.966,Mick,,<1,28.707,27.387,27.872,7-1-1,1-1-1,Orange Yoshi,Streetle,Roller,Super Glider
2017-04-29,1:23.505,Mick,,1,28.748,27.511,27.246,7-2-1,1-1-1,Orange Yoshi,Streetle,Roller,Super Glider
2017-04-30,1:22.968,John,,<1,28.626,27.435,26.907,8-0-0,1-1-1,Roy,Streetle,Roller,Wario Wing
2017-04-30,1:22.268,Luigi_Fan2,,6,28.661,27.353,26.254,8-1-0,1-1-1,Link,Streetle,Roller,Super Glider
2017-05-06,1:22.151,Mick,,2,28.514,26.906,26.731,9-1-0,1-1-1,Orange Yoshi,Streetle,Roller,Flower Glider
2017-05-08,1:22.134,Doodle,,5,28.529,27.050,26.555,8-0-0,1-1-1,Orange Inkling Girl,Streetle,Roller,Cloud Glider
2017-05-13,1:22.067,Mick,,<1,29.008,26.642,26.417,7-2-1,1-1-1,Yoshi,Biddybuggy,Azure Roller,Cloud Glider
2017-05-13,1:21.978,Mick,,<1,28.735,27.003,26.240,8-0-1,1-1-1,Yoshi,Biddybuggy,Azure Roller,Cloud Glider
2017-05-13,1:21.970,Mick,,<1,28.512,26.901,26.557,8-0-1,1-1-1,Yoshi,Biddybuggy,Azure Roller,Cloud Glider
2017-05-13,1:21.668,Mick,,<1,28.689,26.614,26.365,9-0-0,1-1-1,Yoshi,Biddybuggy,Azure Roller,Cloud Glider
2017-05-13,1:21.063,Mick,,11,28.302,26.771,25.990,8-2-0,1-1-1,Yoshi,Biddybuggy,Azure Roller,Cloud Glider
2017-05-24,1:20.835,Mon,,22,28.459,26.265,26.111,8-2-0,1-1-1,Orange Inkling Girl,Biddybuggy,Azure Roller,Cloud Glider
2017-06-15,1:20.768,Mon,,1,28.363,26.125,26.280,9-1-0,1-1-1,Green Inkling Girl,Biddybuggy,Azure Roller,Cloud Glider
2017-06-16,1:20.719,Mon,,1,28.334,26.410,25.975,-,1-1-1,Green Inkling Girl,Biddybuggy,Azure Roller,Cloud Glider
2017-06-17,1:20.449,Mon,,79,28.331,26.245,25.873,9-1-0,1-1-1,Green Inkling Girl,Biddybuggy,Azure Roller,Cloud Glider
2017-09-04,1:20.318,Dashi,,<1,28.287,26.226,25.805,9-1-0,1-1-1,Daisy,Biddybuggy,Roller,Paper Glider
2017-09-04,1:20.257,Lyte,,1,28.278,26.217,25.762,9-0-0,1-1-1,Bowser Jr.,Biddybuggy,Azure Roller,Paper Glider
2017-09-05,1:20.220,Dashi,,1,28.132,26.210,25.878,-,1-1-1,Daisy,Biddybuggy,Roller,Paper Glider
2017-09-06,1:19.811,Dashi,,1,28.133,25.963,25.715,9-1-0,1-1-1,Daisy,Biddybuggy,Roller,Paper Glider
2017-09-07,1:19.676,Dashi,,<1,28.200,26.015,25.461,-,1-1-1,Daisy,Biddybuggy,Roller,Paper Glider
2017-09-07,1:19.520,Dashi,,5,28.207,25.835,25.478,-,1-1-1,Daisy,Biddybuggy,Roller,Paper Glider
2017-09-12,1:19.227,Jimmy,,215,27.675,25.955,25.597,9-0-0,1-1-1,Daisy,Biddybuggy,Azure Roller,Cloud Glider
2018-04-15,1:19.171,Dashi,,5,27.910,25.915,25.346,9-1-0,1-1-1,Orange Yoshi,Biddybuggy,Roller,Paper Glider
2018-04-20,1:19.022,Jimmy,,5,27.666,25.778,25.578,9-0-1,1-1-1,Daisy,Biddybuggy,Azure Roller,Cloud Glider
2018-04-25,1:18.970,Dashi,,4,27.977,25.785,25.208,9-1-0,1-1-1,White Yoshi,Biddybuggy,Azure Roller,Cloud Glider
2018-04-29,1:18.964,Jimmy,,258,27.657,25.867,25.440,9-1-0,1-1-1,Daisy,Biddybuggy,Azure Roller,Cloud Glider
2019-01-12,1:18.952,Dashi,,<1,27.931,25.693,25.328,9-1-0,1-1-1,Dark Blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
2019-01-12,1:18.937,Dashi,,1,27.850,25.763,25.324,9-1-0,1-1-1,Light-blue Yoshi,Biddybuggy,Azure Roller,Paper Glider
2019-01-13,1:18.868,Dashi,,3,27.901,25.787,25.180,9-1-0,1-1-1,Red Yoshi,Biddybuggy,Roller,Paper Glider
2019-01-16,1:18.843,Y.Y,,<1,27.716,25.727,25.400,9-1-0,1-1-1,Black Yoshi,Biddybuggy,Azure Roller,Cloud Glider
2019-01-16,1:18.513,Dashi,,5,28.038,25.585,24.890,9-1-0,1-1-1,Yellow Yoshi,Biddybuggy,Roller,Paper Glider
2019-01-21,1:18.427,Dashi,,27,27.898,25.805,24.724,8-2-0,1-1-1,Yoshi,Biddybuggy,Roller,Paper Glider
2019-02-17,1:18.210,Dashi,,119,27.859,25.544,24.807,9-1-0,1-1-1,Black Yoshi,Biddybuggy,Roller,Paper Glider
2019-06-16,1:18.145,Dashi,,4,27.808,25.309,25.028,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Roller,Paper Glider
2019-06-20,1:17.867,Dashi,,6,27.720,25.360,24.787,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2019-06-26,1:17.790,alpha,,83,27.622,25.519,24.649,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Roller,Cloud Glider
2019-09-17,1:17.638,alpha,,22,27.566,25.384,24.688,9-1-0,1-1-1,Baby Daisy,Biddybuggy,Roller,Cloud Glider
2019-10-09,1:17.532,Panda,,1,27.675,25.416,24.441,9-1-0,1-1-1,Yellow Yoshi,Biddybuggy,Azure Roller,Cloud Glider
2019-10-10,1:17.368,Panda,,8,27.682,25.236,24.450,9-1-0,1-1-1,Yellow Yoshi,Biddybuggy,Azure Roller,Cloud Glider
