Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:29.782,Mattew,,<1,31.509,29.155,29.118,10-0-0,1-1-1,Morton,Blue Falcon,Leaf Tires,Paper Glider
2017-04-28,1:29.467,Cole,,<1,32.347,29.107,28.013,10-0-0,0-1-2,Morton,Splat Buggy,Slim,Parachute
2017-04-28,1:29.360,Cole,,<1,32.302,29.033,28.025,10-0-0,0-1-2,Morton,Splat Buggy,Slim,Parachute
2017-04-28,1:29.243,ゆうじ,,1,32.122,28.927,28.194,10-0-0,0-1-2,Donkey Kong,Sneeker,Roller,Wario Wing
2017-04-29,1:29.024,ゆうじ,,<1,32.088,28.693,28.243,10-0-0,0-1-2,Donkey Kong,Sneeker,Roller,Wario Wing
2017-04-29,1:28.889,Cole,,<1,32.222,28.802,27.865,10-0-0,0-1-2,Dry Bowser,Sneeker,Roller,Peach Parasol
2017-04-29,1:28.758,Cole,,<1,32.111,28.989,27.658,10-0-0,0-1-2,Dry Bowser,Sneeker,Roller,Peach Parasol
2017-04-29,1:28.447,Cole,,<1,32.118,28.875,27.454,10-0-0,0-1-2,Donkey Kong,Sneeker,Roller,Peach Parasol
2017-04-29,1:28.206,Cole,,<1,32.112,28.663,27.431,10-0-0,0-1-2,Donkey Kong,Sneeker,Roller,Super Glider
2017-04-29,1:28.017,Cole,,<1,31.940,28.677,27.400,10-0-0,0-1-2,Donkey Kong,Sneeker,Roller,Super Glider
2017-04-29,1:27.925,Cole,,4,31.967,28.568,27.390,10-0-0,0-1-2,Donkey Kong,Sneeker,Roller,Super Glider
2017-05-03,1:27.826,Cole,,1,32.060,28.560,27.206,10-0-0,0-1-2,Dry Bowser,Mr. Scooty,Slim,Wario Wing
2017-05-04,1:27.765,くさあん,,<1,31.718,27.393,28.654,9-1-0,0-2-1,Dry Bowser,Mach 8,Azure Roller,Wario Wing
2017-05-04,1:27.764,K4I,,<1,-,-,-,-,-,-,-,-,-
2017-05-04,1:27.716,K4I,,<1,31.953,27.234,28.529,10-0-0,0-2-1,Wario,Mach 8,Azure Roller,Wario Wing
2017-05-04,1:27.487,K4I,,<1,31.668,27.287,28.532,9-1-0,0-2-1,Wario,Mach 8,Azure Roller,Wario Wing
2017-05-04,1:27.185,K4I,,1,31.565,27.195,28.425,9-1-0,0-2-1,Dry Bowser,Mach 8,Roller,Super Glider
2017-05-05,1:26.879,K4I,,20,31.487,26.987,28.405,9-1-0,0-2-1,Dry Bowser,Mach 8,Azure Roller,Super Glider
2017-05-25,1:26.856,Bry,,<1,31.496,27.021,28.339,9-1-0,0-2-1,Wario,Mach 8,Azure Roller,Plane Glider
2017-05-25,1:26.763,Bry,,7,31.410,27.059,28.294,9-1-0,0-2-1,Wario,Mach 8,Azure Roller,Plane Glider
2017-06-01,1:26.622,beat,,1,31.560,27.031,28.031,9-1-0,0-2-1,Wario,Mach 8,Roller,Plane Glider
2017-06-02,1:26.351,beat,,70,31.374,26.892,28.085,9-1-0,0-2-1,Wario,Mach 8,Roller,Plane Glider
2017-08-11,1:26.341,とん,,<1,31.480,26.867,27.994,9-1-0,0-2-1,Wario,Mach 8,Button,Paper Glider
2017-08-11,1:26.298,Davi,,<1,31.286,26.896,28.116,9-1-0,0-2-1,Wario,Mach 8,Button,Paper Glider
2017-08-11,1:26.284,Peze,,<1,31.431,26.987,27.866,9-1-0,0-2-1,Heavy Mii Crossing,Mach 8,Button,Paper Glider
2017-08-11,1:26.236,K4I,,2,31.293,26.837,28.106,9-1-0,1-1-1,Wario,Mach 8,Button,Paper Glider
2017-08-13,1:26.157,Peze,,15,31.280,26.817,28.060,9-1-0,0-2-1,Wario,Mach 8,Leaf Tires,Paper Glider
2017-08-28,1:26.097,Peze,,<1,31.320,26.791,27.986,9-1-0,0-2-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-08-28,1:26.051,Peze,,<1,31.292,26.761,27.998,9-1-0,1-2-0,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-08-28,1:26.049,Peze,,<1,31.290,26.849,27.910,9-1-0,0-2-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-08-28,1:26.023,Peze,,<1,31.438,26.658,27.927,9-1-0,0-2-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-08-28,1:25.918,Peze,,64,31.303,26.667,27.948,9-1-0,0-2-1,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-10-31,1:25.867,Peze,,38,31.289,26.628,27.950,9-1-0,0-2-1,Heavy Mii Crossing,Sports Coupe,Button,Paper Glider
2017-12-08,1:25.843,とん,,6,31.280,26.650,27.913,9-1-0,0-2-1,Heavy Mii,Mach 8,Leaf Tires,Paper Glider
2017-12-14,1:25.729,K4I,,<1,30.100,27.955,27.674,9-1-0,1-1-1,Waluigi,Inkstriker,Leaf Tires,Paper Glider
2017-12-14,1:25.725,Peze,,<1,31.292,26.656,27.777,9-1-0,0-2-1,Dry Bowser,Sports Coupe,Button,Paper Glider
2017-12-14,1:25.512,K4I,,1,30.138,27.685,27.689,9-1-0,1-1-1,Donkey Kong,Inkstriker,Leaf Tires,Parachute
2017-12-15,1:25.480,Axel,,<1,30.075,27.742,27.663,9-1-0,1-1-1,Donkey Kong,Inkstriker,Leaf Tires,Paper Glider
2017-12-15,1:25.289,とん,,8,29.983,27.742,27.564,9-1-0,1-1-1,Wario,Mach 8,Leaf Tires,Paper Glider
2017-12-23,1:25.288,Swift,,62,29.975,27.660,27.653,9-1-0,1-1-1,Wario,Mach 8,Leaf Tires,Paper Glider
2018-02-23,1:25.265,Peze,,5,30.047,27.544,27.674,9-1-0,1-1-1,Donkey Kong,Biddybuggy,Leaf Tires,Paper Glider
2018-02-28,1:25.160,Swift,,309,29.991,27.599,27.570,9-1-0,1-1-1,Wario,Mach 8,Leaf Tires,Paper Glider
2019-01-03,1:25.127,Swift,,5,29.916,27.628,27.583,9-1-0,1-1-1,Wario,Mach 8,Leaf Tires,Paper Glider
2019-01-08,1:25.108,Swift,,7,29.948,27.635,27.525,9-1-0,1-1-1,Wario,Mach 8,Leaf Tires,Paper Glider
2019-01-15,1:25.076,Sebas,,2,29.925,27.595,27.556,9-1-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Paper Glider
2019-01-17,1:25.014,Sebas,,3,29.994,27.551,27.469,9-1-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Paper Glider
2019-01-20,1:25.011,ちゃあああ,,1,30.017,27.472,27.522,9-1-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Paper Glider
2019-01-21,1:25.009,Swift,,2,29.922,27.545,27.542,9-1-0,1-1-1,Donkey Kong,Biddybuggy,Leaf Tires,Paper Glider
2019-01-23,1:24.944,Lemon,,1,29.887,27.498,27.559,9-1-0,1-1-1,Donkey Kong,Biddybuggy,Leaf Tires,Paper Glider
2019-01-24,1:24.896,Lemon,,2,29.884,27.544,27.468,9-1-0,1-1-1,Donkey Kong,Biddybuggy,Leaf Tires,Paper Glider
2019-01-26,1:24.775,Lemon,,1,29.924,27.490,27.361,9-1-0,1-1-1,Donkey Kong,Biddybuggy,Leaf Tires,Paper Glider
2019-01-27,1:24.735,Lemon,,3,29.917,27.466,27.352,9-1-0,1-1-1,Donkey Kong,Biddybuggy,Leaf Tires,Paper Glider
2019-01-30,1:24.691,Lemon,,168,29.861,27.384,27.446,9-1-0,1-1-1,Donkey Kong,Biddybuggy,Leaf Tires,Paper Glider
2019-07-17,1:24.621,クローリン,,120,29.836,27.404,27.381,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2019-11-14,1:24.616,クローリン,,57,29.801,27.427,27.388,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Cloud Glider
2020-01-10,1:24.592,Aketx,,21,29.824,27.421,27.347,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-01-31,1:24.540,クローリン,,1,29.768,27.438,27.334,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-02-01,1:24.498,FalcoX,,2,29.797,27.365,27.336,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-02-03,1:24.414,クローリン,,4,29.698,27.424,27.292,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-02-07,1:24.393,Alberto,,22,29.829,27.283,27.281,9-1-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Paper Glider
2020-02-29,1:24.364,クローリン,,105,29.666,27.426,27.272,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-06-13,1:24.334,クローリン,,1,29.737,27.358,27.239,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-06-14,1:24.282,クローリン,,4,29.660,27.298,27.324,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-06-18,1:24.148,クローリン,,177,29.669,27.246,27.233,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-12-12,1:24.144,クローリン,,3,29.639,27.266,27.239,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-12-15,1:24.092,クローリン,,28,29.617,27.271,27.204,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2021-01-12,1:24.068,もぺち,,2,29.642,27.219,27.207,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2021-01-14,1:24.044,クローリン,,12,29.585,27.252,27.207,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2021-01-26,1:23.990,クローリン,,114,29.595,27.199,27.196,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2021-05-20,1:23.887,もぺち,,7,29.579,27.165,27.143,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2021-05-27,1:23.879,クローリン,,122,29.564,27.195,27.120,9-1-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2021-09-26,1:23.870,もぺち,,120,29.576,27.162,27.132,9-1-0,1-1-1,Waluigi,Biddybuggy,Button,Paper Glider
2022-01-24,1:23.837,クローリン,,358,29.570,27.174,27.093,9-1-0,1-1-1,Roy,Biddybuggy,Button,Flower Glider
2023-01-17,1:23.810,クローリン,,28,29.543,27.153,27.114,9-1-0,1-1-1,Donkey Kong,Biddybuggy,Button,Paper Glider
