Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:30.927,DestinyCst,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:29.942,PreyingShark,,<1,30.477,29.764,29.701,9-1-0,1-1-1,Dry Bowser,Sneeker,Crimson Slim,Super Glider
2017-04-28,1:29.255,PreyingShark,,<1,30.848,29.501,28.906,9-1-0,1-1-1,Bowser Jr.,Standard Kart,Crimson Slim,Super Glider
2017-04-28,1:25.336,Luigi_Fan2,,<1,29.937,27.874,27.525,-,1-1-1,Luigi,Standard Kart,Standard,Super Glider
2017-04-28,1:25.234,Luigi_Fan2,,<1,29.472,27.973,27.789,-,1-1-1,Luigi,Standard Kart,Standard,Super Glider
2017-04-28,1:24.718,Mary,,2,28.978,27.937,27.803,6-2-2,1-1-1,Male Villager,Streetle,Roller,Cloud Glider
2017-04-30,1:24.093,Play,,<1,29.119,27.524,27.450,9-1-0,1-1-1,Blue Yoshi,Streetle,Roller,Cloud Glider
2017-04-30,1:24.005,Kevin,,<1,-,-,-,-,1-1-1,Heavy Mii Mario,Pipe Frame,Roller,Cloud Glider
2017-04-30,1:23.980,Kevin,,5,28.908,27.397,27.675,9-1-0,1-1-1,Heavy Mii Mario,Pipe Frame,Roller,Cloud Glider
2017-05-05,1:23.864,Play,,1,29.078,27.245,27.541,8-2-0,1-1-1,Red Yoshi,Streetle,Azure Roller,Plane Glider
2017-05-06,1:23.293,Kevin,,4,28.778,27.326,27.189,9-1-0,1-1-1,Heavy Mii Cpt Falcon,Biddybuggy,Azure Roller,Parachute
2017-05-10,1:23.131,Kevin,,1,28.728,27.271,27.132,9-1-0,1-1-1,Heavy Mii Mega Man,Biddybuggy,Azure Roller,MKTV Parafoil
2017-05-11,1:23.008,Ren,,<1,28.605,26.996,27.407,10-0-0,1-1-1,Wario,Biddybuggy,Button,Flower Glider
2017-05-11,1:22.668,Ren,,1,28.515,26.971,27.182,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Flower Glider
2017-05-12,1:22.372,Ren,,<1,28.538,26.929,26.905,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Flower Glider
2017-05-12,1:22.259,Ren,,<1,28.612,26.845,26.802,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Flower Glider
2017-05-12,1:22.174,Ren,,<1,28.594,26.661,26.919,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Flower Glider
2017-05-12,1:21.967,Ren,,<1,28.577,26.643,26.747,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Flower Glider
2017-05-12,1:21.850,Ren,,1,28.600,26.729,26.521,8-2-0,1-1-1,Wario,Biddybuggy,Azure Roller,Flower Glider
2017-05-13,1:21.710,Ren,,<1,28.454,26.752,26.504,7-3-0,1-1-1,Wario,Biddybuggy,Azure Roller,Flower Glider
