Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-03-17,1:05.441,kisaragi,,1,22.652,21.562,21.227,-,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:05.395 ,starxlx,,<1,22.702,21.468,21.225,-,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:05.310 ,Cream,,<1,22.681,21.455,21.174,-,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:05.099 ,starxlx,,<1,22.610,21.435,21.054,7-3-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:04.767 ,Technical,,<1,22.525,21.204,21.038,7-2-1,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2022-03-18,1:04.513 ,Technical,,<1,22.515,21.074,20.924,7-3-0,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2022-03-18,1:04.470 ,Grant,,<1,22.517,21.204,20.749,7-2-1,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:04.131 ,Technical,,1,22.417,21.201,20.513,7-3-0,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2022-03-19,1:03.721 ,Technical,,2,22.499,20.757,20.465,7-3-0,1-1-1,Wario,Biddybuggy,Azure Roller,Cloud Glider
2022-03-21,1:03.649 ,JenZua,,<1,22.277,20.828,20.544,6-3-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-21,1:03.587 ,JenZua,,<1,22.342,20.701,20.544,6-3-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-21,1:03.467 ,JenZua,,1,22.170,20.767,20.530,6-3-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-22,1:03.440 ,DavidFire,,<1,22.006,20.820,20.614,6-3-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-22,1:03.387 ,alpha,,1,22.054,20.819,20.514,6-3-1,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-23,1:03.113,alpha,,<1,22.073,20.440,20.600,6-3-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-23,1:03.082,Technical,,<1,22.119,20.597,20.366,6-3-1,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-23,1:02.982,kisaragi,,<1,22.078,20.407,20.497,6-3-1,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2022-03-23,1:02.968 ,JenZua,,<1,22.129,20.633,20.206,6-3-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-23,1:02.898 ,JenZua,,<1,22.052,20.651,20.195,6-3-1,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-23,1:02.640 ,JenZua,,2,21.918,20.465,20.257,6-3-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-25,1:02.579,EternalX,,<1,21.934,20.277,20.368,6-3-1,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2022-03-25,1:02.467,EternalX,,1,22.062,20.333,20.072,6-3-0,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2022-03-26,1:02.372,JenZua,,4,21.941,20.262,20.169,6-3-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-30,1:02.368 ,EternalX,,3,22.079,20.402,19.887,6-3-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-04-02,1:02.184,EternalX,,3,21.977,20.275,19.932,6-3-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-04-05,1:02.134,EternalX,,112,21.805,20.265,20.064,6-3-1,1-1-1,Waluigi,Biddybuggy,Azure Roller,Cloud Glider
2022-07-26,1:02.070,Alberto,,108,21.658,20.336,20.076,6-3-1,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-11-11,1:02.046,Technical,,6,21.695,20.334,20.017,6-3-1,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2022-11-17,1:01.951,EternalX,,89,21.644,20.290,20.017,6-3-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
