Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-08-04,1:29.412,Alberto,,<1,31.117,29.108,29.187,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Paper Glider
2022-08-04,1:29.356,ふな,,<1,31.199,29.273,28.884,10-0-0,1-1-1,Rosalina,Streetle,Roller,Cloud Glider
2022-08-04,1:29.169,ありす,,<1,30.902,29.069,29.198,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Flower Glider
2022-08-04,1:29.027,Alberto,,<1,30.936,28.973,29.118,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:28.949,Alberto,,<1,30.976,28.989,28.984,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:28.757,Alberto,,<1,30.968,28.993,28.796,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:28.678,Alberto,,<1,30.925,28.883,28.870,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:28.624,Alberto,,1,30.864,28.973,28.787,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-05,1:28.568,ありす,,<1,30.772,28.933,28.863,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Flower Glider
2022-08-05,1:28.508,ありす,,<1,30.779,28.720,29.009,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Flower Glider
2022-08-05,1:28.431,ありす,,<1,30.788,28.808,28.835,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Flower Glider
2022-08-05,1:28.312,Alberto,,1,30.771,28.767,28.774,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2022-08-06,1:27.946,ありす,,<1,30.693,28.784,28.469,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-06,1:27.863,ありす,,<1,30.662,28.595,28.606,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-06,1:27.669,Alberto,,<1,30.699,28.459,28.511,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Cloud Glider
2022-08-06,1:27.598,Alberto,,1,30.576,28.580,28.442,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-07,1:27.582,Alberto,,<1,30.552,28.536,28.494,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-07,1:27.534,Alberto,,<1,30.512,28.543,28.479,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-07,1:27.500,ありす,,<1,30.443,28.640,28.417,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-07,1:27.462,Alberto,,<1,30.453,28.620,28.389,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-07,1:27.416,Alberto,,<1,30.504,28.456,28.456,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-07,1:27.378,Alberto,,4,30.565,28.433,28.380,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-11,1:27.318,ありす,,<1,30.490,28.548,28.280,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Flower Glider
2022-08-11,1:27.275,Alberto,,<1,30.527,28.464,28.284,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-11,1:27.152,Alberto,,1,30.443,28.431,28.278,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-12,1:27.093,ありす,,<1,30.388,28.300,28.405,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Flower Glider
2022-08-12,1:27.045,ありす,,1,30.441,28.263,28.341,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Flower Glider
2022-08-13,1:27.030,ありす,,1,30.391,28.281,28.358,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Flower Glider
2022-08-14,1:26.881,Alberto,,90,30.400,28.259,28.222,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-11-12,1:26.748,Alberto,,50,30.336,28.257,28.155,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2023-01-01,1:26.642,Army,,<1,30.325,28.240,28.077,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2023-01-01,1:26.558,Army,,<1,30.398,28.163,27.997,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2023-01-01,1:26.430,Army,,44,30.315,28.097,28.018,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
