Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:27.138,Issem,,<1,30.517,28.241,28.380,10-0-0,1-1-1,King Boo,Pipe Frame,Slim,Parachute
2017-04-28,1:25.349,John,,<1,29.995,27.419,27.935,10-0-0,1-1-1,Wario,Streetle,Blue Standard,Super Glider
2017-04-28,1:25.326,Stacy1199,,1,30.112,27.601,27.613,10-0-0,1-1-1,Heavy Mii,Streetle,Standard,Bowser Kite
2017-04-29,1:24.817,John,,1,29.629,27.715,27.473,10-0-0,1-1-1,Dry Bowser,Streetle,Off-Road,Super Glider
2017-04-30,1:24.734,Stacy1199,,<1,-,-,-,-,-,-,-,-,-
2017-04-30,1:24.560,Jazzy,,<1,29.467,27.421,27.672,10-0-0,1-1-1,Morton,Streetle,Standard,Super Glider
2017-04-30,1:24.390,John,,<1,29.797,27.249,27.344,10-0-0,1-1-1,Dry Bowser,Streetle,Off-Road,Plane Glider
2017-04-30,1:24.213,Nick,,<1,29.698,27.226,27.289,10-0-0,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-04-30,1:24.159,Nick,,1,29.501,27.331,27.327,10-0-0,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-05-01,1:24.039,Nick,,<1,29.572,27.207,27.260,10-0-0,1-1-1,Heavy Mii,Streetle,Roller,Super Glider
2017-05-01,1:23.887,Nick,,<1,29.524,27.187,27.176,10-0-0,1-1-1,Heavy Mii,Streetle,Roller,Super Glider
2017-05-01,1:23.715,John,,1,29.446,27.200,27.069,10-0-0,1-1-1,Wario,Streetle,Roller,Super Glider
2017-05-02,1:22.869,Mick,,16,29.317,26.529,27.023,10-0-0,1-1-1,Orange Yoshi,Streetle,Roller,Flower Glider
2017-05-18,1:22.502,Lyte,,2,28.643,26.360,27.499,10-0-0,1-1-1,Light-blue Yoshi,Streetle,Roller,Super Glider
2017-05-20,1:22.344,Mick,,<1,28.757,26.491,27.096,10-0-0,1-1-1,Orange Yoshi,Streetle,Roller,Flower Glider
2017-05-20,1:22.036,Mick,,13,28.739,26.397,26.900,10-0-0,1-1-1,Orange Yoshi,Streetle,Roller,Flower Glider
2017-06-02,1:21.871,Luigi_Fan2,,55,28.345,26.895,26.631,10-0-0,1-1-1,White Yoshi,Streetle,Roller,Cloud Glider
2017-07-27,1:20.554,Lyte,,80,28.113,26.223,26.218,10-0-0,1-1-1,Orange Yoshi,Streetle,Azure Roller,Paper Glider
2017-10-15,1:20.364,Cynda,,55,27.877,26.135,26.352,10-0-0,1-1-1,Yoshi,Streetle,Azure Roller,Paper Glider
2017-12-09,1:20.331,Cynda,,<1,28.245,25.850,26.236,10-0-0,1-1-1,Black Yoshi,Streetle,Azure Roller,Paper Glider
2017-12-09,1:19.950,Cynda,,44,27.981,26.087,25.882,10-0-0,1-1-1,Black Yoshi,Streetle,Azure Roller,Paper Glider
2018-01-22,1:19.760,Espurr,,5,28.115,25.728,25.917,10-0-0,1-1-1,Orange Yoshi,Streetle,Roller,Paper Glider
2018-01-27,1:19.711,Cynda,,2,28.051,26.060,25.600,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Paper Glider
2018-01-29,1:19.427,Brandon,,2,28.011,25.683,25.733,10-0-0,1-1-1,Red Yoshi,Streetle,Roller,Hylian Kite
2018-01-31,1:19.329,Brandon,,1,27.915,25.717,25.697,10-0-0,1-1-1,King Boo,Streetle,Roller,Paper Glider
2018-02-01,1:19.222,Brandon,,<1,27.940,25.484,25.798,10-0-0,1-1-1,King Boo,Streetle,Roller,Paper Glider
2018-02-01,1:19.187,Brandon,,2,27.897,25.572,25.718,10-0-0,1-1-1,King Boo,Streetle,Roller,Paper Glider
2018-02-03,1:19.102,Brandon,,<1,28.187,25.473,25.442,10-0-0,1-1-1,King Boo,Streetle,Roller,Paper Glider
2018-02-03,1:18.911,Brandon,,71,27.937,25.516,25.458,10-0-0,1-1-1,King Boo,Streetle,Roller,Paper Glider
2018-04-15,1:18.889,Brandon,,68,27.812,25.388,25.689,10-0-0,1-1-1,King Boo,Streetle,Roller,Paper Glider
2018-06-22,1:18.869,Brandon,,6,27.855,25.517,25.497,10-0-0,1-1-1,King Boo,Streetle,Roller,Paper Glider
2018-06-28,1:18.764,Brandon,,79,27.758,25.501,25.505,10-0-0,1-1-1,King Boo,Streetle,Roller,Paper Glider
2018-09-15,1:18.746,Brandon,,<1,27.642,25.557,25.547,10-0-0,1-1-1,King Boo,Streetle,Roller,Paper Glider
2018-09-15,1:18.645,Brandon,,43,27.740,25.464,25.441,10-0-0,1-1-1,King Boo,Streetle,Roller,Paper Glider
2018-10-28,1:18.641,Brandon,,<1,27.625,25.433,25.583,10-0-0,1-1-1,King Boo,Landship,Roller,Paper Glider
2018-10-28,1:18.520,Brandon,,2,27.606,25.556,25.358,10-0-0,1-1-1,King Boo,Landship,Roller,Paper Glider
2018-10-30,1:18.407,Brandon,,328,27.512,25.488,25.407,10-0-0,1-1-1,King Boo,Landship,Roller,Paper Glider
2019-09-23,1:18.376,Brandon,,121,27.534,25.441,25.401,10-0-0,1-1-1,King Boo,Landship,Roller,Paper Glider
2020-01-22,1:18.277,Panda,,2,27.511,25.428,25.338,10-0-0,1-1-1,Champion Link,Landship,Azure Roller,Paper Glider
2020-01-24,1:18.272,Brandon,,<1,27.591,25.291,25.390,10-0-0,1-1-1,King Boo,Landship,Roller,Paper Glider
2020-01-24,1:18.116,Panda,,1,27.558,25.165,25.393,10-0-0,1-1-1,Champion Link,Landship,Azure Roller,Paper Glider
2020-01-25,1:18.089,Panda,,<1,27.630,25.253,25.206,10-0-0,1-1-1,Champion Link,Landship,Azure Roller,Paper Glider
2020-01-25,1:18.017,Panda,,1,27.456,25.179,25.382,10-0-0,1-1-1,Champion Link,Landship,Azure Roller,Paper Glider
2020-01-26,1:17.928,Panda,,366,27.524,25.141,25.263,10-0-0,1-1-1,Champion Link,Landship,Azure Roller,Paper Glider
2021-01-26,1:17.910,Panda,,1,27.437,25.254,25.219,10-0-0,1-1-1,Rosalina,Landship,Azure Roller,Paper Glider
2021-01-27,1:17.848,Panda,,<1,27.537,25.181,25.130,10-0-0,1-1-1,King Boo,Landship,Azure Roller,Paper Glider
2021-01-27,1:17.836,Panda,,1,27.561,25.098,25.177,10-0-0,1-1-1,King Boo,Landship,Azure Roller,Paper Glider
2021-01-28,1:17.674,Panda,,30,27.568,25.105,25.001,10-0-0,1-1-1,King Boo,Landship,Azure Roller,Paper Glider
2021-02-27,1:17.640,Panda,,305,27.563,25.038,25.039,10-0-0,1-1-1,King Boo,Landship,Azure Roller,Paper Glider
2021-12-29,1:17.573,Panda,,1,27.468,25.201,24.904,10-0-0,1-1-1,King Boo,Landship,Roller,Parachute
2021-12-30,1:17.256,Panda,,411,27.234,25.035,24.987,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Paper Glider
