Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:25.477,Takemi,,1,-,-,-,-,-,-,-,-,-
2017-04-29,1:22.565,John,,<1,28.866,26.984,26.715,9-1-0,1-1-1,King Boo,Streetle,Roller,Super Glider
2017-04-29,1:21.658,Jimmy,,<1,28.390,26.697,26.571,10-0-0,1-1-1,King Boo,Streetle,Roller,Super Glider
2017-04-29,1:21.203,Jimmy,,1,28.099,26.642,26.462,10-0-0,1-1-1,King Boo,Streetle,Roller,Super Glider
2017-04-30,1:21.108,Jimmy,,<1,28.045,26.580,26.483,10-0-0,1-1-1,King Boo,Streetle,Roller,Super Glider
2017-04-30,1:20.776,Jimmy,,2,28.131,26.366,26.279,10-0-0,1-1-1,King Boo,Streetle,Roller,Super Glider
2017-05-02,1:20.431,Jimmy,,24,27.889,26.302,26.240,10-0-0,1-1-1,King Boo,Streetle,Roller,Super Glider
2017-05-26,1:20.113,starxlx,,1,27.341,26.076,26.696,10-0-0,2-1-0,King Boo,Streetle,Roller,Cloud Glider
2017-05-27,1:19.949,starxlx,,2,27.258,26.142,26.549,10-0-0,2-1-0,King Boo,Streetle,Roller,Cloud Glider
2017-05-29,1:19.887,Jimmy,,<1,27.369,26.171,26.347,10-0-0,2-1-0,King Boo,Streetle,Azure Roller,Cloud Glider
2017-05-29,1:19.460,Jimmy,,2,27.271,25.761,26.428,10-0-0,2-1-0,King Boo,Streetle,Azure Roller,Cloud Glider
2017-05-31,1:19.454,Jimmy,,1,27.617,25.935,25.902,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Cloud Glider
2017-06-01,1:19.450,Jimmy,,<1,27.769,25.731,25.950,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Cloud Glider
2017-06-01,1:19.393,Jimmy,,<1,27.760,25.904,25.729,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Cloud Glider
2017-06-01,1:19.302,Jimmy,,43,27.728,25.782,25.792,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Cloud Glider
2017-07-14,1:19.006,Jimmy,,16,27.626,25.682,25.698,10-0-0,1-1-1,King Boo,Streetle,Roller,Cloud Glider
2017-07-30,1:18.875,Jimmy,,202,27.621,25.631,25.623,10-0-0,1-1-1,King Boo,Streetle,Roller,Cloud Glider
2018-02-17,1:18.751,Ryan5,,1,27.661,25.605,25.485,10-0-0,1-1-1,King Boo,Streetle,Roller,Cloud Glider
2018-02-18,1:18.723,Jimmy,,1,27.554,25.498,25.671,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Cloud Glider
2018-02-19,1:18.703,Ryan5,,1,27.649,25.595,25.459,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Cloud Glider
2018-02-20,1:18.684,Jimmy,,2,27.522,25.680,25.482,10-0-0,1-1-1,Link,Streetle,Azure Roller,Cloud Glider
2018-02-22,1:18.571,Ryan5,,6,27.564,25.463,25.544,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Cloud Glider
2018-02-28,1:18.472,Jimmy,,136,27.417,25.454,25.601,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Cloud Glider
2018-07-14,1:18.432,Alberto,,11,27.463,25.475,25.494,10-0-0,1-1-1,Link,Streetle,Azure Roller,Paper Glider
2018-07-25,1:18.288,Jimmy,,7,27.322,25.406,25.560,10-0-0,1-1-1,Champion Link,Streetle,Azure Roller,Cloud Glider
2018-08-01,1:18.280,Alberto,,3,27.407,25.518,25.355,10-0-0,1-1-1,Link,Streetle,Azure Roller,Paper Glider
2018-08-04,1:18.197,Jimmy,,<1,27.109,25.615,25.473,10-0-0,1-1-1,Champion Link,Streetle,Azure Roller,Cloud Glider
2018-08-04,1:18.131,Alberto,,1,27.291,25.418,25.422,10-0-0,1-1-1,Link,Streetle,Azure Roller,Cloud Glider
2018-08-05,1:18.085,Alberto,,1,27.281,25.375,25.429,10-0-0,1-1-1,Link,Streetle,Azure Roller,Cloud Glider
2018-08-06,1:17.969,Alberto,,260,27.280,25.294,25.395,10-0-0,1-1-1,Link,Streetle,Azure Roller,Paper Glider
2019-04-23,1:17.951,Alberto,,<1,27.226,25.417,25.308,10-0-0,1-1-1,Link,Streetle,Azure Roller,Paper Glider
2019-04-23,1:17.838,Alberto,,1,27.252,25.241,25.345,10-0-0,1-1-1,Link,Streetle,Azure Roller,Paper Glider
2019-04-24,1:17.823,Alberto,,1,27.209,25.353,25.261,10-0-0,1-1-1,Link,Streetle,Azure Roller,Paper Glider
2019-04-25,1:17.820,Alberto,,<1,27.138,25.361,25.321,10-0-0,1-1-1,Link,Streetle,Azure Roller,Paper Glider
2019-04-25,1:17.809,Alberto,,<1,27.129,25.323,25.357,10-0-0,1-1-1,Champion Link,Streetle,Azure Roller,Paper Glider
2019-04-25,1:17.751,Alberto,,1,27.108,25.296,25.347,10-0-0,1-1-1,Champion Link,Streetle,Azure Roller,Paper Glider
2019-04-26,1:17.746,Alberto,,<1,27.138,25.226,25.382,10-0-0,1-1-1,Champion Link,Streetle,Azure Roller,Paper Glider
2019-04-26,1:17.618,Alberto,,265,27.146,25.243,25.229,10-0-0,1-1-1,Champion Link,Streetle,Azure Roller,Paper Glider
2020-01-16,1:17.451,Alberto,,364,27.017,25.224,25.210,10-0-0,1-1-1,Rosalina,Streetle,Azure Roller,Cloud Glider
2021-01-14,1:17.441,Alberto,,1,27.023,25.187,25.231,10-0-0,1-1-1,Rosalina,Streetle,Azure Roller,Paper Glider
2021-01-15,1:17.410,Alberto,,1,26.964,25.225,25.221,10-0-0,1-1-1,Link,Streetle,Azure Roller,Paper Glider
2021-01-16,1:17.409,Alberto,,48,26.948,25.173,25.288,10-0-0,1-1-1,Rosalina,Streetle,Azure Roller,Paper Glider
2021-03-05,1:17.370,Alberto,,1,27.002,25.189,25.179,10-0-0,1-1-1,Rosalina,Streetle,Azure Roller,Parachute
2021-03-06,1:17.360,Alberto,,<1,26.952,25.263,25.145,10-0-0,1-1-1,Rosalina,Streetle,Azure Roller,Parachute
2021-03-06,1:17.298,Alberto,,2,26.905,25.162,25.231,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Parachute
2021-03-08,1:17.282,Alberto,,1,26.916,25.164,25.202,10-0-0,1-1-1,King Boo,Streetle,Azure Roller,Parachute
