Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:34.336,Bakke,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:22.606,Mary,,<1,28.440,27.207,26.959,10-0-0,1-1-1,Male Villager,Streetle,Roller,Plane Glider
2017-04-28,1:20.747,Kevin,,1,28.294,26.101,26.352,8-0-0,1-1-1,Heavy Mii Sonic,Streetle,Slim,Parachute
2017-04-29,1:19.587,Kevin,,1,27.765,25.980,25.842,-,1-1-1,Heavy Mii,Streetle,Slim,Parachute
2017-04-30,1:18.765,Kevin,,11,27.638,25.537,25.590,10-0-0,1-1-1,Heavy Mii Fox,Pipe Frame,Azure Roller,Parachute
2017-05-11,1:18.627,Kevin,,<1,27.453,25.632,25.542,10-0-0,1-1-1,Heavy Mii Yoshi,Pipe Frame,Azure Roller,Parachute
2017-05-11,1:18.445,Kevin,,<1,27.334,25.749,25.362,9-1-0,1-1-1,Heavy Mii Yoshi,Pipe Frame,Azure Roller,Parachute
2017-05-11,1:18.254,Kevin,,1,27.406,25.463,25.385,9-1-0,1-1-1,Heavy Mii Yoshi,Pipe Frame,Azure Roller,Parachute
2017-05-12,1:18.230,Kevin,,<1,27.484,25.339,25.407,10-0-0,1-1-1,Heavy Mii Yoshi,Pipe Frame,Azure Roller,Parachute
2017-05-12,1:18.017,Kevin,,<1,27.375,25.269,25.373,10-0-0,1-1-1,Heavy Mii Yoshi,Pipe Frame,Azure Roller,Parachute
2017-05-12,1:17.805,Kevin,,18,27.161,25.445,25.199,10-0-0,1-1-1,Heavy Mii Yoshi,Pipe Frame,Azure Roller,Parachute
2017-05-30,1:17.544,Lyte,,9,27.149,25.104,25.291,10-0-0,1-1-1,Yoshi,Biddybuggy,Azure Roller,Super Glider
2017-06-08,1:17.415,Kevin,,2,27.180,25.142,25.093,10-0-0,1-1-1,Heavy Mii Yoshi,Biddybuggy,Azure Roller,Parachute
2017-06-10,1:17.409,Kevin,,<1,27.309,25.048,25.052,10-0-0,1-1-1,Heavy Mii Yoshi,Biddybuggy,Azure Roller,Parachute
2017-06-10,1:17.331,Kevin,,1,27.129,25.060,25.142,10-0-0,1-1-1,Heavy Mii Yoshi,Biddybuggy,Azure Roller,Parachute
2017-06-11,1:16.976,Luigi_Fan2,,1,26.844,24.911,25.221,10-0-0,1-1-1,Lemmy,Mr. Scooty,Roller,Cloud Glider
2017-06-12,1:16.283,Carson,,150,26.855,24.812,24.616,10-0-0,1-1-1,Lemmy,Mr. Scooty,Roller,Cloud Glider
2017-11-09,1:16.217,Miguel,,<1,26.842,24.670,24.705,10-0-0,1-1-1,Dry Bones,Biddybuggy,Azure Roller,Cloud Glider
2017-11-09,1:16.167,Miguel,,2,26.511,24.944,24.712,10-0-0,1-1-1,Dry Bones,Biddybuggy,Azure Roller,Cloud Glider
2017-11-11,1:16.025,Miguel,,3,26.667,24.633,24.725,8-2-0,1-1-1,Dry Bones,Biddybuggy,Azure Roller,Cloud Glider
2017-11-14,1:15.994,Miguel,,6,26.654,24.475,24.865,10-0-0,1-1-1,Koopa Troopa,Biddybuggy,Azure Roller,Cloud Glider
2017-11-20,1:15.930,Miguel,,1,26.595,24.715,24.620,10-0-0,1-1-1,Koopa Troopa,Biddybuggy,Azure Roller,Cloud Glider
2017-11-21,1:15.842,Miguel,,2,26.657,24.743,24.442,10-0-0,1-1-1,Baby Rosalina,Biddybuggy,Azure Roller,Cloud Glider
2017-11-23,1:15.588,Miguel,,3,26.622,24.550,24.416,10-0-0,1-1-1,Baby Rosalina,Biddybuggy,Azure Roller,Cloud Glider
2017-11-26,1:15.421,Miguel,,113,26.588,24.405,24.428,10-0-0,1-1-1,Baby Rosalina,Biddybuggy,Azure Roller,Peach Parasol
2018-03-19,1:15.401,Davi,,1,26.452,24.418,24.531,10-0-0,1-1-1,Baby Rosalina,Biddybuggy,Azure Roller,Paper Glider
2018-03-20,1:15.376,Davi,,<1,26.361,24.578,24.437,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,MKTV Parafoil
2018-03-20,1:15.290,Davi,,<1,26.432,24.331,24.527,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,MKTV Parafoil
2018-03-20,1:15.257,Davi,,2,26.402,24.392,24.463,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,MKTV Parafoil
2018-03-22,1:15.224,Davi,,1,26.423,24.371,24.430,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Peach Parasol
2018-03-23,1:15.185,Davi,,1,26.245,24.458,24.482,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Peach Parasol
2018-03-24,1:15.111,Davi,,1,26.265,24.394,24.452,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Peach Parasol
2018-03-25,1:15.070,Davi,,44,26.328,24.357,24.385,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Peach Parasol
2018-05-08,1:14.952,Davi,,130,26.411,24.319,24.222,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Parafoil
2018-09-15,1:14.900,そうめん,,4,26.283,24.290,24.327,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Roller,Cloud Glider
2018-09-19,1:14.635,そうめん,,626,26.215,24.167,24.253,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Roller,Cloud Glider
2020-06-06,1:14.555,Panda,,4,26.049,24.206,24.300,9-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2020-06-10,1:14.176,そうめん,,3,26.040,24.077,24.059,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Roller,Paper Glider
2020-06-13,1:14.054,Army,,200,26.009,24.033,24.012,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2020-12-30,1:13.992,Panda,,106,25.890,24.030,24.072,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2021-04-15,1:13.982,Panda,,<1,25.881,23.954,24.147,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2021-04-15,1:13.898,Panda,,210,25.874,24.006,24.018,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2021-11-11,1:13.865,Army,,1,25.939,24.024,23.902,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2021-11-12,1:13.824,Army,,73,25.910,23.893,24.021,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-01-24,1:13.780,Panda,,3,25.895,23.931,23.954,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2022-01-27,1:13.767,Panda,,<1,25.798,24.051,23.918,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2022-01-27,1:13.519,Panda,,1,25.768,23.940,23.811,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2022-01-28,1:13.477,Panda,,1,25.781,23.905,23.791,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
