Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:34.741,DestinyCst,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:27.988,Naoto,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:27.160,Danny,,<1,29.241,28.382,29.537,10-0-0,2-1-0,Wario,Splat Buggy,Slim,Super Glider
2017-04-28,1:26.476,Naoto,,1,29.391,28.534,28.551,10-0-0,1-1-1,Link,Splat Buggy,Slim,MKTV Parafoil
2017-04-29,1:25.669,エル,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:25.217,エル,,1,28.961,28.118,28.138,10-0-0,-,Link,Splat Buggy,Slim,Hylian Kite
2017-04-30,1:23.937,エル,,8,28.614,27.731,27.592,10-0-0,1-1-1,Link,Splat Buggy,Slim,Hylian Kite
2017-05-08,1:23.929,Mick,,<1,29.194,27.289,27.446,10-0-0,1-1-1,Yoshi,Wild Wiggler,Slim,Parafoil
2017-05-08,1:23.791,TTyler,,<1,28.758,27.427,27.606,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Azure Roller,Cloud Glider
2017-05-08,1:23.579,Mick,,<1,28.802,27.317,27.460,10-0-0,1-1-1,Yoshi,Wild Wiggler,Slim,Parafoil
2017-05-08,1:23.159,Mick,,13,28.675,27.290,27.194,10-0-0,1-1-1,Yoshi,Wild Wiggler,Slim,Parafoil
2017-05-21,1:23.050,Mick,,<1,28.796,27.226,27.028,10-0-0,1-1-1,Yoshi,Biddybuggy,Leaf Tires,Paper Glider
2017-05-21,1:22.884,Cynda,,<1,28.426,27.330,27.128,10-0-0,1-1-1,Red Yoshi,Wild Wiggler,Slim,Bowser Kite
2017-05-21,1:22.850,Mick,,<1,28.462,27.254,27.134,10-0-0,1-1-1,Yoshi,Biddybuggy,Leaf Tires,Paper Glider
2017-05-21,1:22.622,Mick,,21,28.555,26.983,27.084,10-0-0,1-1-1,Yoshi,Biddybuggy,Leaf Tires,Paper Glider
2017-06-11,1:22.602,Lyte,,10,28.267,26.981,27.354,10-0-0,1-1-1,Blue Yoshi,Biddybuggy,Azure Roller,Hylian Kite
2017-06-21,1:22.454,Lyte,,32,28.483,26.998,26.973,10-0-0,1-1-1,Black Yoshi,Pipe Frame,Azure Roller,Hylian Kite
2017-06-23,1:22.454,Mick,,30,28.204,26.990,27.260,10-0-0,1-1-1,Yoshi,Pipe Frame,Roller,Cloud Glider
2017-06-29,1:22.454,Jimmy,,24,28.401,27.001,27.052,10-0-0,1-1-1,Blue Yoshi,Pipe Frame,Azure Roller,Cloud Glider
2017-07-23,1:22.267,Unreal,,118,28.326,26.959,26.982,10-0-0,1-1-1,Light-blue Yoshi,Pipe Frame,Azure Roller,Hylian Kite
2017-11-18,1:22.237,Jimmy,,1,28.246,26.919,27.072,10-0-0,1-1-1,Luigi,Biddybuggy,Azure Roller,Cloud Glider
2017-11-19,1:22.187,Jimmy,,<1,28.180,26.924,27.083,10-0-0,1-1-1,Luigi,Biddybuggy,Azure Roller,Cloud Glider
2017-11-19,1:22.161,Jimmy,,<1,28.168,27.089,26.904,10-0-0,1-1-1,Luigi,Biddybuggy,Azure Roller,Cloud Glider
2017-11-19,1:22.069,Jimmy,,<1,28.294,26.994,26.781,10-0-0,1-1-1,Luigi,Biddybuggy,Azure Roller,Cloud Glider
2017-11-19,1:22.004,Jimmy,,1,28.205,26.880,26.919,10-0-0,1-1-1,Luigi,Biddybuggy,Azure Roller,Cloud Glider
2017-11-20,1:21.966,Ryan5,,2,28.202,26.992,26.772,10-0-0,1-1-1,Luigi,Biddybuggy,Azure Roller,Cloud Glider
2017-11-22,1:21.797,Ryan5,,53,28.156,26.847,26.794,10-0-0,1-1-1,Luigi,Biddybuggy,Azure Roller,Cloud Glider
2018-01-14,1:21.627,Ziner,,167,28.188,26.699,26.740,10-0-0,1-1-1,White Yoshi,Biddybuggy,Azure Roller,Cloud Glider
2018-06-30,1:21.576,SuperFX,,176,28.106,26.702,26.768,10-0-0,1-1-1,Black Yoshi,Mr. Scooty,Roller,Cloud Glider
2018-12-23,1:21.532,SuperFX,,1,28.083,26.616,26.833,10-0-0,1-1-1,White Yoshi,Mr. Scooty,Roller,Cloud Glider
2018-12-24,1:21.434,SuperFX,,81,28.062,26.712,26.660,10-0-0,1-1-1,White Yoshi,Mr. Scooty,Roller,Cloud Glider
2019-03-15,1:21.324,ヨシ,,1,27.976,26.697,26.651,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Cloud Glider
2019-03-16,1:21.170,SuperFX,,<1,28.004,26.584,26.582,10-0-0,1-1-1,Roy,Mr. Scooty,Roller,Cloud Glider
2019-03-16,1:20.964,SuperFX,,1,27.835,26.517,26.612,10-0-0,1-1-1,Roy,Mr. Scooty,Roller,Cloud Glider
2019-03-17,1:20.956,SuperFX,,<1,27.877,26.551,26.528,10-0-0,1-1-1,Roy,Mr. Scooty,Roller,Cloud Glider
2019-03-17,1:20.789,SuperFX,,367,27.890,26.437,26.462,10-0-0,1-1-1,Roy,Mr. Scooty,Roller,Cloud Glider
2020-03-18,1:20.754,SuperFX,,1,27.820,26.417,26.517,10-0-0,1-1-1,Roy,Mr. Scooty,Roller,Cloud Glider
2020-03-19,1:20.667,SuperFX,,442,27.767,26.416,26.484,10-0-0,1-1-1,Roy,Mr. Scooty,Roller,Cloud Glider
2021-06-04,1:20.638,Panda,,88,27.900,26.396,26.342,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2021-08-31,1:20.545 ,JenZua,,158,27.898,26.297,26.350,10-0-0,1-1-1,Roy,Biddybuggy ,Azure Roller ,Flower Glider
2022-02-05,1:20.544 ,JenZua,,1,27.752,26.338,26.454,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-02-06,1:20.509 ,JenZua,,126,27.889,26.297,26.323,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-06-12,1:20.487 ,JenZua,,203,27.735,26.409,26.343,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2023-01-01,1:20.441 ,JenZua,,<1,27.799,26.276,26.366,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2023-01-01,1:20.414 ,JenZua,,<1,27.795,26.361,26.258,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2023-01-01,1:20.344 ,JenZua,,44,27.731,26.338,26.275,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
