Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:57.224,Mattew,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:54.095,ぷれいやー,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:52.115,ぷれいやー,,1,-,-,-,-,-,-,-,-,-
2017-04-29,1:51.846,ぷれいやー,,1,38.529,36.631,36.686,10-0-0,1-1-1,Heavy Mii,Mach 8,Standard,Super Glider
2017-04-30,1:51.667,こんとらかなこ,,<1,-,-,-,-,-,-,-,-,-
2017-04-30,1:51.560,ぷれいやー,,1,38.246,36.849,36.465,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Leaf Tires,Cloud Glider
2017-05-01,1:51.501,ぷれいやー,,<1,-,-,-,-,-,-,-,-,-
2017-05-01,1:51.269,ぷれいやー,,2,-,-,-,-,-,-,-,-,-
2017-05-03,1:51.172,ぷれいやー,,3,38.087,36.554,36.531,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Leaf Tires,Waddle Wing
2017-05-06,1:51.154,Shaun,,1,38.132,36.533,36.489,9-1-0,1-1-1,Heavy Mii,Wild Wiggler,Button,Super Glider
2017-05-07,1:51.128,Mattew,,<1,38.030,36.590,36.508,9-1-0,1-1-1,Wario,Wild Wiggler,Button,Super Glider
2017-05-07,1:50.864,Mattew,,<1,38.044,36.390,36.430,8-2-0,1-1-1,Wario,Wild Wiggler,Button,Cloud Glider
2017-05-07,1:50.747,Mattew,,<1,37.898,36.639,36.210,8-2-0,1-1-1,Wario,Wild Wiggler,Button,Cloud Glider
2017-05-07,1:50.228,Mattew,,1,37.690,36.252,36.286,9-1-0,1-1-1,Wario,Wild Wiggler,Button,Cloud Glider
2017-05-08,1:50.150,ぷれいやー,,<1,37.617,36.196,36.337,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Roller,Waddle Wing
2017-05-08,1:50.010,Shaun,,4,37.521,36.249,36.240,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Roller,Parachute
2017-05-12,1:49.898,ぷれいやー,,6,37.545,36.161,36.192,10-0-0,1-1-1,Heavy Mii,Wild Wiggler,Roller,Waddle Wing
