Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:50.548,Davi,,<1,36.846,36.804,36.898,10-0-0,2-1-0,Morton,Circuit Special,Slim,Parachute
2017-04-28,1:50.462,Davi,,<1,36.825,37.059,36.578,10-0-0,2-0-1,Morton,Streetle,Slim,Cloud Glider
2017-04-28,1:50.030,B!KZO,,<1,36.662,36.937,36.431,10-0-0,2-0-1,Morton,Cat Cruiser,Slim,Plane Glider
2017-04-28,1:49.959,B!KZO,,<1,36.622,36.984,36.353,10-0-0,2-0-1,Morton,Cat Cruiser,Slim,Plane Glider
2017-04-28,1:49.619,B!KZO,,<1,36.414,36.866,36.339,10-0-0,2-0-1,Morton,Cat Cruiser,Slim,Plane Glider
2017-04-28,1:49.582,K4I,,<1,36.485,36.734,36.363,10-0-0,2-0-1,Wario,Splat Buggy,Slim,Plane Glider
2017-04-28,1:49.536,スベリータ,,<1,36.379,36.877,36.280,10-0-0,2-0-1,Morton,Mach 8,Cyber Slick,Paper Glider
2017-04-28,1:49.532,B!KZO,,<1,36.481,36.713,36.338,10-0-0,2-0-1,Morton,Mach 8,Cyber Slick,Plane Glider
2017-04-28,1:49.220,K4I,,<1,36.544,36.062,36.614,10-0-0,2-1-0,Bowser,Splat Buggy,Slim,Cloud Glider
2017-04-28,1:49.213,B!KZO,,<1,36.273,36.186,36.754,10-0-0,2-1-0,Morton,W 25 Silver Arrow,Crimson Slim,Plane Glider
2017-04-28,1:48.983,B!KZO,,<1,36.311,36.059,36.613,10-0-0,2-1-0,Morton,W 25 Silver Arrow,Crimson Slim,Plane Glider
2017-04-28,1:48.922,K4I,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:48.918,NOBUO,,1,-,-,-,-,-,-,-,-,-
2017-04-29,1:48.696,しまけい,,<1,36.329,36.352,36.015,10-0-0,2-0-1,Morton,Yoshi Bike,Slim,-
2017-04-29,1:48.554,しまけい,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:48.519,NOBUO,,1,-,-,-,-,-,-,-,-,-
2017-04-30,1:48.382,purin,,1,36.214,35.781,36.387,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Parachute
2017-05-01,1:48.172,Cole,,<1,36.147,35.629,36.396,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Parachute
2017-05-01,1:48.148,Swift,,1,36.146,35.747,36.255,10-0-0,2-1-0,Morton,Yoshi Bike,Button,Cloud Glider
2017-05-02,1:48.036,Cole,,<1,36.096,35.726,36.214,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Cloud Glider
2017-05-02,1:47.998,Cole,,5,36.055,35.690,36.253,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Cloud Glider
2017-05-07,1:47.794,Cole,,<1,36.040,35.525,36.229,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Cloud Glider
2017-05-07,1:47.737,Cole,,<1,36.041,35.587,36.109,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Cloud Glider
2017-05-07,1:47.706,Cole,,<1,35.986,35.522,36.198,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Cloud Glider
2017-05-07,1:47.694,Cole,,<1,35.963,35.531,36.200,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Cloud Glider
2017-05-07,1:47.693,Cole,,<1,35.969,35.548,36.176,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Cloud Glider
2017-05-07,1:47.682,Cole,,<1,35.944,35.553,36.185,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Cloud Glider
2017-05-07,1:47.646,Cole,,11,35.940,35.548,36.158,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Cloud Glider
2017-05-18,1:47.609,Lyte,,3,35.933,35.585,36.091,10-0-0,2-1-0,Heavy Mii,Sports Coupe,Leaf Tires,Paper Glider
2017-05-21,1:47.546,Cole,,<1,35.917,35.466,36.163,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Cloud Glider
2017-05-21,1:47.478,Cole,,6,35.912,35.504,36.062,10-0-0,2-1-0,Dry Bowser,Yoshi Bike,Button,Cloud Glider
2017-05-27,1:47.455,K4I,,1,35.848,35.536,36.071,10-0-0,2-1-0,Wario,Mach 8,Leaf Tires,Flower Glider
2017-05-28,1:47.424,Davi,,<1,35.921,35.444,36.059,10-0-0,2-1-0,Wario,Mach 8,Leaf Tires,Flower Glider
2017-05-28,1:47.401,K4I,,<1,35.870,35.508,36.023,10-0-0,2-1-0,Dry Bowser,Mach 8,Leaf Tires,Paper Glider
2017-05-28,1:47.394,K4I,,<1,35.868,35.447,36.079,10-0-0,2-1-0,Bowser,Mach 8,Leaf Tires,Paper Glider
2017-05-28,1:47.387,K4I,,1,35.899,35.470,36.018,10-0-0,2-1-0,Bowser,Mach 8,Leaf Tires,Paper Glider
2017-05-29,1:47.370,Cole,,21,35.853,35.457,36.060,10-0-0,2-1-0,Wario,Yoshi Bike,Button,Cloud Glider
2017-06-19,1:47.237,K4I,,13,35.762,35.435,36.040,10-0-0,2-1-0,Wario,Mach 8,Leaf Tires,Paper Glider
2017-07-02,1:47.219,Davi,,41,35.834,35.415,35.970,10-0-0,2-1-0,Wario,Mach 8,Leaf Tires,Paper Glider
2017-08-12,1:47.143,Davi,,101,35.759,35.392,35.992,10-0-0,2-1-0,Wario,Mach 8,Button,Paper Glider
2017-11-21,1:47.124,K4I,,75,35.820,35.405,35.899,10-0-0,2-1-0,Wario,Mach 8,Button,Paper Glider
2018-02-04,1:47.119,Davi,,16,35.720,35.357,36.042,10-0-0,2-1-0,Wario,Mach 8,Button,Paper Glider
2018-02-20,1:47.091,Davi,,<1,35.685,35.370,36.036,10-0-0,2-1-0,Wario,Mach 8,Button,Paper Glider
2018-02-20,1:47.073,Davi,,1,35.712,35.368,35.993,10-0-0,2-1-0,Wario,Mach 8,Button,Paper Glider
2018-02-21,1:47.048,Davi,,<1,35.746,35.371,35.931,10-0-0,2-1-0,Wario,Mach 8,Button,Paper Glider
2018-02-21,1:47.033,Davi,,21,35.685,35.349,35.999,10-0-0,2-1-0,Wario,Mach 8,Button,Paper Glider
2018-03-14,1:47.003,Axel,,1,35.658,35.417,35.928,10-0-0,2-1-0,Wario,Mach 8,Button,Paper Glider
2018-03-15,1:46.970,Davi,,<1,35.747,35.344,35.879,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Paper Glider
2018-03-15,1:46.781,Davi,,<1,35.684,35.260,35.837,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Paper Glider
2018-03-15,1:46.704,Davi,,2,35.655,35.244,35.805,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Paper Glider
2018-03-17,1:46.695,Davi,,9,35.562,35.210,35.923,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Paper Glider
2018-03-26,1:46.507,K4I,,3,35.558,35.185,35.764,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2018-03-29,1:46.506,Davi,,11,35.612,35.187,35.707,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Paper Glider
2018-04-09,1:46.505,K4I,,<1,35.508,35.196,35.801,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Cloud Glider
2018-04-09,1:46.489,Davi,,<1,35.540,35.176,35.773,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Paper Glider
2018-04-09,1:46.412,K4I,,592,35.527,35.086,35.799,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2019-11-22,1:46.408,Sebas,,1,35.526,35.131,35.751,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2019-11-23,1:46.406,K4I,,13,35.503,35.218,35.685,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Paper Glider
2019-12-06,1:46.391,Sebas,,<1,35.483,35.198,35.710,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2019-12-06,1:46.375,Sebas,,20,35.484,35.136,35.755,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2019-12-26,1:46.303,K4I,,1,35.529,35.036,35.738,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Cloud Glider
2019-12-27,1:46.289,K4I,,<1,35.535,35.118,35.636,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2019-12-27,1:46.219,K4I,,<1,35.545,34.939,35.735,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2019-12-27,1:46.191,K4I,,1,35.498,35.034,35.659,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2019-12-28,1:46.176,Army,,<1,35.437,35.002,35.737,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2019-12-28,1:46.163,Army,,116,35.472,34.988,35.703,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-04-22,1:46.135,Etena,,21,35.505,34.979,35.651,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-05-13,1:45.850 ,Etena,,8,35.368,34.799,35.683,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-05-21,1:45.828 ,K4I,,1,35.416,34.924,35.488,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-05-22,1:45.815 ,K4I,,<1,35.366,34.851,35.598,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-05-22,1:45.769 ,K4I,,34,35.387,34.895,35.487,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2020-06-25,1:45.736 ,Etena,,242,35.309,34.888,35.539,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2021-02-22,1:45.703 ,K4I,,2,35.327,34.886,35.490,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2021-02-24,1:45.646 ,K4I,,131,35.266,34.848,35.532,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2021-07-05,1:45.639 ,koko,,<1,35.319,34.829,35.491,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2021-07-05,1:45.636 ,K4I,,2,35.385,34.767,35.484,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2021-07-07,1:45.624 ,koko,,<1,35.349,34.778,35.497,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2021-07-07,1:45.595 ,koko,,1,35.293,34.828,35.474,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2021-07-08,1:45.573 ,K4I,,96,35.307,34.810,35.456,10-0-0,2-1-0,Donkey Kong,Biddybuggy,Leaf Tires,Paper Glider
2021-10-12,1:45.523 ,koko,,115,35.302,34.766,35.455,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-02-04,1:45.481 ,しらぬい,,36,35.256,34.747,35.478,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Cloud Glider
2022-03-12,1:45.475 ,koko,,108,35.297,34.725,35.453,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-06-28,1:45.445 ,Alberto,,<1,35.290,34.741,35.414,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-06-28,1:45.441 ,Alberto,,<1,35.260,34.766,35.415,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-06-28,1:45.413 ,Alberto,,1,35.313,34.718,35.382,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Paper Glider
2022-06-29,1:45.409 ,Alberto,,<1,35.282,34.719,35.408,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Paper Glider
2022-06-29,1:45.400 ,Alberto,,1,35.268,34.727,35.405,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Paper Glider
2022-06-30,1:45.373 ,Alberto,,3,35.245,34.731,35.397,10-0-0,2-1-0,Roy,Biddybuggy,Leaf Tires,Paper Glider
2022-07-03,1:45.358 ,Alberto,,1,35.254,34.709,35.395,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-07-04,1:45.357 ,Alberto,,<1,35.253,34.702,35.402,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-07-04,1:45.356 ,Alberto,,1,35.258,34.679,35.419,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-07-05,1:45.331 ,しらぬい,,224,35.216,34.689,35.426,10-0-0,2-1-0,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-07-05,1:45.331 ,Alberto,,224,35.251,34.715,35.365,10-0-0,2-1-0,Waluigi ,Biddybuggy,Leaf Tires,Cloud Glider
