Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:42.184,Crazykonga,,<1,35.143,33.699,33.342,7-3-0,1-1-1,Dry Bowser,Wild Wiggler,Slim,Super Glider
2017-04-28,1:41.980,K4I,,<1,35.133,33.583,33.264,7-3-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Slim,Super Glider
2017-04-28,1:41.833,あお,,<1,35.144,33.476,33.213,7-3-0,1-1-1,Morton,Pipe Frame,Slim,Super Glider
2017-04-28,1:41.673,K4I,,<1,35.107,33.487,33.079,7-3-0,1-1-1,Bowser,Splat Buggy,Slim,Super Glider
2017-04-28,1:41.644,Danny,,<1,35.106,33.375,33.163,7-3-0,1-1-1,Dry Bowser,Splat Buggy,Slim,Plane Glider
2017-04-28,1:41.540,Mon,,<1,35.039,33.388,33.113,7-3-0,1-1-1,Bowser,Splat Buggy,Slim,Plane Glider
2017-04-28,1:41.415,Danny,,1,34.989,33.351,33.075,7-3-0,1-1-1,Bowser,Splat Buggy,Slim,Plane Glider
2017-04-29,1:41.365,あお,,<1,34.946,33.366,33.053,7-3-0,1-1-1,Bowser,Splat Buggy,Slim,Plane Glider
2017-04-29,1:41.351,Pyrax,,<1,35.019,33.413,32.919,7-3-0,1-1-1,Bowser,Splat Buggy,Slim,Plane Glider
2017-04-29,1:41.287,Pyrax,,<1,34.956,33.361,32.970,7-3-0,1-1-1,Bowser,Splat Buggy,Slim,Plane Glider
2017-04-29,1:41.255,Pyrax,,<1,-,-,-,7-3-0,1-1-1,Bowser,Splat Buggy,Slim,Plane Glider
2017-04-29,1:41.246,Pyrax,,1,34.946,33.344,32.956,7-3-0,1-1-1,Bowser,Splat Buggy,Slim,Plane Glider
2017-04-30,1:41.127,Pyrax,,1,34.907,33.314,32.906,7-3-0,1-1-1,Bowser,Splat Buggy,Slim,Plane Glider
2017-05-01,1:41.121,kitto,,<1,34.889,33.110,33.122,7-3-0,1-1-1,Wario,Pipe Frame,Leaf Tires,Cloud Glider
2017-05-01,1:41.052,kitto,,<1,-,-,-,7-3-0,1-1-1,Wario,Pipe Frame,Leaf Tires,Cloud Glider
2017-05-01,1:40.852,Paco,,1,34.772,33.110,32.970,7-3-0,1-1-1,Bowser,Wild Wiggler,Leaf Tires,Plane Glider
2017-05-02,1:40.517,SuperFX,,1,34.682,33.061,32.774,7-3-0,1-1-1,Dry Bowser,Blue Falcon,Azure Roller,Flower Glider
