Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:25.800,Del,,<1,20.516,36.800,28.484,5-5-0,0-1-0,Male Villager,Standard Kart,Off-Road,Super Glider
2017-04-28,1:24.116,Danny,,<1,20.233,35.750,28.133,4-4-2,0-2-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:23.600,Mary,,<1,19.183,35.850,28.567,-,-,Metal Mario,Streetle,Roller,Plane Glider
2017-04-28,1:22.933,Mary,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:21.066,John,,2,19.183,33.800,28.083,4-5-1,0-2-1,Dry Bowser,Streetle,Off-Road,Super Glider
2017-04-30,1:20.316,Mary,,<1,19.233,33.783,27.300,4-5-1,0-2-1,Gold Mario,Pipe Frame,Roller,Super Glider
2017-04-30,1:19.633,John,,<1,19.150,32.866,27.617,4-6-0,0-2-1,Wario,Splat Buggy,Roller,Plane Glider
2017-04-30,1:19.450,Mary,,2,18.916,33.034,27.500,4-4-0,0-2-1,Heavy Mii,Splat Buggy,Roller,Cloud Glider
2017-05-02,1:19.250,John,,2,18.816,33.000,27.434,4-6-0,1-1-1,Wario,Streetle,Roller,Super Glider
2017-05-04,1:18.800,Jimmy,,10,18.583,33.050,27.167,4-6-0,0-2-1,Dry Bowser,Streetle,Roller,Waddle Wing
2017-05-14,1:18.616,starxlx,,<1,17.900,33.900,26.816,4-6-0,1-1-1,Morton,Biddybuggy,Azure Roller,Super Glider
2017-05-14,1:18.583,Matthew,,<1,17.983,33.433,27.167,4-6-0,1-1-1,Wario,Biddybuggy, Roller,Super Glider
2017-05-14,1:18.450,starxlx,,<1,18.350,33.383,26.717,4-6-0,1-1-1,Morton,Biddybuggy,Azure Roller,Super Glider
2017-05-14,1:18.400,John,,<1,18.150,33.166,27.084,4-6-0,1-1-1,Wario,Biddybuggy,Roller,Paper Glider
2017-05-14,1:18.366,starxlx,,1,18.050,33.483,26.833,4-6-0,1-1-1,Morton,Biddybuggy,Azure Roller,Super Glider
2017-05-15,1:18.233,starxlx,,<1,18.216,33.500,26.517,4-6-0,1-1-1,Morton,Biddybuggy,Azure Roller,Super Glider
2017-05-15,1:18.116,starxlx,,1,18.000,33.333,26.783,4-6-0,1-1-1,Morton,Biddybuggy,Azure Roller,Super Glider
2017-05-16,1:17.966,John,,1,18.083,33.150,26.733,4-6-0,1-1-1,Roy,Biddybuggy,Roller,Hylian Kite
