Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:26.888,Alexal,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:25.031,みっと,,2,-,-,-,-,-,-,-,-,-
2017-04-30,1:24.880,みっと,,<1,29.643,27.657,27.580,8-2-0,1-1-1,Metal Mario,Blue Falcon,Slim,MKTV parafoil
2017-04-30,1:24.739,Luigi_Fan2,,<1,29.440,27.803,27.496,8-2-0,1-1-1,Wario,Splat Buggy,Slim,Super Glider
2017-04-30,1:24.447,Luigi_Fan2,,1,29.319,27.843,27.285,8-2-0,1-1-1,Wario,Splat Buggy,Slim,Super Glider
2017-05-01,1:24.435,みっと,,<1,29.380,27.651,27.404,8-2-0,1-1-1,Wario,Blue Falcon,Slim,Plane Glider
2017-05-01,1:24.059,みっと,,<1,29.059,27.835,27.165,8-2-0,1-1-1,Wario,Blue Falcon,Slim,Plane Glider
2017-05-01,1:23.967,Leroy,,<1,29.111,27.503,27.353,8-2-0,1-1-1,Wario,Blue Falcon,Slim,Super Glider
2017-05-01,1:23.427,みっと,,3,29.100,27.295,27.032,8-2-0,1-1-1,Wario,Blue Falcon,Slim,Plane Glider
2017-05-04,1:23.310,Leroy,,1,29.067,27.320,26.923,8-2-0,1-1-1,Wario,Blue Falcon,Slim,Wario Wing
2017-05-05,1:22.917,ロッキー,,1,29.034,26.914,26.969,8-0-0,1-1-1,Morton,Mach 8,Slim,Parachute
2017-05-06,1:22.720,ロッキー,,5,28.835,26.953,26.932,8-2-0,1-1-1,Dry Bowser,Mach 8,Slim,Cloud Glider
2017-05-11,1:22.537,Jimmy,,17,28.913,26.834,26.790,8-2-0,1-1-1,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2017-05-28,1:22.464,Leroy,,<1,-,-,-,8-2-0,1-1-1,Wario,Mach 8,Crimson Slim,Cloud Glider
2017-05-28,1:22.402,Leroy,,10,28.834,26.795,26.773,8-2-0,1-1-1,Wario,Mach 8,Slim,Cloud Glider
2017-06-07,1:22.370,TTyler,,<1,28.767,26.836,26.767,8-2-0,1-1-1,Dry Bowser,Mach 8,Slim,Cloud Glider
2017-06-07,1:22.356,TTyler,,<1,28.664,26.916,26.776,8-2-0,1-1-1,Dry Bowser,Mach 8,Slim,Cloud Glider
2017-06-07,1:22.279,TTyler,,3,28.706,26.768,26.805,8-2-0,1-1-1,Dry Bowser,Mach 8,Slim,Cloud Glider
2017-06-10,1:22.237,Jimmy,,1,28.698,26.797,26.742,8-2-0,1-1-1,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2017-06-11,1:22.155,TTyler,,<1,28.676,26.746,26.733,8-1-0,1-1-1,Dry Bowser,Mach 8,Slim,Cloud Glider
2017-06-11,1:21.962,TTyler,,121,28.754,26.800,26.408,8-2-0,1-1-1,Dry Bowser,Mach 8,Slim,Cloud Glider
