Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-03-17,1:54.001 ,Ronny,,2,39.323,37.284,37.394,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-19,1:53.882 ,Ronny,,<1,39.365,37.230,37.287,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-19,1:53.818,Anthony,,<1,39.381,37.153,37.284,10-0-0,1-1-1,Wario,Biddybuggy,Roller,Paper Glider
2022-03-19,1:53.747 ,Ronny,,<1,39.365,37.201,37.181,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-03-19,1:53.716 ,Ronny,,<1,39.305,37.174,37.237,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Azure Roller,Paper Glider
2022-03-19,1:53.561 ,Ronny,,2,39.342,37.125,37.094,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2022-03-21,1:53.537 ,Ronny,,4,39.311,37.072,37.154,10-0-0,1-1-1,Donkey Kong,Teddy Buggy,Azure Roller,Paper Glider
2022-03-25,1:53.433 ,Braydon,,6,39.249,37.116,37.068,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Paper Glider
2022-03-31,1:53.329 ,Alberto,,<1,39.285,36.981,37.063,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Paper Glider
2022-03-31,1:53.314 ,Alberto,,1,39.359,36.929,37.026,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Paper Glider
2022-04-01,1:53.305 ,K4I,,<1,39.250,37.065,36.990,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Paper Glider
2022-04-01,1:53.216 ,Alberto,,<1,39.219,36.901,37.096,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Paper Glider
2022-04-01,1:53.034 ,Alberto,,<1,39.217,36.892,36.925,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Paper Glider
2022-04-01,1:52.943 ,Alberto,,1,39.154,36.978,36.811,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-04-02,1:52.800 ,Alberto,,7,39.156,36.856,36.788,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2022-04-09,1:52.670 ,Panda,,311,39.084,36.884,36.702,10-0-0,1-1-1,Bowser,Biddybuggy,Azure Roller,Paper Glider
