Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-08-04,1:02.717,ths,,<1,23.773,17.893,21.051,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-04,1:02.678,Beta,,<1,23.766,17.617,21.295,10-0-0,2-1-0,Wario,Streetle,Roller,Super Glider
2022-08-04,1:02.659,Army,,<1,23.647,17.886,21.126,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-04,1:02.531,Army,,<1,23.609,17.724,21.198,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-04,1:02.394,Army,,<1,23.638,17.745,21.011,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-04,1:02.292,Army,,1,23.577,17.689,21.026,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-05,1:02.201,Army,,1,23.560,17.656,20.985,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-06,1:02.139,Army,,1,23.508,17.608,21.023,10-0-0,2-1-0,Morton,Streetle,Azure Roller,Super Glider
2022-08-07,1:02.137,Army,,<1,23.533,17.683,20.921,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-07,1:02.123,Army,,<1,23.556,17.644,20.923,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-07,1:02.069,Army,,1,23.505,17.628,20.936,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-08,1:02.004,Army,,3,23.509,17.574,20.921,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-11,1:01.978,Army,,7,23.510,17.523,20.945,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-18,1:01.953,Technical,,<1,23.446,17.554,20.953,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-18,1:01.934,Army,,<1,23.475,17.525,20.934,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-18,1:01.929,Army,,<1,23.496,17.537,20.896,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-18,1:01.916,Army,,<1,23.427,17.573,20.916,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-08-18,1:01.846,Army,,90,23.430,17.486,20.930,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-16,1:01.834,Panda,,<1,23.423,17.510,20.901,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-16,1:01.826,Panda,,<1,23.376,17.540,20.910,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-16,1:01.801,Panda,,<1,23.398,17.518,20.885,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-16,1:01.792,Panda,,<1,23.364,17.469,20.959,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-16,1:01.790,Panda,,1,23.372,17.511,20.907,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-17,1:01.761,Panda,,<1,23.368,17.515,20.878,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-17,1:01.741,Panda,,<1,23.342,17.524,20.875,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-17,1:01.708,Panda,,<1,23.309,17.491,20.908,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-17,1:01.698,Panda,,<1,23.386,17.497,20.815,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-17,1:01.691,Panda,,1,23.321,17.512,20.858,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-18,1:01.688,Panda,,<1,23.317,17.516,20.855,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-18,1:01.683,Panda,,<1,23.315,17.485,20.883,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
2022-11-18,1:01.662,Panda,,88,23.389,17.444,20.829,10-0-0,2-1-0,Wario,Streetle,Azure Roller,Super Glider
