Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:01.042,Issem,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,0:59.793,Danny,,<1,20.200,18.700,20.893,-,0-1-2,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,0:59.721 ,chun,,<1,20.183,18.400,21.138,2-3-2,0-2-1,Bowser,Circuit Special,Slim,MKTV Parafoil
2017-04-28,0:59.524,Jacob,,<1,20.266,18.300,20.958,2-3-0,0-3-0,Dry Bowser,Splat Buggy,Slim,Parafoil
2017-04-28,0:59.502,Leroy,,1,20.283,18.333,20.886,2-3-1,0-3-0,Wario,Splat Buggy,Slim,Super Glider
2017-04-29,0:59.211,Leroy,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,0:59.128,Leroy,,<1,20.233,18.483,20.412,-,0-2-1,Wario,Splat Buggy,Slim,Super Glider
2017-04-29,0:59.114,Jimmy,,<1,20.183,18.483,20.448,2-3-2,0-2-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-04-29,0:59.069,Jimmy,,<1,20.183,18.350,20.536,2-3-2,0-2-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-04-29,0:58.966,Jimmy,,1,20.216,18.267,20.483,2-3-2,0-2-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-04-30,0:58.959,Harmonia,,<1,20.166,18.334,20.459,2-3-1,0-2-1,Wario,Splat Buggy,Slim,Super Glider
2017-04-30,0:58.855,Leroy,,<1,20.200,18.200,20.455,2-3-2,0-2-1,Wario,Splat Buggy,Slim,Super Glider
2017-04-30,0:58.850,Jimmy,,<1,20.150,18.166,20.534,2-3-2,0-2-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-04-30,0:58.800,Leroy,,<1,20.216,18.217,20.367,2-3-2,0-2-1,Wario,Mach 8,Slim,Super Glider
2017-04-30,0:58.771,Leroy,,<1,20.166,18.167,20.438,2-3-2,0-2-1,Wario,Mach 8,Slim,Super Glider
2017-04-30,0:58.586,Leroy,,1,20.183,18.150,20.253,2-3-2,0-2-1,Wario,Mach 8,Slim,Super Glider
2017-05-01,0:58.550,Jimmy,,<1,20.133,18.117,20.300,2-3-2,0-2-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-05-01,0:58.522,Leroy,,<1,20.116,18.134,20.272,2-3-2,0-2-1,Wario,Mach 8,Slim,Super Glider
2017-05-01,0:58.506,Jimmy,,<1,20.116,18.100,20.290,2-3-2,0-2-1,Dry Bowser,Mach 8,Slim,Super Glider
2017-05-01,0:58.455,Jimmy,,<1,20.133,18.100,20.222,2-3-2,0-2-1,Dry Bowser,Mach 8,Slim,Super Glider
2017-05-01,0:58.405,Jimmy,,2,20.083,18.017,20.305,2-3-2,0-2-1,Dry Bowser,Mach 8,Slim,Super Glider
2017-05-03,0:58.384,Leroy,,1,20.050,18.100,20.234,2-3-2,0-2-1,Wario,Mach 8,Crimson Slim,Wario Wing
2017-05-04,0:58.350,Jacob,,<1,20.016,18.017,20.317,2-3-2,0-2-1,Dry Bowser,Mach 8,Slim,Wario Wing
2017-05-04,0:58.339,Jacob,,1,20.016,18.000,20.323,2-3-2,0-2-1,Dry Bowser,Mach 8,Slim,Wario Wing
2017-05-05,0:58.286,Mick,,<1,19.433,18.183,20.670,2-3-2,1-2-0,Dry Bowser,Mach 8,Slim,Plane Glider
2017-05-05,0:58.247,Mick,,<1,19.400,18.233,20.614,2-3-2,1-2-0,Dry Bowser,Mach 8,Slim,Plane Glider
2017-05-05,0:58.203,Mick,,<1,19.383,18.183,20.637,2-3-2,1-2-0,Dry Bowser,Mach 8,Slim,Plane Glider
2017-05-05,0:58.180,Leroy,,<1,19.366,18.117,20.697,2-3-2,1-2-0,Wario,Mach 8,Crimson Slim,Wario Wing
2017-05-05,0:58.160,Leroy,,<1,19.450,18.116,20.594,2-2-2,1-2-0,Wario,Mach 8,Crimson Slim,Wario Wing
2017-05-05,0:58.132,Leroy,,<1,19.383,18.167,20.582,2-3-2,1-2-0,Wario,Mach 8,Crimson Slim,Wario Wing
2017-05-05,0:58.028,Jimmy,,<1,19.433,18.067,20.528,2-3-2,1-2-0,Dry Bowser,Mach 8,Slim,Super Glider
2017-05-05,0:58.001,Leroy,,<1,19.333,18.133,20.535,2-3-2,1-2-0,Wario,Mach 8,Crimson Slim,Gold Glider
2017-05-05,0:57.936,Leroy,,<1,19.316,18.167,20.453,2-3-2,1-2-0,Wario,Mach 8,Crimson Slim,Gold Glider
2017-05-05,0:57.922,Leroy,,<1,19.316,18.100,20.506,2-3-2,1-2-0,Wario,Mach 8,Crimson Slim,Gold Glider
2017-05-05,0:57.894,Leroy,,1,19.316,18.084,20.494,2-3-2,1-2-0,Wario,Mach 8,Crimson Slim,Gold Glider
2017-05-06,0:57.872,Jimmy,,<1,19.433,17.983,20.456,2-3-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Super Glider
2017-05-06,0:57.856,Jimmy,,<1,19.333,18.050,20.473,2-3-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Super Glider
2017-05-06,0:57.818,Jimmy,,<1,19.316,18.067,20.435,2-3-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Super Glider
2017-05-06,0:57.790,Jimmy,,12,19.400,17.950,20.440,2-3-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Super Glider
2017-05-18,0:57.768,Luigi_Fan2,,<1,19.383,17.867,20.518,2-4-2,1-2-0,Wario,Mach 8,Slim,Cloud Glider
2017-05-18,0:57.650,Luigi_Fan2,,6,19.350,17.933,20.367,2-4-2,1-2-0,Wario,Mach 8,Slim,Cloud Glider
2017-05-24,0:57.631,Kevin,,1,19.300,17.966,20.365,2-4-2,1-2-0,Heavy Mii Luigi,Mach 8,Crimson Slim,Parachute
2017-05-25,0:57.624,Jacob,,<1,19.266,18.000,20.358,2-4-2,1-2-0,Dry Bowser,Mach 8,Slim,Cloud Glider
2017-05-25,0:57.605,Jacob,,4,19.283,17.950,20.372,2-4-2,1-2-0,Dry Bowser,Mach 8,Slim,Cloud Glider
2017-05-29,0:57.526,Leroy,,17,19.300,17.933,20.293,2-4-2,1-2-0,Wario,Mach 8,Slim,Gold Glider
2017-06-15,0:57.511,Jimmy,,<1,19.333,17.833,20.345,2-4-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2017-06-15,0:57.473,Jimmy,,<1,19.300,17.883,20.290,2-4-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2017-06-15,0:57.461,Jimmy,,4,19.283,17.883,20.295,2-4-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2017-06-19,0:57.414,Leroy,,<1,19.300,17.833,20.281,2-4-2,1-2-0,Wario,Mach 8,Slim,Cloud Glider
2017-06-19,0:57.383,Jimmy,,5,19.283,17.817,20.283,2-4-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2017-06-24,0:57.364,Leroy,,<1,19.300,17.833,20.231,2-4-2,1-2-0,Wario,Mach 8,Slim,Cloud Glider
2017-06-24,0:57.345,Leroy,,1,19.300,17.766,20.279,2-4-2,1-2-0,Wario,Mach 8,Slim,Cloud Glider
2017-06-25,0:57.334,Jimmy,,145,19.316,17.750,20.268,2-4-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2017-11-17,0:57.328,Lemon,,1,19.333,17.733,20.262,2-4-2,1-2-0,Dry Bowser,Mach 8,Slim,Paper Glider
2017-11-18,0:57.319,Lemon,,51,19.350,17.716,20.253,3-4-2,1-2-0,Dry Bowser,Mach 8,Slim,Paper Glider
2017-11-23,0:57.319,Jimmy,,46,19.350,17.766,20.203,3-4-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2018-01-08,0:57.313,Ryan5,,1,19.333,17.800,20.180,3-4-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2018-01-09,0:57.309,Jimmy,,<1,19.333,17.783,20.193,3-4-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2018-01-09,0:57.260,San,,<1,19.350,17.700,20.210,3-4-2,1-2-0,Dry Bowser,Mach 8,Slim,Paper Glider
2018-01-09,0:57.259,Jimmy,,3,19.350,17.716,20.193,3-4-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2018-01-10,0:57.259,San,,2,19.366,17.717,20.176,3-4-2,1-2-0,Dry Bowser,Mach 8,Slim,Paper Glider
2018-01-12,0:57.250,Kevin,,<1,19.333,17.700,20.217,3-4-2,1-2-0,Heavy Mii Cpt Falcon,Mach 8,Crimson Slim,Parachute
2018-01-12,0:57.202,Jimmy,,187,19.300,17.783,20.119,3-4-2,1-2-0,Dry Bowser,Mach 8,Crimson Slim,Cloud Glider
2018-07-18,0:57.191,Matt,,<1,19.350,17.716,20.125,3-4-2,1-2-0,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-07-18,0:57.183,Matt,,<1,19.383,17.700,20.100,3-4-2,1-2-0,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-07-18,0:57.166,Matt,,<1,19.383,17.683,20.100,3-4-2,1-2-0,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-07-18,0:57.159,Matt,,2,19.400,17.650,20.109,3-4-2,1-2-0,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-07-20,0:57.120,Jimmy,,13,19.350,17.666,20.104,3-4-2,1-2-0,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-02,0:57.115,Jimmy,,4,19.366,17.634,20.115,3-4-2,1-2-0,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-06,0:57.088,Jimmy,,1,19.383,17.650,20.055,3-4-2,1-2-0,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-07,0:57.067,Jimmy,,2,19.316,17.867,19.884,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-09,0:57.053,Jimmy,,1,19.316,17.884,19.853,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-10,0:57.035,Jimmy,,<1,19.300,17.900,19.835,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-10,0:57.006,Jimmy,,<1,19.266,17.917,19.823,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-10,0:56.991,Jimmy,,2,19.300,17.866,19.825,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-12,0:56.962,Jimmy,,<1,19.300,17.883,19.779,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-12,0:56.921,Jimmy,,1,19.266,17.900,19.755,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-13,0:56.912,Jimmy,,3,19.300,17.850,19.762,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-16,0:56.909,Jimmy,,1,19.283,17.850,19.776,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-17,0:56.903,Jimmy,,1,19.283,17.850,19.770,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-08-18,0:56.893,Jimmy,,15,19.266,17.884,19.743,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-09-02,0:56.878,Tane,,1,19.266,17.884,19.728,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-09-03,0:56.833,Tane,,5,19.250,17.850,19.733,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2018-09-08,0:56.810,Tane,,441,19.250,17.850,19.710,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2019-11-23,0:56.807,Kevin,,4,19.233,17.867,19.707,3-4-2,1-1-1,Heavy Mii Luigi,Mach 8,Leaf Tires,Parachute
2019-11-27,0:56.779,Tane,,110,19.233,17.833,19.713,3-4-2,1-1-1,Heavy Mii Mario,Mach 8,Leaf Tires,Gold Glider
2020-03-16,0:56.778,Tane,,<1,19.250,17.833,19.695,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2020-03-16,0:56.772,Tane,,1,19.233,17.833,19.706,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2020-03-17,0:56.737,Tane,,<1,19.216,17.834,19.687,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
2020-03-17,0:56.732,Tane,,3,19.233,17.800,19.699,3-4-2,1-1-1,Dry Bowser,Mach 8,Leaf Tires,Cloud Glider
