Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:32.205,DwayneP,,<1,31.717,30.298,30.190,9-1-0,1-1-1,Link,Master Cycle,Leaf Tires,Plane Glider
2017-04-28,1:31.364,Danny,,<1,30.992,29.215,31.157,10-0-0,1-2-0,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:30.117,Cynda,,<1,31.171,29.720,29.226,10-0-0,1-1-1,Heavy Mii Varia,Streetle,Roller,Super Glider
2017-04-28,1:30.089,Cynda,,<1,31.366,29.473,29.250,10-0-0,1-1-1,Heavy Mii Varia,Streetle,Roller,Super Glider
2017-04-28,1:29.605,Cynda,,1,31.109,29.337,29.159,10-0-0,1-1-1,Heavy Mii Varia,Streetle,Roller,Super Glider
2017-04-29,1:28.403,John,,<1,30.688,28.735,28.980,10-0-0,1-1-1,Roy,Streetle,Off-Road,Super Glider
2017-04-29,1:27.918,Cynda,,<1,30.417,28.892,28.609,10-0-0,1-1-1,King Boo,Streetle,Roller,Super Glider
2017-04-29,1:27.813,Cynda,,1,30.463,28.697,28.653,10-0-0,1-1-1,King Boo,Streetle,Roller,Super Glider
2017-04-30,1:27.687,Play,,1,30.237,28.600,28.850,10-0-0,1-1-1,Morton,Streetle,Roller,Super Glider
2017-05-01,1:27.634,Cynda,,1,30.553,28.609,28.472,10-0-0,1-1-1,Heavy Mii,Streetle,Azure Roller,Super Glider
2017-05-02,1:27.210,starxlx,,<1,30.306,28.419,28.485,10-0-0,1-1-1,Morton,Sneeker,Azure Roller,Cloud Glider
2017-05-02,1:27.109,John,,<1,30.345,28.446,28.318,10-0-0,1-1-1,Wario,Sneeker,Roller,Super Glider
2017-05-02,1:26.923,John,,<1,30.239,28.398,28.286,10-0-0,1-1-1,Wario,Sneeker,Roller,Super Glider
2017-05-02,1:26.843,John,,<1,30.223,28.297,28.323,10-0-0,1-1-1,Wario,Sneeker,Roller,Super Glider
2017-05-02,1:26.838,John,,<1,30.159,28.368,28.311,10-0-0,1-1-1,Wario,Sneeker,Roller,Super Glider
2017-05-02,1:26.800,John,,<1,30.024,28.367,28.409,10-0-0,1-1-1,Wario,Sneeker,Roller,Super Glider
2017-05-02,1:26.752,John,,1,30.064,28.367,28.321,10-0-0,1-1-1,Wario,Sneeker,Roller,Super Glider
2017-05-03,1:26.668,Cynda,,<1,30.035,28.410,28.223,10-0-0,1-1-1,Heavy Mii,Sneeker,Azure Roller,Plane Glider
2017-05-03,1:26.605,Cynda,,5,30.107,28.229,28.269,10-0-0,1-1-1,Heavy Mii,Sneeker,Azure Roller,Plane Glider
2017-05-08,1:26.597,Jimmy,,<1,30.014,28.326,28.257,10-0-0,1-1-1,Dry Bowser,Prancer,Azure Roller,Super Glider
2017-05-08,1:26.414,Jimmy,,<1,29.955,28.271,28.188,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Azure Roller,Super Glider
2017-05-08,1:26.366,Jimmy,,<1,29.933,28.254,28.179,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Azure Roller,Super Glider
2017-05-08,1:26.350,Jimmy,,<1,29.946,28.218,28.186,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Azure Roller,Super Glider
2017-05-08,1:26.324,Jimmy,,<1,29.908,28.170,28.246,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Azure Roller,Super Glider
2017-05-08,1:26.292,Jimmy,,2,29.851,28.138,28.303,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Azure Roller,Super Glider
2017-05-10,1:26.231,Luigi_Fan2,,<1,30.037,28.172,28.022,10-0-0,1-1-1,Waluigi,Pipe Frame,Roller,Super Glider
2017-05-10,1:26.173,Jimmy,,31,29.911,28.166,28.096,10-0-0,1-1-1,Donkey Kong,Pipe Frame,Azure Roller,Super Glider
2017-06-10,1:26.008,Mick,,<1,29.992,28.087,27.929,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Roller,Cloud Glider
2017-06-10,1:25.813,Mick,,<1,29.710,28.085,28.018,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Roller,Cloud Glider
2017-06-10,1:25.755,Mick,,1,29.820,28.058,27.877,10-0-0,1-1-1,Dry Bowser,Pipe Frame,Roller,Cloud Glider
