Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:20.056,Thomas,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:17.567,AeonFrodo,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:16.473,AeonFrodo,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:14.947 ,Jelledot,,1,26.428,24.378,24.141,6-4-0,1-1-1,Dry Bowser,Master Cycle,Cyber Slick,Wario Wing
2017-04-29,1:14.404,Cole,,<1,26.108,24.027,24.269,8-2-0,0-2-1,Dry Bowser,Sport Bike,Cyber Slick,Super Glider
2017-04-29,1:14.223,Cole,,<1,26.111,24.111,24.001,8-2-0,0-2-1,Dry Bowser,Sport Bike,Cyber Slick,Super Glider
2017-04-29,1:14.191,Treat,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:13.945,Treat,,5,25.976,24.022,23.947,9-1-0,1-1-1,Wario,Sport Bike,Slick,Wario Wing
2017-05-04,1:13.918,Nick,,1,25.816,24.053,24.049,10-0-0,1-1-1,Wario,Yoshi Bike,Cyber Slick,Super Glider
2017-05-05,1:13.824,Nick,,<1,25.752,24.119,23.953,10-0-0,1-1-1,Morton,Yoshi Bike,Cyber Slick,Super Glider
2017-05-05,1:13.682,Treat,,7,25.794,23.938,23.950,10-0-0,1-1-1,Wario,Yoshi Bike,Slick,Wario Wing
2017-05-12,1:13.302,Luigi_Fan2,,<1,25.258,23.932,24.112,10-0-0,2-1-0,Wario,Sport Bike,Slim,Super Glider
2017-05-12,1:13.269,Doodle,,<1,25.360,23.929,23.980,10-0-0,2-1-0,Morton,Sport Bike,Slim,Super Glider
2017-05-12,1:13.180,Doodle,,8,25.284,23.888,24.008,10-0-0,2-1-0,Morton,Sport Bike,Slim,Super Glider
2017-05-20,1:13.160,Ryan5,,1,25.277,23.975,23.908,10-0-0,2-1-0,Morton,Master Cycle,Slim,Plane Glider
2017-05-21,1:13.154,ゆず,,1,25.265,23.890,23.999,10-0-0,2-1-0,Morton,Master Cycle,Slim,Super Glider
2017-05-22,1:13.051,Ryan5,,1,25.266,23.918,23.867,10-0-0,2-1-0,Morton,Master Cycle,Slim,Plane Glider
2017-05-23,1:12.953,ゆず,,2,25.213,23.881,23.859,10-0-0,2-1-0,Morton,Master Cycle,Slim,Super Glider
2017-05-25,1:12.929,ゆず,,1,25.178,23.893,23.858,10-0-0,2-1-0,Morton,Master Cycle,Slim,Super Glider
2017-05-26,1:12.895,ゆず,,2,25.148,23.873,23.874,10-0-0,2-1-0,Morton,Master Cycle,Slim,Super Glider
2017-05-28,1:12.830,ゆず,,2,25.090,23.877,23.863,9-1-0,2-1-0,Wario,Sport Bike,Slim,Super Glider
2017-05-30,1:12.827,Thimo,,<1,25.193,23.767,23.867,9-1-0,2-1-0,Wario,Sport Bike,Slim,Super Glider
2017-05-30,1:12.820,Thimo,,1,25.082,23.833,23.905,9-1-0,2-1-0,Wario,Sport Bike,Slim,Super Glider
2017-05-31,1:12.808,Thimo,,<1,25.082,23.909,23.817,9-1-0,2-1-0,Wario,Sport Bike,Slim,Super Glider
