Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,2:03.606,Mattew,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,2:03.105,よっしー,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,2:02.769,K4I,,<1,42.596,39.916,40.257,10-0-0,1-1-1,Wario,Splat Buggy,Slim,Plane Glider
2017-04-28,2:02.496,K4I,,<1,42.651,39.898,39.947,10-0-0,1-1-1,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-04-28,2:02.486,Shaun,,<1,42.620,39.928,39.938,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,2:02.423,Shaun,,<1,42.600,39.865,39.958,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,2:02.393,よっしー,,<1,42.564,39.941,39.888,10-0-0,1-1-1,Heavy Mii Toad,Blue Falcon,Slim,Super Glider
2017-04-28,2:02.172,Shaun,,<1,42.451,39.877,39.844,10-0-0,1-1-1,Wario,Splat Buggy,Slim,Super Glider
2017-04-28,2:02.041,K4I,,<1,42.426,39.854,39.761,10-0-0,1-1-1,Wario,Splat Buggy,Slim,Super Glider
2017-04-28,2:02.020,Shaun,,1,42.402,39.850,39.768,10-0-0,1-1-1,Wario,Splat Buggy,Slim,Super Glider
2017-04-29,2:01.909,Kay,,<1,42.353,39.724,39.832,10-0-0,1-1-1,Heavy Mii Crossing,Splat Buggy,Slim,Flower Glider
2017-04-29,2:01.744,Kay,,<1,42.203,39.747,39.794,10-0-0,1-1-1,Heavy Mii Crossing,Splat Buggy,Slim,Super Glider
2017-04-29,2:01.717,Kay,,<1,-,-,-,10-0-0,1-1-1,Heavy Mii Crossing,Splat Buggy,Slim,Super Glider
2017-04-29,2:01.594,Kay,,<1,42.283,39.581,39.730,10-0-0,1-1-1,Heavy Mii Crossing,Splat Buggy,Slim,Super Glider
2017-04-29,2:01.387,Kay,,5,42.167,39.511,39.709,10-0-0,1-1-1,Heavy Mii Crossing,Splat Buggy,Azure Roller,Super Glider
2017-05-04,2:01.073,Kay,,7,42.123,39.485,39.465,10-0-0,1-1-1,Heavy Mii Crossing,Splat Buggy,Azure Roller,Super Glider
2017-05-11,2:01.005,Kay,,4,42.050,39.487,39.468,10-0-0,1-1-1,Heavy Mii Crossing,Splat Buggy,Azure Roller,Super Glider
2017-05-15,2:00.917,Kay,,2,42.099,39.380,39.438,10-0-0,1-1-1,Heavy Mii Crossing,Splat Buggy,Azure Roller,Paper Glider
