Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,2:05.009,ひす,,<1,42.572,41.221,41.216,10-0-0,1-1-1,Wario,Pipe Frame,Slim,Super Glider
2017-04-28,2:04.988,ちん,,<1,42.631,41.115,41.242,-,1-1-1,Morton,Streetle,Slim,Plane Glider
2017-04-28,2:04.834,K4I,,<1,42.579,40.911,41.344,9-1-0,1-1-1,Morton,W 25 Silver Arrow,Slim,MKTV Parafoil
2017-04-28,2:03.730,K4I,,<1,42.368,40.688,40.674,-,1-1-1,Morton,W 25 Silver Arrow,Slim,MKTV Parafoil
2017-04-28,2:03.639,Danny,,<1,42.205,40.732,40.702,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Slim,Plane Glider
2017-04-28,2:03.565,Yui Funami,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,2:03.370,K4I,,1,42.239,40.557,40.574,-,1-1-1,Morton,W 25 Silver Arrow,Slim,Cloud Glider
2017-04-29,2:03.336,Yui Funami,,<1,41.961,40.702,40.673,10-0-0,1-1-1,Morton,W 25 Silver Arrow,Slim,Flower Glider
2017-04-29,2:03.303,K4I,,<1,42.218,40.594,40.491,-,1-1-1,Morton,W 25 Silver Arrow,Slim,Parachute
2017-04-29,2:03.251,Yui Funami,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,2:02.991,K4I,,<1,42.017,40.442,40.532,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Slim,Flower Glider
2017-04-29,2:02.917,Yui Funami,,<1,41.886,40.461,40.570,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Wood,Flower Glider
2017-04-29,2:02.784,Yui Funami,,<1,41.879,40.456,40.449,-,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Flower Glider
2017-04-29,2:02.656,Yui Funami,,<1,41.763,40.501,40.392,-,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Flower Glider
2017-04-29,2:02.469,Yui Funami,,<1,41.735,40.408,40.326,-,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,Cloud Glider
2017-04-29,2:02.385,Yui Funami,,1,41.659,40.358,40.368,-,1-1-1,Dry Bowser,W 25 Silver Arrow,Roller,Cloud Glider
2017-04-30,2:02.360,Yui Funami,,<1,41.662,40.325,40.373,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Roller,Cloud Glider
2017-04-30,2:02.305,Dragnir,,1,41.709,40.202,40.394,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Roller,Cloud Glider
2017-05-01,2:02.281,Yui Funami,,1,41.737,40.282,40.262,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Roller,Cloud Glider
2017-05-02,2:02.182,K4I,,<1,41.738,40.198,40.246,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Roller,Cloud Glider
2017-05-02,2:02.088,Yui Funami,,<1,-,-,-,-,-,-,-,-,-
2017-05-02,2:02.055,Yui Funami,,<1,41.610,40.206,40.239,-,1-1-1,Dry Bowser,W 25 Silver Arrow,Roller,Cloud Glider
2017-05-02,2:02.004,Yui Funami,,<1,41.571,40.207,40.226,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Roller,Cloud Glider
2017-05-02,2:01.993,Yui Funami,,1,41.545,40.172,40.276,-,1-1-1,Dry Bowser,W 25 Silver Arrow,Roller,Cloud Glider
2017-05-03,2:01.935,Yui Funami,,1,41.572,40.199,40.164,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Roller,Cloud Glider
2017-05-04,2:01.915,Yui Funami,,1,41.527,40.167,40.221,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Roller,Cloud Glider
2017-05-05,2:01.874,Yui Funami,,<1,41.561,40.120,40.193,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Roller,Cloud Glider
2017-05-05,2:01.857,K4I,,1,41.531,40.212,40.114,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,Cloud Glider
2017-05-06,2:01.840,Yui Funami,,5,41.524,40.160,40.156,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Cloud Glider
2017-05-11,2:01.828,みn,,<1,-,-,-,-,-,-,-,-,-
2017-05-11,2:01.746,K4I,,6,41.515,40.138,40.093,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Flower Glider
2017-05-17,2:01.741,Yui Funami,,1,41.427,40.138,40.176,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Cloud Glider
2017-05-18,2:01.737,みn,,<1,41.454,40.151,40.132,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Flower Glider
2017-05-18,2:01.717,Yui Funami,,<1,41.429,40.131,40.157,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Cloud Glider
2017-05-18,2:01.681,Kazuo,,1,41.496,40.118,40.067,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Parachute
2017-05-19,2:01.636,Kazuo,,<1,41.484,40.052,40.100,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Parachute
2017-05-19,2:01.598,Kazuo,,1,41.479,40.068,40.051,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Parachute
2017-05-20,2:01.595,Kazuo,,<1,41.474,40.079,40.042,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Parachute
2017-05-20,2:01.594,Kazuo,,<1,41.450,40.078,40.066,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Parachute
2017-05-20,2:01.510,Kazuo,,18,41.436,40.053,40.021,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Parachute
2017-06-07,2:01.508,ふつきん,,<1,41.427,39.984,40.097,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2017-06-07,2:01.506 ,あるふぁ,,1,41.461,40.025,40.020,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Flower Glider
2017-06-08,2:01.437,ふつきん,,1,41.475,39.985,39.977,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2017-06-09,2:01.414,K4I,,1,41.525,39.938,39.951,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2017-06-10,2:01.411,Yui Funami,,<1,41.436,39.957,40.018,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Cloud Glider
2017-06-10,2:01.391,Yui Funami,,1,41.445,39.938,40.008,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Cloud Glider
2017-06-11,2:01.258,Yui Funami,,8,41.432,39.892,39.934,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Cloud Glider
2017-06-19,2:01.247,ロッキー,,4,41.410,39.924,39.913,10-0-0,1-1-1,Wario,Biddybuggy,Roller,Paper Glider
2017-06-23,2:01.230,ロッキー,,<1,41.340,39.903,39.987,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Roller,Cloud Glider
2017-06-23,2:01.203,ロッキー,,58,41.421,39.891,39.891,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Roller,Cloud Glider
2017-08-20,2:01.144,SuperFX,,87,41.353,39.891,39.900,10-0-0,1-1-1,Wario,Biddybuggy,Roller,Cloud Glider
2017-11-15,2:01.112,K4I,,54,40.879,40.323,39.910,10-0-0,2-0-1,Wario,Biddybuggy,Azure Roller,Cloud Glider
2018-01-08,2:01.099,Ishak,,1,41.346,39.883,39.870,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2018-01-09,2:01.098,Ishak,,1,41.351,39.897,39.850,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2018-01-10,2:01.088,K4I,,<1,40.908,39.845,40.335,10-0-0,2-1-0,Wario,Biddybuggy,Azure Roller,Paper Glider
2018-01-10,2:01.066,Ishak,,<1,41.388,39.812,39.866,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2018-01-10,2:01.022,Ishak,,1,41.298,39.854,39.870,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2018-01-11,2:00.996,Ishak,,17,41.363,39.799,39.834,10-0-0,1-1-1,Dry Bowser,Biddybuggy,Azure Roller,Cloud Glider
2018-01-28,2:00.965,K4I,,1,40.917,40.243,39.805,10-0-0,2-0-1,Wario,Biddybuggy,Azure Roller,Cloud Glider
2018-01-29,2:00.928,K4I,,17,40.885,40.250,39.793,10-0-0,2-0-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2018-02-15,2:00.898,Ishak,,13,40.864,40.234,39.800,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2018-02-28,2:00.865,ロッキー,,<1,40.911,40.186,39.768,10-0-0,2-0-1,Roy,Biddybuggy,Roller,Cloud Glider
2018-02-28,2:00.797,ロッキー,,<1,40.828,40.207,39.762,10-0-0,2-0-1,Roy,Biddybuggy,Roller,Cloud Glider
2018-02-28,2:00.728,ロッキー,,2,40.811,40.208,39.709,10-0-0,2-0-1,Roy,Biddybuggy,Roller,Cloud Glider
2018-03-02,2:00.719,ロッキー,,1,40.854,40.143,39.722,10-0-0,2-0-1,Roy,Biddybuggy,Roller,Cloud Glider
2018-03-03,2:00.634,ロッキー,,<1,40.814,40.122,39.698,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2018-03-03,2:00.568,ロッキー,,35,40.831,40.006,39.731,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2018-04-07,2:00.563,Yui Funami,,2,40.852,40.069,39.642,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2018-04-09,2:00.464,Yui Funami,,158,40.764,40.006,39.694,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2018-09-14,2:00.444,ロッキー,,139,40.699,40.080,39.665,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2019-01-31,2:00.443,Yui Funami,,2,40.728,40.042,39.673,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2019-02-02,2:00.414,Yui Funami,,1,40.708,40.024,39.682,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2019-02-03,2:00.373,Yui Funami,,107,40.702,40.011,39.660,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2019-05-21,2:00.365,Yui Funami,,18,40.679,40.051,39.635,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2019-06-08,2:00.349,Yui Funami,,189,40.676,40.060,39.613,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2019-12-14,2:00.336,Yui Funami,,2,40.689,39.964,39.683,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2019-12-16,2:00.238,Yui Funami,,2,40.618,40.044,39.576,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2019-12-18,2:00.196,Yui Funami,,<1,40.587,39.996,39.613,10-0-0,2-0-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2019-12-18,2:00.178,Alberto,,1,40.617,39.989,39.572,10-0-0,2-0-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2019-12-19,2:00.148,Alberto,,<1,40.598,39.968,39.582,10-0-0,2-0-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2019-12-19,2:00.142,Alberto,,<1,40.552,40.009,39.581,10-0-0,2-0-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
