Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:19.969,B!KZO,,<1,27.378,26.351,26.240,7-0-0,1-1-1,Morton,Streetle,Slim,Plane Glider
2017-04-28,1:19.765,B!KZO,,<1,27.248,26.471,26.046,7-1-0,1-1-1,Morton,Streetle,Slim,Plane Glider
2017-04-28,1:19.276,B!KZO,,<1,27.218,26.131,25.927,7-0-0,1-1-1,Morton,Streetle,Slim,Plane Glider
2017-04-28,1:19.193,44,,<1,27.181,25.869,26.143,7-0-1,1-1-1,Dry Bowser,Streetle,Slim,Flower Glider
2017-04-28,1:19.125,44,,<1,27.145,25.904,26.076,7-1-0,1-1-1,Dry Bowser,Streetle,Slim,Flower Glider
2017-04-28,1:19.089,B!KZO,,<1,27.231,26.160,25.698,7-0-0,1-1-1,Dry Bowser,Streetle,Slim,Plane Glider
2017-04-28,1:18.923,44,,1,27.019,26.039,25.865,-,1-1-1,Bowser,Streetle,Slim,MKTV Parafoil
2017-04-29,1:18.165,44,,2,26.778,25.701,25.686,7-0-1,1-1-1,Dry Bowser,Streetle,Azure Roller,Waddle Wing
2017-05-01,1:18.021,Power,,1,26.817,25.725,25.479,7-1-0,1-1-1,Wario,Streetle,Azure Roller,Super Glider
2017-05-02,1:17.896,Kamek,,1,26.839,25.696,25.361,7-1-0,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-05-02,1:17.896,Doodle,,1,26.717,25.542,25.637,7-0-0,1-1-1,Roy,Streetle,Roller,Parachute
2017-05-03,1:17.741,K4I,,<1,26.718,25.606,25.417,7-1-0,1-1-1,Roy,Streetle,Roller,Parachute
2017-05-03,1:17.681,Doodle,,1,26.823,25.468,25.390,7-1-0,1-1-1,Waluigi,Streetle,Roller,MKTV Parafoil
2017-05-04,1:17.579,Kamek,,<1,26.677,25.613,25.289,7-1-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-04,1:17.558,Doodle,,1,26.569,25.504,25.485,7-0-0,1-1-1,Waluigi,Streetle,Roller,Parachute
2017-05-05,1:17.443,Kamek,,1,26.678,25.414,25.351,8-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-06,1:17.426,Doodle,,<1,26.654,25.485,25.287,7-1-0,1-1-1,Waluigi,Streetle,Roller,Cloud Glider
2017-05-06,1:17.367,Doodle,,12,26.854,25.379,25.134,7-1-0,1-1-1,Waluigi,Streetle,Roller,Cloud Glider
2017-05-18,1:17.345,Kamek,,<1,26.728,25.307,25.310,8-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-18,1:17.285,Kamek,,<1,26.756,25.193,25.336,8-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-18,1:17.204,Doodle,,1,26.583,25.480,25.141,7-1-0,1-1-1,Waluigi,Landship,Roller,Cloud Glider
2017-05-19,1:17.188,Kamek,,1,26.669,25.310,25.209,7-1-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-20,1:17.136,Kamek,,<1,26.673,25.303,25.160,7-1-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-20,1:17.129,Kamek,,<1,26.691,25.208,25.230,8-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-20,1:17.128,Kamek,,<1,26.787,25.221,25.120,8-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-20,1:17.093,Kamek,,<1,26.712,25.190,25.191,8-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-05-20,1:16.971,Kamek,,20,26.575,25.289,25.107,8-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-06-09,1:16.930,Doodle,,<1,26.731,25.257,24.942,7-0-0,1-1-1,Waluigi,Landship,Roller,Cloud Glider
2017-06-09,1:16.679,X treme,,<1,26.346,25.172,25.161,6-0-1,1-1-1,Roy,Landship,Azure Roller,Paper Glider
2017-06-09,1:16.503,X treme,,<1,26.386,25.015,25.102,7-1-0,1-1-1,Roy,Landship,Azure Roller,Paper Glider
2017-06-09,1:16.317,X treme,,1,26.146,25.216,24.955,7-1-0,1-1-1,Roy,Landship,Azure Roller,Paper Glider
2017-06-10,1:16.292,Kamek,,<1,26.252,25.024,25.016,7-1-0,1-1-1,Roy,Landship,Roller,Cloud Glider
2017-06-10,1:16.258,X treme,,<1,26.089,24.953,25.216,7-0-0,1-1-1,Roy,Landship,Azure Roller,Parachute
2017-06-10,1:16.129,X treme,,<1,26.246,24.944,24.939,7-0-0,1-1-1,Roy,Landship,Azure Roller,Paper Glider
2017-06-10,1:15.997,Kamek,,<1,25.884,25.027,25.086,8-0-0,1-1-1,Roy,Landship,Roller,Cloud Glider
2017-06-10,1:15.876,Kamek,,4,26.119,24.714,25.043,8-0-0,1-1-1,Roy,Landship,Roller,Cloud Glider
2017-06-14,1:15.634,Darren,,1,26.216,24.825,24.593,7-1-0,1-1-1,Roy,Streetle,Azure Roller,Parachute
2017-06-15,1:15.597,Kamek,,1,26.050,24.760,24.787,7-1-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-06-16,1:15.558,Kamek,,<1,26.191,24.745,24.622,8-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-06-16,1:15.284,Kamek,,89,25.842,24.692,24.750,8-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-09-13,1:15.228,Kamek,,4,25.952,24.545,24.731,8-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-09-17,1:15.157,Kamek,,1,25.822,24.687,24.648,7-1-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2017-09-18,1:15.142,Kamek,,122,25.974,24.517,24.651,8-0-0,1-1-1,Roy,Streetle,Roller,Cloud Glider
2018-01-18,1:15.128,Darren,,139,26.043,24.446,24.639,8-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2018-06-06,1:15.107,Axel,,7,26.113,24.530,24.464,8-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Paper Glider
2018-06-13,1:15.041,Doodle,,156,25.935,24.458,24.648,8-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Cloud Glider
2018-11-16,1:15.039,Darren,,<1,25.832,24.716,24.491,7-0-0,1-1-1,Waluigi,Streetle,Roller,Cloud Glider
