Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-08-04,1:05.884,Army,,<1,23.192,21.386,21.306,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:05.771,Army,,<1,23.131,21.347,21.293,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:05.712,Army,,1,23.110,21.283,21.319,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-08-05,1:05.684,Army,,<1,23.166,21.237,21.281,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-08-05,1:05.620,Army,,<1,23.100,21.274,21.246,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Parachute
2022-08-05,1:05.579,Hikki,,<1,23.097,21.252,21.230,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-08-05,1:05.566,Army,,<1,23.116,21.245,21.205,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Parachute
2022-08-05,1:05.452,Army,,7,23.079,21.219,21.154,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Parachute
2022-08-12,1:05.286,Vincent,,<1,23.206,21.109,20.971,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-12,1:05.199,Pii,,<1,23.169,20.993,21.037,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-12,1:05.162,Army,,<1,23.129,21.081,20.952,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2022-08-12,1:05.029,Vincent,,8,23.050,20.992,20.987,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-20,1:04.971,Vincent,,3,23.040,20.998,20.933,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-23,1:04.851,Pii,,82,23.134,20.967,20.750,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Flower Glider
2022-11-13,1:04.845,Pii,,11,23.038,21.002,20.805,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2022-11-24,1:04.820,JenZua,,1,23.092,20.957,20.771,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-11-25,1:04.799,JenZua,,81,23.051,20.930,20.818,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
