Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:06.877,Issem,,<1,23.212,22.138,21.527,10-0-0,1-1-1,King Boo,Pipe Frame,Slim,Parachute
2017-04-28,1:06.772,Danny,,<1,23.367,21.789,21.616,-,-,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:05.892,Ren,,1,22.885,21.515,21.492,9-1-0,1-1-1,Bowser,Pipe Frame,Slim,Plane Glider
2017-04-29,1:05.632,Dragnir,,1,22.733,21.339,21.560,9-1-0,2-1-0,Dry Bowser,Streetle,Slim,Super Glider
2017-04-30,1:05.484,ドルフィンみさき,,<1,22.714,21.416,21.354,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Crimson Slim,Super Glider
2017-04-30,1:05.366,Ren,,1,22.770,21.277,21.319,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-01,1:05.327,Ren,,4,22.729,21.303,21.295,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-05,1:05.287,Ren,,<1,22.670,21.258,21.359,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-05,1:05.223,Ren,,<1,22.728,21.131,21.364,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-05,1:05.212,Kevin,,1,22.593,21.096,21.523,10-0-0,1-1-1,Heavy Mii Cpt Falcon,W 25 Silver Arrow,Crimson Slim,Parachute
2017-05-06,1:05.080,Ren,,<1,22.652,21.203,21.225,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-06,1:05.076,Ren,,1,22.619,21.087,21.370,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-07,1:05.012,Ren,,<1,22.634,21.063,21.315,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-07,1:04.997,Ren,,<1,22.620,21.042,21.335,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-07,1:04.993,Ren,,<1,22.608,21.097,21.288,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-07,1:04.974,Ren,,<1,-,-,-,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-07,1:04.950,Ren,,<1,22.620,21.010,21.320,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-07,1:04.934,Ren,,<1,22.594,21.084,21.256,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-07,1:04.846,Ren,,1,22.629,21.042,21.175,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-08,1:04.845,Ren,,<1,22.213,21.343,21.289,10-0-0,1-0-2,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-08,1:04.524,Ren,,<1,22.191,21.222,21.111,10-0-0,1-0-2,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-08,1:04.469,Ren,,<1,22.177,20.995,21.297,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-08,1:04.362,Ren,,1,22.157,21.098,21.107,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Slim,Cloud Glider
2017-05-09,1:04.313,Ren,,1,22.174,21.073,21.066,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Crimson Slim,Cloud Glider
2017-05-10,1:04.286,Ren,,4,22.108,21.077,21.101,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Crimson Slim,Flower Glider
