Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:37.606,Del,,<1,34.540,31.727,31.339,7-3-0,1-1-1,Male Villager,Standard Kart,Off-Road,Super Glider
2017-04-28,1:35.317,Danny,,<1,32.845,31.414,31.058,8-2-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:33.101,Mick,,3,31.911,30.846,30.344,10-0-0,1-1-1,Dry Bowser,Streetle,Slim,Super Glider
2017-05-01,1:33.101,Hobbie,,<1,31.611,30.527,30.963,10-0-0,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-05-01,1:32.962,Hobbie,,<1,31.962,30.603,30.397,9-1-0,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-05-01,1:31.957,Hobbie,,<1,31.556,30.241,30.160,10-0-0,1-1-1,Dry Bowser,Streetle,Roller,Super Glider
2017-05-01,1:31.841,Hobbie,,<1,31.468,30.141,30.232,10-0-0,1-1-1,Dry Bowser,Streetle,Azure Roller,Super Glider
2017-05-01,1:31.511,Hobbie,,<1,31.363,30.073,30.075,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Plane Glider
2017-05-01,1:31.221,Hobbie,,1,31.541,29.730,29.950,10-0-0,1-1-1,Waluigi,Streetle,Azure Roller,Plane Glider
2017-05-02,1:31.039,Hobbie,,<1,31.375,29.943,29.721,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Plane Glider
2017-05-02,1:30.947,Hobbie,,1,31.387,29.882,29.678,10-0-0,1-1-1,Roy,Streetle,Azure Roller,Plane Glider
2017-05-03,1:30.829,Naoto,,<1,31.261,29.506,30.062,10-0-0,1-1-1,Waluigi,Streetle,Roller,Super Glider
2017-05-03,1:30.790,Hobbie,,<1,31.334,29.690,29.766,9-1-0,1-1-1,Roy,Pipe Frame,Azure Roller,Super Glider
2017-05-03,1:30.588,Hobbie,,<1,31.017,29.806,29.765,10-0-0,1-1-1,Roy,Wild Wiggler,Azure Roller,Super Glider
2017-05-03,1:30.555,Hobbie,,<1,31.046,29.716,29.793,10-0-0,1-1-1,Roy,Wild Wiggler,Azure Roller,Super Glider
2017-05-03,1:30.482,Hobbie,,<1,30.960,29.745,29.777,10-0-0,1-1-1,Roy,Wild Wiggler,Azure Roller,Super Glider
2017-05-03,1:30.348,Hobbie,,<1,31.119,29.577,29.652,10-0-0,1-1-1,Donkey Kong,W 25 Silver Arrow,Roller,Super Glider
2017-05-03,1:30.297,Hobbie,,<1,31.183,29.508,29.606,10-0-0,1-1-1,Donkey Kong,W 25 Silver Arrow,Roller,Super Glider
2017-05-03,1:30.210,Hobbie,,<1,30.924,29.567,29.719,10-0-0,1-1-1,Donkey Kong,W 25 Silver Arrow,Roller,Super Glider
2017-05-03,1:29.973,Hobbie,,3,30.891,29.549,29.533,10-0-0,1-1-1,Donkey Kong,W 25 Silver Arrow,Roller,Super Glider
2017-05-06,1:29.611,Naoto,,<1,30.879,29.373,29.359,10-0-0,1-1-1,Roy,W 25 Silver Arrow,Roller,Plane Glider
2017-05-06,1:29.584,ワリオさま,,10,30.758,29.254,29.572,10-0-0,1-1-1,Roy,W 25 Silver Arrow,Roller,Hylian Kite
2017-05-16,1:29.514,Stacy1199,,2,30.795,29.422,29.297,10-0-0,1-1-1,Waluigi,W 25 Silver Arrow,Blue Standard,Super Glider
2017-05-18,1:29.395,ワリオさま,,2,30.677,29.309,29.409,10-0-0,1-1-1,Roy,W 25 Silver Arrow,Roller,Hylian Kite
2017-05-20,1:29.160,Jimmy,,4,30.503,29.294,29.363,10-0-0,1-1-1,Roy,W 25 Silver Arrow,Azure Roller,Cloud Glider
2017-05-24,1:29.073,Sparks,,<1,30.561,29.301,29.211,10-0-0,1-1-1,Roy,W 25 Silver Arrow,Azure Roller,Cloud Glider
2017-05-24,1:28.992,Jimmy,,<1,30.617,29.060,29.315,10-0-0,1-1-1,Roy,W 25 Silver Arrow,Azure Roller,Cloud Glider
2017-05-24,1:28.976,Jimmy,,<1,30.466,29.287,29.223,10-0-0,1-1-1,Roy,W 25 Silver Arrow,Azure Roller,Cloud Glider
2017-05-24,1:28.837,Jimmy,,2,30.509,29.122,29.206,10-0-0,1-1-1,Roy,W 25 Silver Arrow,Azure Roller,Cloud Glider
2017-05-26,1:28.728,Kevin,,<1,30.516,29.103,29.109,10-0-0,1-1-1,Heavy Mii Luigi,W 25 Silver Arrow,Azure Roller,Parachute
2017-05-26,1:28.670,Jimmy,,<1,30.484,29.100,29.086,10-0-0,1-1-1,Roy,W 25 Silver Arrow,Azure Roller,Cloud Glider
2017-05-26,1:28.659,Kevin,,<1,30.360,29.205,29.094,10-0-0,1-1-1,Heavy Mii Luigi,W 25 Silver Arrow,Azure Roller,Parachute
2017-05-26,1:28.536,Jimmy,,8,30.487,28.976,29.073,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,Cloud Glider
2017-06-03,1:28.385,Kevin,,<1,30.399,28.942,29.044,10-0-0,1-1-1,Heavy Mii Luigi,W 25 Silver Arrow,Azure Roller,Parachute
2017-06-03,1:28.259,Jimmy,,346,30.320,28.956,28.983,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,Cloud Glider
2018-05-15,1:28.231,Davi,,<1,30.336,28.938,28.957,10-0-0,1-1-1,Wario,Wild Wiggler,Leaf Tires,Paper Glider
2018-05-15,1:28.208,Jimmy,,1,30.356,28.902,28.950,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2018-05-16,1:28.200,Jimmy,,<1,30.213,28.972,29.015,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2018-05-16,1:28.124,Davi,,1,30.230,28.955,28.939,10-0-0,1-1-1,Wario,Wild Wiggler,Leaf Tires,Paper Glider
2018-05-17,1:28.123,Jimmy,,<1,30.336,28.868,28.919,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2018-05-17,1:28.083,Jimmy,,<1,30.159,29.022,28.902,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Cloud Glider
2018-05-17,1:28.036,Davi,,<1,30.203,29.044,28.789,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Paper Glider
2018-05-17,1:27.865,Davi,,<1,30.230,28.838,28.797,10-0-0,1-1-1,Roy,Mach 8,Leaf Tires,Paper Glider
2018-05-17,1:27.863,Ziner,,1,30.355,28.757,28.751,10-0-0,1-1-1,Roy,Wild Wiggler,Leaf Tires,Paper Glider
2018-05-18,1:27.802,Davi,,1,30.259,28.771,28.772,10-0-0,1-1-1,Roy,Wild Wiggler,Leaf Tires,Paper Glider
2018-05-19,1:27.534,Jimmy,,<1,29.973,28.849,28.712,10-0-0,1-1-1,Roy,Wild Wiggler,Leaf Tires,Cloud Glider
2018-05-19,1:27.507,Ziner,,1,30.168,28.639,28.700,10-0-0,1-1-1,Roy,Wild Wiggler,Leaf Tires,Paper Glider
2018-05-20,1:27.449,Jimmy,,<1,30.106,28.717,28.626,10-0-0,1-1-1,Roy,Wild Wiggler,Leaf Tires,Cloud Glider
2018-05-20,1:27.331,Jimmy,,307,29.998,28.650,28.683,10-0-0,1-1-1,Roy,Wild Wiggler,Leaf Tires,Cloud Glider
2019-03-23,1:27.302,そうめん,,12,30.032,28.753,28.517,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2019-04-04,1:27.263,Army,,<1,29.993,28.580,28.690,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2019-04-04,1:27.238,Army,,1,29.971,28.695,28.572,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2019-04-05,1:27.186,Army,,1,29.929,28.713,28.544,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2019-04-06,1:27.168,Army,,<1,29.950,28.619,28.599,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2019-04-06,1:27.132,Army,,<1,29.979,28.609,28.544,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2019-04-06,1:27.084,Army,,2,30.021,28.675,28.388,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2019-04-08,1:27.053,Army,,<1,29.893,28.579,28.581,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2019-04-08,1:27.011,Army,,<1,30.053,28.444,28.514,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2019-04-08,1:26.906,Army,,1,29.941,28.352,28.613,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2019-04-09,1:26.882,Army,,<1,29.919,28.487,28.476,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2019-04-09,1:26.764,Army,,375,29.774,28.521,28.469,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-04-18,1:26.726,Alberto,,1,29.811,28.414,28.501,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-04-19,1:26.626,Alberto,,<1,29.767,28.300,28.559,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-04-19,1:26.615,Alberto,,1,29.857,28.294,28.464,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-04-20,1:26.583,Army,,<1,29.656,28.402,28.525,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-04-20,1:26.475,Army,,12,29.768,28.279,28.428,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-05-02,1:26.453,Army,,<1,29.845,28.185,28.423,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-05-02,1:26.434,Army,,1,29.662,28.373,28.399,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-05-03,1:26.379,Army,,13,29.769,28.338,28.272,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-05-16,1:26.370,Hikki,,1,29.730,28.366,28.274,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-05-17,1:26.367,Army,,1,29.614,28.219,28.534,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-05-18,1:26.364,Hikki,,<1,29.672,28.297,28.395,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-05-18,1:26.310,Army,,<1,29.749,28.232,28.329,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-05-18,1:26.196,Army,,3,29.606,28.343,28.247,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2020-05-21,1:26.193,Army,,590,29.558,28.271,28.364,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
2022-01-01,1:26.150,Army,,409,29.607,28.272,28.271,10-0-0,1-1-1,Waluigi,Wild Wiggler,Leaf Tires,Paper Glider
