Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-08-04,1:56.914 ,K4I,,<1,39.940,38.480,38.494,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-04,1:56.837 ,Alberto,,<1,39.952,38.486,38.399,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-04,1:56.790 ,K4I,,<1,39.927,38.284,38.579,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-04,1:56.786 ,Alberto,,<1,39.950,38.431,38.405,10-0-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Paper Glider
2022-08-04,1:56.518 ,Alberto,,1,39.864,38.303,38.351,10-0-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Paper Glider
2022-08-05,1:56.451 ,しらぬい,,<1,39.810,38.328,38.313,10-0-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Paper Glider
2022-08-05,1:56.448 ,Alberto,,<1,39.776,38.383,38.289,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-05,1:56.417 ,Alberto,,<1,39.808,38.297,38.312,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-05,1:56.328 ,Alberto,,2,39.820,38.247,38.261,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-07,1:56.325 ,てんせいしゃ,,<1,39.796,38.296,38.233,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-07,1:56.273 ,しらぬい,,<1,39.683,38.288,38.302,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-07,1:56.187 ,しらぬい,,2,39.723,38.258,38.206,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-09,1:56.136 ,しらぬい,,<1,39.734,38.144,38.258,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-09,1:56.130 ,しらぬい,,<1,39.788,38.152,38.190,10-0-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Paper Glider
2022-08-09,1:56.089 ,しらぬい,,<1,39.743,38.153,38.193,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-09,1:56.032 ,しらぬい,,1,39.692,38.129,38.211,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-10,1:55.941 ,しらぬい,,1,39.652,38.166,38.123,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Cloud Glider
2022-08-11,1:55.926 ,しらぬい,,<1,39.673,38.112,38.141,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-11,1:55.906 ,しらぬい,,9,39.657,38.215,38.034,10-0-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Paper Glider
2022-08-20,1:55.846 ,AK,,5,39.663,38.122,38.061,10-0-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Paper Glider
2022-08-25,1:55.767 ,AK,,3,39.647,38.014,38.106,10-0-0,1-1-1,Roy,Biddybuggy,Leaf Tires,Paper Glider
2022-08-28,1:55.736 ,AK,,2,39.637,38.152,37.947,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-08-30,1:55.590 ,AK,,2,39.587,37.998,38.005,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Cloud Glider
2022-09-01,1:55.537 ,Alberto,,12,39.560,38.034,37.943,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-09-13,1:55.468 ,すとーぶ,,<1,39.508,37.984,37.976,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Cloud Glider
2022-09-13,1:55.462 ,すとーぶ,,<1,39.452,38.019,37.991,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Cloud Glider
2022-09-13,1:55.353 ,すとーぶ,,3,39.458,37.801,38.094,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Cloud Glider
2022-09-16,1:55.208 ,ain,,8,39.474,37.852,37.882,10-0-0,1-1-1,Waluigi,Biddybuggy,Leaf Tires,Paper Glider
2022-09-24,1:55.128 ,ain,,13,39.358,37.829,37.941,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-10-07,1:55.024 ,AK,,1,39.369,37.757,37.898,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-10-08,1:54.905 ,AK,,129,39.302,37.861,37.742,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
