Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:33.528,Mattew,,<1,32.143,30.468,30.917,9-1-0,1-1-1,King Boo,Blue Falcon,Slim,Super Glider
2017-04-28,1:32.972,Cynda,,<1,31.854,30.924,30.194,9-1-0,1-1-1,Heavy Mii Varia,Streetle,Roller,Super Glider
2017-04-28,1:32.908,Cynda,,<1,31.832,30.538,30.538,8-2-0,1-1-1,Heavy Mii Varia,Streetle,Roller,Super Glider
2017-04-28,1:32.849,Cynda,,<1,32.076,30.387,30.386,-,1-1-1,Heavy Mii Varia,Streetle,Roller,Super Glider
2017-04-28,1:32.546,Cynda,,<1,31.969,30.335,30.242,-,1-1-1,Heavy Mii Varia,Streetle,Roller,Super Glider
2017-04-28,1:32.271,Cynda,,<1,32.241,30.110,29.920,10-0-0,1-1-1,Heavy Mii Varia,Streetle,Roller,Super Glider
2017-04-28,1:31.815,John,,1,31.690,30.175,29.950,10-0-0,1-1-1,Wario,Streetle,Roller,Super Glider
2017-04-29,1:31.328,Mattew,,1,-,-,-,9-1-0,1-1-1,Donkey Kong,Blue Falcon,Azure Roller,Super Glider
2017-04-30,1:31.240,starxlx,,<1,31.307,30.023,29.910,-,1-1-1,Donkey Kong,Blue Falcon,Roller,MKTV Parafoil
2017-04-30,1:31.013,Mattew,,<1,-,-,-,8-2-0,1-1-1,Donkey Kong,Blue Falcon,Azure Roller,Super Glider
2017-04-30,1:30.896,Mattew,,<1,-,-,-,9-1-0,1-1-1,Donkey Kong,Blue Falcon,Azure Roller,Super Glider
2017-04-30,1:30.517,Mattew,,17,31.126,29.695,29.696,9-1-0,1-1-1,Donkey Kong,Blue Falcon,Azure Roller,Super Glider
2017-05-17,1:30.453,Demon,,<1,31.106,29.664,29.683,9-1-0,1-1-1,Waluigi,Blue Falcon,Azure Roller,Super Glider
2017-05-17,1:30.349,Demon,,9,31.151,29.621,29.577,10-0-0,1-1-1,Waluigi,Blue Falcon,Azure Roller,Super Glider
2017-05-26,1:30.347,TTyler,,1,31.054,29.706,29.587,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Super Glider
2017-05-27,1:30.317,TTyler,,10,31.012,29.718,29.587,-,1-1-1,Dry Bowser,Wild Wiggler,Azure Roller,Super Glider
2017-06-06,1:30.260,Ufle,,4,30.979,29.609,29.672,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Super Glider
2017-06-10,1:30.098,Carson,,<1,31.047,29.503,29.548,9-1-0,1-1-1,Wario,Biddybuggy,Azure Roller,Super Glider
2017-06-10,1:30.065,Rom,,1,30.976,29.588,29.501,9-1-0,1-1-1,Dry Bowser,Biddybuggy,Roller,Plane Glider
2017-06-11,1:29.886,Carson,,7,30.914,29.498,29.474,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Plane Glider
2017-06-18,1:29.865,Rom,,8,30.937,29.454,29.474,9-1-0,1-1-1,Heavy Mii Varia,Biddybuggy,Roller,Paper Glider
