Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:46.830,Mattew,,<1,-,-,-,-,-,-,-,-,-
2017-04-28,1:46.646,Leo,,<1,36.893,34.696,35.057,10-0-0,1-1-1,Wario,Streetle,Slim,Super Glider
2017-04-28,1:46.565,Mattew,,<1,36.751,34.631,35.183,-,1-1-1,Morton,Blue Falcon,Leaf Tires,Super Glider
2017-04-28,1:46.529,Leo,,<1,36.773,34.683,35.073,-,1-1-1,Wario,Streetle,Slim,Super Glider
2017-04-28,1:46.098,Mattew,,<1,-,-,-,10-0-0,1-1-1,Morton,Blue Falcon,Azure Roller,Cloud Glider
2017-04-28,1:45.781,Mattew,,<1,-,-,-,10-0-0,1-1-1,Morton,Blue Falcon,Azure Roller,Cloud Glider
2017-04-28,1:45.649,Mattew,,<1,-,-,-,6-4-0,1-1-1,Morton,Blue Falcon,Azure Roller,Super Glider
2017-04-28,1:45.552,X treme,,<1,36.479,34.522,34.551,-,1-1-1,Morton,Streetle,Roller,Flower Glider
2017-04-28,1:45.296,Mattew,,<1,36.418,34.323,34.555,10-0-0,1-1-1,Morton,Streetle,Azure Roller,Cloud Glider
2017-04-28,1:45.211,X treme,,<1,36.361,34.314,34.536,10-0-0,1-1-1,Morton,Streetle,Roller,Flower Glider
2017-04-28,1:44.905,X treme,,1,36.369,34.280,34.256,-,1-1-1,Wario,Streetle,Roller,Flower Glider
2017-04-29,1:44.740,X treme,,1,36.295,34.185,34.260,10-0-0,1-1-1,Wario,Streetle,Roller,Flower Glider
2017-04-30,1:44.638,X treme,,<1,36.234,34.205,34.199,10-0-0,1-1-1,Wario,Streetle,Roller,Parafoil
2017-04-30,1:44.614,X treme,,<1,36.242,34.144,34.228,10-0-0,1-1-1,Wario,Streetle,Roller,Cloud Glider
2017-04-30,1:44.503,X treme,,<1,36.240,34.153,34.110,10-0-0,1-1-1,Wario,Streetle,Roller,Cloud Glider
2017-04-30,1:44.411,X treme,,1,36.188,34.143,34.080,9-1-0,1-1-1,Wario,Streetle,Roller,Cloud Glider
2017-05-01,1:44.161,X treme,,<1,36.200,34.033,33.928,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2017-05-01,1:44.092,X treme,,<1,36.170,33.969,33.953,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2017-05-01,1:43.967,X treme,,<1,36.065,33.931,33.971,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,Paper Glider
2017-05-01,1:43.852,X treme,,1,-,-,-,10-0-0,1-1-1,Wario,Biddybuggy,Azure Roller,MKTV Parafoil
2017-05-02,1:43.763,X treme,,<1,35.924,33.918,33.921,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Azure Roller,Waddle Wing
2017-05-02,1:43.702,X treme,,3,35.958,33.885,33.859,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Azure Roller,Wario Wing
2017-05-05,1:43.487,X treme,,<1,35.884,33.856,33.747,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Azure Roller,Paper Glider
2017-05-05,1:43.391,X treme,,6,36.010,33.719,33.662,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Azure Roller,Paper Glider
2017-05-11,1:43.302,X treme,,23,35.886,33.731,33.685,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Azure Roller,Parachute
2017-06-03,1:43.255,X treme,,<1,35.782,33.730,33.743,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Azure Roller,Paper Glider
2017-06-03,1:43.225,X treme,,11,35.851,33.705,33.669,10-0-0,1-1-1,Donkey Kong,Pipe Frame,Azure Roller,Paper Glider
2017-06-14,1:43.192,X treme,,94,35.861,33.645,33.686,10-0-0,1-1-1,Donkey Kong,Pipe Frame,Azure Roller,Cloud Glider
2017-08-05,1:43.192,Lyte,,42,35.825,33.646,33.721,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2017-09-16,1:43.176,K4I,,1,35.853,33.594,33.729,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2017-09-17,1:43.113,K4I,,1,35.816,33.589,33.708,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Azure Roller,Cloud Glider
2017-09-18,1:43.000,K4I,,82,35.752,33.574,33.674,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Roller,Cloud Glider
2017-12-09,1:42.930,vxlocity,,60,35.778,33.603,33.549,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Cloud Glider
2018-02-07,1:42.869,Swift,,1,35.794,33.499,33.576,10-0-0,1-1-1,Waluigi,Biddybuggy,Roller,Cloud Glider
2018-02-08,1:42.797,K4I,,121,35.839,33.480,33.478,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Parachute
2018-06-09,1:42.784,mei,,<1,35.772,33.514,33.498,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2018-06-09,1:42.664,K4I,,<1,35.728,33.492,33.444,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2018-06-09,1:42.603,K4I,,22,35.695,33.429,33.479,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2018-07-01,1:42.504,めめ,,<1,35.724,33.349,33.431,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Roller,Paper Glider
2018-07-01,1:42.444,めめ,,<1,35.723,33.403,33.318,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Roller,Paper Glider
2018-07-01,1:42.433,Swift,,<1,35.747,33.281,33.405,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2018-07-01,1:42.284,おまえモナー,,<1,35.786,33.216,33.282,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2018-07-01,1:42.185,Swift,,1,35.616,33.301,33.268,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2018-07-02,1:42.138,おまえモナー,,<1,35.558,33.295,33.285,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2018-07-02,1:42.055,おまえモナー,,<1,35.513,33.271,33.271,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Cloud Glider
2018-07-02,1:42.039,Axel,,<1,35.629,33.219,33.191,10-0-0,1-1-1,Lemmy,Biddybuggy,Azure Roller,Paper Glider
2018-07-02,1:42.013,Axel,,1,35.545,33.209,33.259,10-0-0,1-1-1,Lemmy,Biddybuggy,Azure Roller,Paper Glider
2018-07-03,1:41.996,Axel,,4,35.595,33.207,33.194,9-1-0,1-1-1,Lemmy,Biddybuggy,Azure Roller,Paper Glider
2018-07-07,1:41.972,K4I,,1,35.544,33.273,33.155,10-0-0,1-1-1,Baby Rosalina,Biddybuggy,Azure Roller,Parachute
