Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:53.630,Danny,,<1,39.021,37.524,37.085,7-3-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:53.604,にこら,,<1,38.946,37.549,37.109,-,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:53.436,Joel,,<1,38.939,37.419,37.078,7-3-0,1-1-1,Morton,Splat Buggy,Slim,Plane Glider
2017-04-28,1:53.216,ちくわ,,<1,38.995,37.357,36.864,6-4-0,1-1-1,Morton,Splat Buggy,Slim,Plane Glider
2017-04-28,1:53.163,カニ,,<1,38.767,37.364,37.032,7-3-0,1-1-1,Wario,Sport Bike,Crimson Slim,Plane Glider
2017-04-28,1:53.146,にこら,,<1,-,-,-,-,1-1-1,-,-,-,-
2017-04-28,1:53.109,Joel,,<1,38.927,37.268,36.914,7-3-0,1-1-1,Morton,Blue Falcon,Slim,Super Glider
2017-04-28,1:52.980,Joel,,1,38.862,37.240,36.878,7-3-0,1-1-1,Morton,Blue Falcon,Slim,Super Glider
2017-04-29,1:52.960 ,Noko,,<1,38.773,37.264,36.923,-,1-1-1,Bowser,Comet,Slim,Super Glider
2017-04-29,1:52.867,しまけい,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:52.675 ,Noko,,<1,-,-,-,-,-,-,-,-,-
2017-04-29,1:52.662,Peze,,<1,38.683,37.106,36.873,-,1-1-1,Morton,Splat Buggy,Slim,Plane Glider
2017-04-29,1:52.645,K4I,,<1,38.697,37.124,36.824,-,-,Morton,Splat Buggy,Slim,Cloud Glider
2017-04-29,1:52.474,K4I,,<1,38.574,37.078,36.822,7-3-0,1-1-1,Morton,Splat Buggy,Slim,Cloud Glider
2017-04-29,1:52.399,Domenico,,<1,38.604,36.999,36.796,7-3-0,1-1-1,Morton,Splat Buggy,Slim,Parafoil
2017-04-29,1:52.330,Domenico,,<1,38.545,36.991,36.794,7-3-0,1-1-1,Morton,Splat Buggy,Slim,Parafoil
2017-04-29,1:52.324,Domenico,,<1,38.510,36.997,36.817,7-3-0,1-1-1,Morton,Splat Buggy,Slim,Parafoil
2017-04-29,1:52.195,Domenico,,<1,38.466,36.956,36.773,7-3-0,1-1-1,Morton,Splat Buggy,Slim,Parafoil
2017-04-29,1:51.930,Domenico,,1,38.504,36.799,36.627,7-3-0,1-1-1,Morton,Splat Buggy,Roller,Parafoil
2017-04-30,1:51.863,しーる,,<1,38.560,36.780,36.523,7-3-0,1-1-1,Morton,Wild Wiggler,Roller,Cloud Glider
2017-04-30,1:51.770,しーる,,1,38.425,36.655,36.690,7-3-0,1-1-1,Morton,Wild Wiggler,Roller,Cloud Glider
2017-05-01,1:51.518,Domenico,,<1,38.220,36.660,36.638,7-3-0,1-1-1,Morton,W 25 Silver Arrow,Azure Roller,Parafoil
2017-05-01,1:51.514,Domenico,,<1,38.274,36.673,36.567,7-3-0,1-1-1,Morton,Wild Wiggler,Azure Roller,Parafoil
2017-05-01,1:51.502,Domenico,,1,38.278,36.731,36.493,7-3-0,1-1-1,Morton,W 25 Silver Arrow,Azure Roller,Parafoil
2017-05-02,1:51.395,K4I,,4,38.319,36.674,36.402,7-3-0,1-1-1,Wario,W 25 Silver Arrow,Roller,Parafoil
2017-05-06,1:51.367,Bry,,1,38.265,36.594,36.508,7-3-0,1-1-1,Morton,W 25 Silver Arrow,Roller,Peach Parasol
2017-05-07,1:51.342,Bry,,<1,38.256,36.607,36.479,7-3-0,1-1-1,Heavy Mii Crossing,W 25 Silver Arrow,Roller,Paper Glider
2017-05-07,1:51.260,Bry,,<1,38.260,36.540,36.460,7-3-0,1-1-1,Heavy Mii Varia,W 25 Silver Arrow,Roller,Paper Glider
2017-05-07,1:51.252,Bry,,<1,38.270,36.649,36.333,7-3-0,1-1-1,Heavy Mii Kirby,W 25 Silver Arrow,Roller,Flower Glider
