Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:25.806,Del,,<1,30.179,28.209,27.418,8-2-0,1-1-1,Morton,Standard Kart,Off-Road,Super Glider
2017-04-28,1:24.193,Snowdog,,<1,29.144,27.615,27.434,4-2-0,1-1-1,Morton,Circuit Special,Leaf Tires,Super Glider
2017-04-28,1:23.485,Shaun,,<1,28.651,27.380,27.454,-,1-1-1,Morton,Streetle,Slim,Super Glider
2017-04-28,1:22.417,Shaun,,<1,28.350,27.149,26.918,-,1-1-1,Morton,Streetle,Slim,MKTV Parafoil
2017-04-28,1:21.856,Shaun,,<1,28.306,26.784,26.766,7-0-0,1-1-1,Heavy Mii,Splat Buggy,Slim,Super Glider
2017-04-28,1:21.141,Kevin,,1,28.326,26.606,26.209,9-1-0,1-1-1,Heavy Mii Sonic,Streetle,Slim,Plane Glider
2017-04-29,1:20.673,Kevin,,<1,-,-,-,-,1-1-1,Heavy Mii Sonic,Streetle,Slim,Plane Glider
2017-04-29,1:20.423,Play,,<1,28.057,26.219,26.147,9-0-0,1-1-1,Morton,W 25 Silver Arrow,Slim,Plane Glider
2017-04-29,1:20.345,Kevin,,3,28.092,26.086,26.167,9-0-0,1-1-1,Heavy Mii Wario,W 25 Silver Arrow,Slim,Plane Glider
2017-05-02,1:20.223,Kevin,,<1,-,-,-,-,1-1-1,Heavy Mii Wario,W 25 Silver Arrow,Slim,Plane Glider
2017-05-02,1:19.712,Kevin,,1,27.867,25.911,25.934,-,1-1-1,Heavy Mii,W 25 Silver Arrow,Slim,Plane Glider
2017-05-03,1:19.489,Kevin,,1,-,-,-,-,1-1-1,Heavy Mii Wario,W 25 Silver Arrow,Slim,Plane Glider
2017-05-04,1:19.457,Play,,3,27.875,25.885,25.697,9-1-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Slim,Plane Glider
2017-05-07,1:19.411,Kevin,,<1,27.858,25.872,25.681,9-1-0,1-1-1,Heavy Mii Wario,W 25 Silver Arrow,Azure Roller,Plane Glider
2017-05-07,1:19.339,Play,,<1,27.826,25.732,25.781,9-1-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,Plane Glider
2017-05-07,1:19.139,Kevin,,7,27.671,25.871,25.597,9-1-0,1-1-1,Heavy Mii Mario,W 25 Silver Arrow,Azure Roller,Plane Glider
2017-05-14,1:19.049,Carson,,8,27.820,25.695,25.534,9-1-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,Plane Glider
2017-05-22,1:19.003,Shaun,,<1,27.760,25.736,25.507,9-1-0,1-1-1,Heavy Mii,W 25 Silver Arrow,Roller,Plane Glider
2017-05-22,1:18.993,Shaun,,<1,27.746,25.752,25.495,9-1-0,1-1-1,Heavy Mii,W 25 Silver Arrow,Roller,Plane Glider
2017-05-22,1:18.905,Shaun,,3,27.777,25.618,25.510,9-1-0,1-1-1,Heavy Mii,W 25 Silver Arrow,Roller,Plane Glider
2017-05-25,1:18.846,Shaun,,5,27.695,25.634,25.517,9-1-0,1-1-1,Heavy Mii,W 25 Silver Arrow,Roller,Plane Glider
2017-05-30,1:18.839,Rom,,2,27.620,25.656,25.563,9-1-0,1-1-1,Heavy Mii Varia,W 25 Silver Arrow,Roller,Plane Glider
2017-06-01,1:18.801,Shaun,,<1,27.680,25.580,25.541,9-1-0,1-1-1,Heavy Mii,W 25 Silver Arrow,Leaf Tires,Plane Glider
2017-06-01,1:18.780,Rom,,1,27.706,25.484,25.590,9-1-0,1-1-1,Heavy Mii Varia,W 25 Silver Arrow,Leaf Tires,Plane Glider
2017-06-02,1:18.705,Rom,,1,27.694,25.529,25.482,9-1-0,1-1-1,Heavy Mii Varia,W 25 Silver Arrow,Leaf Tires,Plane Glider
2017-06-03,1:18.568,Shaun,,74,27.652,25.492,25.424,9-1-0,1-1-1,Heavy Mii,W 25 Silver Arrow,Leaf Tires,Plane Glider
2017-08-16,1:18.517,Jimmy,,6,27.592,25.485,25.440,9-1-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Leaf Tires,Gold Glider
2017-08-22,1:18.417,Mattew,,2,27.571,25.367,25.479,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Plane Glider
2017-08-24,1:18.346,Jimmy,,188,27.510,25.499,25.337,9-1-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,Gold Glider
2018-02-28,1:18.318,starxlx,,1,27.590,25.319,25.409,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,MKTV Parafoil
2018-03-01,1:18.285,Jimmy,,<1,27.444,25.457,25.384,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,Cloud Glider
2018-03-01,1:17.973,Jimmy,,256,27.442,25.322,25.209,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,Cloud Glider
2018-11-12,1:17.931,Jimmy,,3,27.375,25.223,25.333,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,Cloud Glider
2018-11-15,1:17.866,Jimmy,,124,27.424,25.196,25.246,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,Cloud Glider
2019-03-19,1:17.837,そうめん,,7,27.449,25.201,25.187,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Roller,Paper Glider
2019-03-26,1:17.824,Jimmy,,1,27.425,25.177,25.222,10-0-0,1-1-1,Dry Bowser,W 25 Silver Arrow,Azure Roller,Cloud Glider
2019-03-27,1:17.823,Tane,,1,27.364,25.293,25.166,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Cloud Glider
2019-03-28,1:17.741,そうめん,,8,27.405,25.198,25.138,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Roller,Paper Glider
2019-04-05,1:17.701,ths,,7,27.397,25.181,25.123,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Roller,Paper Glider
2019-04-12,1:17.676,そうめん,,166,27.358,25.199,25.119,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Roller,Paper Glider
2019-09-25,1:17.654,ths,,9,27.419,25.118,25.117,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Paper Glider
2019-10-04,1:17.620,そうめん,,<1,27.397,25.104,25.119,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Roller,Paper Glider
2019-10-04,1:17.602,そうめん,,<1,27.332,25.158,25.112,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Roller,Paper Glider
2019-10-04,1:17.535,そうめん,,325,27.320,25.071,25.144,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Roller,Paper Glider
2020-08-24,1:17.527,DavidFire,,<1,27.370,25.052,25.105,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Cloud Glider
2020-08-24,1:17.525,DavidFire,,1,27.363,25.075,25.087,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Cloud Glider
2020-08-25,1:17.500,DavidFire,,11,27.337,25.099,25.064,10-0-0,1-1-1,Wario,W 25 Silver Arrow,Azure Roller,Cloud Glider
