Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:37.465,KevinCst,,<1,33.286,32.374,31.805,6-3-0,1-1-1,Heavy Mii,Circuit Special,Standard,Super Glider
2017-04-28,1:34.831,Danny,,<1,33.048,30.363,31.420,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:33.839,Danny,,<1,32.737,30.595,30.507,9-1-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:33.777 ,chun,,<1,33.051,30.558,30.168,10-0-0,0-1-2,Dry Bowser,Splat Buggy,Slim,MKTV Parafoil
2017-04-28,1:33.547,Mick,,1,32.113,31.101,30.333,10-0-0,1-0-2,Dry Bowser,Splat Buggy,Slim,Super Glider
2017-04-29,1:32.560,Play,,<1,31.801,30.249,30.510,-,-,Heavy Mii,Splat Buggy,Slim,Parafoil
2017-04-29,1:31.731,Mick,,1,31.835,29.832,30.064,-,-,Dry Bowser,Streetle,Roller,Super Glider
2017-04-30,1:30.904,Mick,,4,31.535,29.802,29.567,10-0-0,1-1-1,Dry Bowser,Streetle,Slim,Super Glider
2017-05-04,1:30.730,Thomus,,<1,31.437,29.687,29.606,10-0-0,1-1-1,Dry Bowser,Streetle,Slim,Super Glider
2017-05-04,1:30.419,Thomus,,<1,31.363,29.618,29.438,10-0-0,1-1-1,Dry Bowser,Streetle,Slim,Super Glider
2017-05-04,1:30.202,Anthony,,<1,31.121,29.569,29.512,10-0-0,1-1-1,Wario,Streetle,Slim,Hylian Kite
2017-05-04,1:30.054,Anthony,,<1,31.170,29.531,29.353,9-1-0,1-1-1,Wario,Streetle,Slim,Hylian Kite
2017-05-04,1:29.910,Anthony,,<1,31.328,29.425,29.157,10-0-0,1-1-1,Wario,Streetle,Slim,Hylian Kite
2017-05-04,1:29.814,Thomus,,1,31.068,29.339,29.407,10-0-0,1-1-1,Dry Bowser,Streetle,Slim,Super Glider
2017-05-05,1:29.753,Anthony,,<1,31.105,29.455,29.193,10-0-0,1-1-1,Wario,Streetle,Slim,Hylian Kite
2017-05-05,1:29.729,Anthony,,<1,31.027,29.290,29.412,10-0-0,1-1-1,Wario,Blue Falcon,Slim,Hylian Kite
2017-05-05,1:29.205,Anthony,,<1,30.968,29.174,29.063,10-0-0,1-1-1,Wario,Blue Falcon,Slim,Hylian Kite
2017-05-05,1:29.165,Anthony,,3,30.970,29.179,29.016,10-0-0,1-1-1,Wario,Blue Falcon,Slim,Hylian Kite
2017-05-08,1:29.120,Thomus,,<1,30.853,29.222,29.045,10-0-0,1-1-1,Morton,Blue Falcon,Slim,Super Glider
2017-05-08,1:29.071,Thomus,,<1,30.878,29.202,28.991,10-0-0,1-1-1,Morton,Blue Falcon,Slim,Hylian Kite
2017-05-08,1:29.068,Thomus,,<1,30.756,29.310,29.002,10-0-0,1-1-1,Morton,Blue Falcon,Slim,Hylian Kite
2017-05-08,1:28.914,Thomus,,1,30.689,29.214,29.011,10-0-0,1-1-1,Morton,Blue Falcon,Slim,Hylian Kite
2017-05-09,1:28.799,Anthony,,2,30.663,29.117,29.019,9-1-0,1-1-1,Morton,Blue Falcon,Slim,Waddle Wing
2017-05-11,1:28.731,Thomus,,<1,30.653,29.112,28.966,10-0-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Hylian Kite
2017-05-11,1:28.725,Thomus,,<1,30.756,29.053,28.916,10-0-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Hylian Kite
2017-05-11,1:28.596,Thomus,,<1,30.565,29.061,28.970,10-0-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Hylian Kite
2017-05-11,1:28.593,Thomus,,<1,30.529,29.048,29.016,9-1-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Hylian Kite
2017-05-11,1:28.563,Thomus,,<1,30.531,29.080,28.952,9-1-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Hylian Kite
2017-05-11,1:28.444,Thomus,,2,30.495,29.061,28.888,9-1-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Hylian Kite
2017-05-13,1:28.327,Thomus,,20,30.469,29.041,28.817,9-1-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Gold Glider
2017-06-02,1:28.274,SuperFX,,1,30.469,29.074,28.731,9-1-0,1-1-1,Wario,Blue Falcon,Slim,Cloud Glider
2017-06-03,1:28.187,Thomus,,<1,30.590,28.744,28.853,10-0-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Gold Glider
2017-06-03,1:28.133,Thomus,,1,30.383,29.034,28.716,9-1-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Gold Glider
2017-06-04,1:28.091,Thomus,,127,30.423,28.908,28.760,9-1-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Gold Glider
2017-10-09,1:28.070,Jimmy,,12,30.379,28.967,28.724,9-1-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Gold Glider
2017-10-21,1:27.967,Thomus,,2,30.285,28.979,28.703,9-1-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Gold Glider
2017-10-23,1:27.667,Thomus,,188,30.258,28.836,28.573,9-1-0,1-1-1,Morton,Blue Falcon,Crimson Slim,Gold Glider
2018-04-29,1:27.655,Darky,,1,30.309,28.807,28.539,9-1-0,1-1-1,Wario,Blue Falcon,Crimson Slim,Gold Glider
2018-04-30,1:27.491,Darky,,16,30.288,28.651,28.552,9-1-0,1-1-1,Wario,Blue Falcon,Crimson Slim,Gold Glider
2018-05-16,1:27.458,Thomus,,<1,30.254,28.590,28.614,9-1-0,1-1-1,Dry Bowser,Blue Falcon,Crimson Slim,Gold Glider
2018-05-16,1:27.328,Thomus,,17,30.195,28.543,28.590,9-1-0,1-1-1,Dry Bowser,Blue Falcon,Crimson Slim,Gold Glider
2018-06-02,1:27.291,Darky,,1,30.251,28.471,28.569,9-1-0,1-1-1,Wario,Blue Falcon,Crimson Slim,Gold Glider
