Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-12-07,1:58.717 ,¥146,,<1,37.453,50.798,30.466,8-2-0,0-1-2,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-12-07,1:58.167 ,¥146,,1,37.412,50.439,30.316,8-2-0,0-1-2,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-12-08,1:58.151 ,Kabkal,,<1,37.344,50.523,30.284,8-2-0,0-1-2,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-12-08,1:58.117 ,¥146,,<1,37.296,50.455,30.366,8-2-0,0-1-2,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-12-08,1:57.801 ,¥146,,<1,37.251,50.350,30.200,8-2-0,0-1-2,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-12-08,1:57.767 ,Alberto,,<1,37.139,50.345,30.283,8-2-0,0-1-2,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-12-08,1:57.584 ,Alberto,,<1,37.118,50.283,30.183,8-2-0,0-1-2,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-12-08,1:57.551 ,Alberto,,1,37.134,50.267,30.150,8-2-0,0-1-2,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-12-09,1:57.551 ,Alpaco,,<1,37.024,50.193,30.334,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Parachute
2022-12-09,1:57.534 ,Ziner,,<1,37.124,50.343,30.067,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-09,1:57.434 ,Alberto,,<1,37.068,50.199,30.167,8-2-0,0-1-2,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-12-09,1:57.284 ,Alberto,,1,37.062,50.105,30.117,8-2-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-12-10,1:57.184 ,しらぬい,,<1,37.043,49.941,30.200,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-10,1:57.151 ,しらぬい,,1,37.042,49.909,30.200,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-11,1:57.101 ,Alberto,,<1,36.986,49.948,30.167,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-11,1:57.001 ,Alberto,,<1,36.955,50.046,30.000,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-11,1:56.767 ,Alberto,,12,36.934,49.850,29.983,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-19,1:56.767 ,Army,,4,36.920,49.881,29.966,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-23,1:56.717 ,しらぬい,,<1,36.845,49.872,30.000,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Parachute
2022-12-23,1:56.484 ,Army,,<1,36.839,49.778,29.867,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-23,1:56.384 ,Army,,1,36.819,49.732,29.833,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-24,1:56.334 ,Alberto,,<1,36.790,49.761,29.783,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-24,1:56.267 ,Army,,50,36.782,49.685,29.800,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-24,1:56.267 ,Alberto,,50,36.767,49.750,29.750,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2023-02-12,1:56.251 ,Panda,,1,36.768,49.666,29.817,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2023-02-13,1:56.234 ,Army,,1,36.769,49.632,29.833,8-2-0,0-1-2,Baby Daisy,Biddybuggy,Azure Roller,Parachute
