Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-12-07,2:11.566,purin,,<1,40.578,38.431,52.557,6-4-0,2-0-1,Roy,Yoshi Bike,Azure Roller,Paper Glider
2022-12-07,2:10.922,You,,<1,43.121,37.898,49.903,6-4-0,0-0-3,Waluigi,Biddybuggy,Azure Roller,Cloud Glider
2022-12-07,2:10.847 ,Roberto,,<1,40.366,38.311,52.170,6-4-0,2-0-1,Donkey Kong,Yoshi Bike,Azure Roller,Cloud Glider
2022-12-07,2:10.747,purin,,<1,40.358,38.514,51.875,6-4-0,2-0-1,Roy,Yoshi Bike,Azure Roller,Paper Glider
2022-12-07,2:10.421 ,Roberto,,<1,40.302,38.390,51.729,6-4-0,2-0-1,Donkey Kong,Yoshi Bike,Azure Roller,Cloud Glider
2022-12-07,2:10.405,Saru,,<1,40.237,38.350,51.818,6-4-0,2-0-1,Donkey Kong,Yoshi Bike,Azure Roller,Cloud Glider
2022-12-07,2:09.882,Ziner,,1,40.207,38.123,51.552,6-4-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-08,2:09.764,Pii,,<1,40.155,37.906,51.703,6-4-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-08,2:09.332,Pii,,<1,40.195,37.927,51.210,6-4-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-08,2:08.903,Army,,1,40.042,37.823,51.038,6-4-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-09,2:08.894,K4I,,<1,40.071,37.617,51.206,6-4-0,2-0-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2022-12-09,2:08.604,Army,,1,40.079,37.564,50.961,6-4-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Parachute
2022-12-10,2:08.343,Army,,10,40.016,37.469,50.858,6-4-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-20,2:08.203,Panda,,1,39.963,37.371,50.869,6-4-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-21,2:08.162,Army,,1,39.931,37.488,50.743,6-4-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-22,2:08.011,Army,,54,39.932,37.332,50.747,6-4-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
