Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-12-07,1:20.303 ,Alberto,,<1,28.220,26.210,25.873,8-2-0,1-1-1,Waluigi,Wild Wiggler,Sponge,Paper Glider
2022-12-07,1:20.276 ,Alberto,,<1,28.264,26.190,25.822,8-2-0,1-1-1,Waluigi,Wild Wiggler,Sponge,Paper Glider
2022-12-07,1:20.226 ,Alberto,,<1,28.170,26.301,25.755,8-2-0,1-1-1,Roy,Wild Wiggler,Sponge,Paper Glider
2022-12-07,1:20.166 ,Alberto,,<1,28.105,26.230,25.831,8-2-0,1-1-1,Roy,Wild Wiggler,Sponge,Paper Glider
2022-12-07,1:20.081 ,Alberto,,<1,28.120,26.175,25.786,8-2-0,1-1-1,Roy,Wild Wiggler,Sponge,Paper Glider
2022-12-07,1:20.080 ,Alberto,,<1,28.145,26.125,25.810,8-2-0,1-1-1,Roy,Wild Wiggler,Sponge,Paper Glider
2022-12-07,1:19.898 ,Alberto,,<1,28.068,26.076,25.754,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Paper Glider
2022-12-07,1:19.842 ,Alberto,,1,28.029,26.060,25.753,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Paper Glider
2022-12-08,1:19.781 ,Alberto,,<1,28.116,25.924,25.741,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Paper Glider
2022-12-08,1:19.598 ,Alberto,,<1,27.934,26.024,25.640,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Paper Glider
2022-12-08,1:19.475 ,Alberto,,1,27.890,25.904,25.681,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Paper Glider
2022-12-09,1:19.465 ,Alberto,,<1,27.856,25.931,25.678,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Paper Glider
2022-12-09,1:19.331 ,Alberto,,<1,27.911,25.856,25.564,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Paper Glider
2022-12-09,1:19.329 ,Alberto,,<1,27.822,25.869,25.638,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Paper Glider
2022-12-09,1:19.313 ,Alberto,,1,27.807,25.820,25.686,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Paper Glider
2022-12-10,1:19.278 ,Alberto,,<1,27.849,25.834,25.595,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Paper Glider
2022-12-10,1:19.166 ,Alberto,,1,27.823,25.752,25.591,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Paper Glider
2022-12-11,1:19.122 ,すとーぶ,,<1,27.780,25.786,25.556,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Cloud Glider
2022-12-11,1:19.002 ,Alberto,,13,27.721,25.760,25.521,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Cloud Glider
2022-12-24,1:18.975 ,Alberto,,52,27.734,25.760,25.481,8-2-0,1-1-1,Wario,Wild Wiggler,Azure Roller,Paper Glider
