Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-08-04,1:24.932,vxlocity,,<1,30.734,28.727,25.471,10-0-0,2-0-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:24.841,Alpaco,,<1,30.710,28.504,25.627,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Roller,Paper Glider
2022-08-04,1:24.769,vxlocity,,<1,30.562,28.686,25.521,10-0-0,2-0-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:24.542,Alpaco,,<1,30.634,28.652,25.256,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Roller,Paper Glider
2022-08-04,1:24.327,Alpaco,,<1,30.559,28.482,25.286,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Roller,Paper Glider
2022-08-04,1:24.201,Alpaco,,<1,30.639,28.461,25.101,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:24.007,Alpaco,,<1,30.592,28.462,24.953,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:23.958,Alpaco,,<1,30.558,28.526,24.874,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:23.942,Alpaco,,1,30.569,28.501,24.872,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-05,1:23.870,Alpaco,,<1,30.611,28.364,24.895,10-0-0,2-0-1,Baby Peach,Biddybuggy,Azure Roller,Parachute
2022-08-05,1:23.826,Alpaco,,1,30.496,28.522,24.808,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Flower Glider
2022-08-06,1:23.784,Army,,<1,30.431,28.378,24.975,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-06,1:23.781,Army,,<1,30.434,28.380,24.967,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-06,1:23.672,Army,,1,30.417,28.403,24.852,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-07,1:23.568,¥146,,<1,30.436,28.257,24.875,10-0-0,2-0-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
2022-08-07,1:23.499,Army,,<1,30.443,28.315,24.741,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-07,1:23.492,Army,,<1,30.442,28.303,24.747,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Parachute
2022-08-07,1:23.473,Army,,<1,30.447,28.313,24.713,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-07,1:23.367,Army,,12,30.407,28.204,24.756,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-19,1:23.322,Army,,<1,30.371,28.203,24.748,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-19,1:23.272,Army,,<1,30.327,28.140,24.805,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-19,1:23.220,Army,,<1,30.311,28.121,24.788,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-19,1:23.130,Army,,1,30.340,28.175,24.615,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-08-20,1:23.120,Army,,102,30.269,28.165,24.686,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-11-30,1:23.079,Panda,,1,30.339,28.089,24.651,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-01,1:22.994,Army,,<1,30.249,28.091,24.654,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-01,1:22.957,Army,,1,30.243,28.074,24.640,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-12-02,1:22.947,Army,,<1,30.251,28.070,24.626,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Parachute
2022-12-02,1:22.894,Army,,74,30.212,28.078,24.604,10-0-0,2-0-1,Baby Daisy,Biddybuggy,Azure Roller,Parachute
