Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-03-17,1:56.324 ,こんこん,,1,40.122,37.909,38.293,8-2-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:55.923 ,こんこん,,<1,40.161,37.725,38.037,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:55.830 ,ヨシ,,<1,40.139,37.950,37.741,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Paper Glider
2022-03-18,1:55.314 ,こんこん,,<1,40.117,37.439,37.758,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:55.256 ,こんこん,,<1,40.067,37.379,37.810,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:55.065 ,こんこん,,1,39.924,37.348,37.793,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-19,1:54.757 ,こんこん,,<1,39.866,37.194,37.697,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-19,1:54.307 ,ヨシ,,1,39.833,37.276,37.198,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Paper Glider
2022-03-20,1:54.226 ,こんこん,,1,39.974,37.015,37.237,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-21,1:54.187 ,Alpaco,,1,39.818,37.177,37.192,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Cloud Glider
2022-03-22,1:54.097 ,AK,,<1,39.871,37.068,37.158,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-22,1:53.952 ,AK,,2,39.889,37.107,36.956,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-24,1:53.917 ,しらぬい,,<1,39.697,37.050,37.170,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
2022-03-24,1:53.856 ,AK,,<1,39.854,37.011,36.991,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Cloud Glider
2022-03-24,1:53.829 ,AK,,<1,39.665,37.099,37.065,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-24,1:53.758 ,しらぬい,,1,39.775,36.999,36.984,10-0-0,1-1-1,Donkey Kong,Biddybuggy,Azure Roller,Paper Glider
2022-03-25,1:53.744 ,AK,,<1,39.849,36.868,37.027,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-25,1:53.700 ,AK,,<1,39.791,36.847,37.062,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-25,1:53.638 ,しらぬい,,<1,39.607,36.888,37.143,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-25,1:53.461 ,しらぬい,,6,39.636,36.970,36.855,10-0-0,1-1-1,Roy,Biddybuggy,Azure Roller,Paper Glider
2022-03-31,1:53.331 ,ユダ,,<1,39.634,36.824,36.873,10-0-0,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-31,1:53.297 ,ユダ,,3,39.584,36.891,36.822,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Flower Glider
2022-04-03,1:53.182 ,しらぬい,,5,39.640,36.795,36.747,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-04-08,1:53.141 ,Ronny,,1,39.621,36.696,36.824,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Roller,Paper Glider
2022-04-09,1:53.130 ,Army,,<1,39.595,36.681,36.854,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-04-09,1:53.102 ,Army,,1,39.589,36.573,36.940,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-04-10,1:53.009 ,Army,,<1,39.656,36.598,36.755,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-04-10,1:52.959 ,Army,,58,39.468,36.760,36.731,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-06-07,1:52.893 ,Alpaco,,1,39.475,36.648,36.770,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Roller,Paper Glider
2022-06-08,1:52.848 ,Army,,<1,39.465,36.698,36.685,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-06-08,1:52.796 ,Army,,2,39.513,36.659,36.624,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-06-10,1:52.714 ,Army,,1,39.505,36.650,36.559,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2022-06-11,1:52.659 ,Army,,214,39.437,36.485,36.737,10-0-0,1-1-1,Baby Daisy,Biddybuggy,Azure Roller,Paper Glider
2023-01-11,1:52.502 ,frog,,34,39.388,36.587,36.527,10-0-0,1-1-1,Baby Peach,Biddybuggy,Azure Roller,Paper Glider
