Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-03-17,1:52.251 ,K4I,,1,36.760,34.866,40.625,-,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:52.167 ,K4I,,<1,36.652,34.737,40.778,-,1-1-1,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-03-18,1:52.151,LMDS,,<1,36.749,34.855,40.547,-,1-1-1,Roy,Yoshi Bike,Roller,Peach Parasol
2022-03-18,1:52.134,Zakaria,,<1,36.817,34.781,40.536,-,1-1-1,Donkey Kong,Yoshi Bike,Azure Roller,Paper Glider
2022-03-18,1:51.984,LMDS,,1,36.767,34.636,40.581,9-1-0,1-1-1,Roy,Yoshi Bike,Roller,Peach Parasol
2022-03-19,1:51.967 ,K4I,,<1,36.558,34.793,40.616,9-1-0,1-1-1,Waluigi,Yoshi Bike,Azure Roller,Paper Glider
2022-03-19,1:51.884 ,K4I,,<1,36.577,34.769,40.538,9-1-0,1-1-1,Waluigi,Yoshi Bike,Azure Roller,Paper Glider
2022-03-19,1:51.817 ,K4I,,<1,36.623,34.675,40.519,9-1-0,1-1-1,Waluigi,Yoshi Bike,Azure Roller,Paper Glider
2022-03-19,1:51.784 ,K4I,,<1,36.593,34.686,40.505,9-1-0,1-1-1,Waluigi,Yoshi Bike,Azure Roller,Paper Glider
2022-03-19,1:51.617 ,K4I,,1,36.481,34.593,40.543,9-1-0,1-1-1,Waluigi,Yoshi Bike,Azure Roller,Paper Glider
2022-03-20,1:51.551 ,K4I,,1,36.499,34.599,40.453,9-1-0,1-1-1,Donkey Kong,Yoshi Bike,Azure Roller,Paper Glider
2022-03-21,1:51.501 ,K4I,,<1,36.486,34.559,40.456,9-1-0,1-1-1,Donkey Kong,Yoshi Bike,Azure Roller,Paper Glider
2022-03-21,1:51.484 ,K4I,,6,36.464,34.637,40.383,9-1-0,1-1-1,Donkey Kong,Yoshi Bike,Azure Roller,Paper Glider
2022-03-27,1:51.367 ,Alberto,,1,36.557,34.468,40.342,10-0-0,1-1-1,Roy,Mr. Scooty,Azure Roller,Paper Glider
2022-03-28,1:51.234 ,K4I,,<1,36.444,34.494,40.296,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-03-28,1:51.184 ,K4I,,<1,36.494,34.463,40.227,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-03-28,1:51.067 ,K4I,,10,36.417,34.421,40.229,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-04-07,1:51.034 ,¥146,,1,36.389,34.333,40.312,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-04-08,1:51.001 ,K4I,,<1,36.373,34.384,40.244,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-04-08,1:50.901 ,K4I,,27,36.393,34.359,40.149,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-05-05,1:50.834 ,ths,,3,36.296,34.280,40.258,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-05-08,1:50.784 ,K4I,,<1,36.283,34.342,40.159,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-05-08,1:50.701 ,Panda,,1,36.401,34.254,40.046,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-05-09,1:50.634 ,K4I,,4,36.295,34.334,40.005,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-05-13,1:50.617 ,Panda,,16,36.312,34.214,40.091,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-05-29,1:50.567 ,Army,,34,36.265,34.237,40.065,10-0-0,1-1-1,Waluigi,Mr. Scooty,Azure Roller,Paper Glider
2022-07-02,1:50.551 ,Panda,,<1,36.214,34.228,40.109,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-07-02,1:50.501 ,Panda,,1,36.280,34.178,40.043,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-07-03,1:50.434 ,Panda,,<1,36.240,34.203,39.991,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-07-03,1:50.401 ,Panda,,<1,36.225,34.191,39.985,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
2022-07-03,1:50.367 ,Panda,,226,36.192,34.199,39.976,10-0-0,1-1-1,Donkey Kong,Mr. Scooty,Azure Roller,Paper Glider
