Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-08-04,1:26.717,grace,,<1,26.404,35.263,25.050,8-2-0,1-2-0,Waluigi,Biddybuggy,Roller,Paper Glider
2022-08-04,1:26.634,Davi,,<1,26.409,35.225,25.000,8-2-0,1-2-0,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:26.634,TTyler,,<1,26.607,35.144,24.883,8-2-0,1-2-0,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:26.617,grace,,<1,26.434,35.067,25.116,8-2-0,1-2-0,Waluigi,Biddybuggy,Roller,Paper Glider
2022-08-04,1:26.517,Hobbie,,<1,26.185,35.316,25.016,8-2-0,1-2-0,Dry Bowser,Sneeker,Crimson Slim,Hylian Kite
2022-08-04,1:26.517,TTyler,,<1,26.411,35.223,24.883,8-2-0,1-2-0,Waluigi,Biddybuggy,Azure Roller,Paper Glider
2022-08-04,1:26.517,Doodle,,<1,26.236,35.265,25.016,8-2-0,1-2-0,Wario,Gold Kart,Slim,Paraglider
2022-08-04,1:26.484,nanew,,<1,26.138,35.213,25.133,8-2-0,1-2-0,Wario,Sneeker,Slim,Hylian Kite
2022-08-04,1:26.251,Army,,<1,26.111,35.206,24.934,8-2-0,1-2-0,Wario,Sneeker,Crimson Slim,Hylian Kite
2022-08-04,1:26.234,Army,,<1,26.123,35.311,24.800,8-2-0,1-2-0,Wario,Gold Kart,Crimson Slim,Hylian Kite
2022-08-04,1:26.117,Army,,<1,26.106,35.261,24.750,8-2-0,1-2-0,Wario,Gold Kart,Crimson Slim,Hylian Kite
2022-08-04,1:25.901,Army,,1,26.037,35.147,24.717,8-2-0,1-2-0,Wario,Gold Kart,Crimson Slim,Super Glider
2022-08-05,1:25.817,Hobbie,,1,26.091,34.926,24.800,8-2-0,1-2-0,Heavy Mii Fox,Gold Kart,Crimson Slim,Super Glider
2022-08-05,1:25.817,Army,,1,26.146,35.005,24.666,8-2-0,1-2-0,Wario,Gold Kart,Crimson Slim,Super Glider
2022-08-06,1:25.767,Army,,<1,26.153,34.881,24.733,8-2-0,1-2-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-08-06,1:25.734,Army,,<1,26.153,34.931,24.650,8-2-0,1-2-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-08-06,1:25.634,Army,,<1,26.045,34.856,24.733,8-2-0,1-2-0,Wario,Gold Kart,Crimson Slim,Super Glider
2022-08-06,1:25.567,Army,,<1,26.057,34.844,24.666,8-2-0,1-2-0,Wario,Gold Kart,Crimson Slim,Super Glider
2022-08-06,1:25.501,Army,,<1,26.051,34.800,24.650,8-2-0,1-2-0,Wario,Gold Kart,Crimson Slim,Super Glider
2022-08-06,1:25.384,Army,,2,26.025,34.792,24.567,8-2-0,1-2-0,Wario,Gold Kart,Crimson Slim,Super Glider
2022-08-08,1:25.367,Army,,<1,26.078,34.739,24.550,8-2-0,1-2-0,Wario,Standard Kart,Crimson Slim,Super Glider
2022-08-08,1:25.251,Army,,7,25.967,34.734,24.550,8-2-0,1-2-0,Wario,Standard Kart,Crimson Slim,Super Glider
2022-08-15,1:25.234,Vincent ,,<1,25.985,34.682,24.567,8-2-0,1-2-0,Wario,Standard Kart,Crimson Slim,Super Glider
2022-08-15,1:25.217,Army,,1,26.001,34.666,24.550,8-2-0,1-2-0,Wario,Standard Kart,Crimson Slim,Super Glider
2022-08-16,1:25.117,Army,,<1,25.967,34.650,24.500,8-2-0,1-2-0,Wario,Standard Kart,Crimson Slim,Super Glider
2022-08-16,1:25.017,Army,,21,25.893,34.624,24.500,8-2-0,1-2-0,Wario,Standard Kart,Crimson Slim,Super Glider
2022-09-06,1:24.934,Army,,9,25.891,34.560,24.483,8-2-0,1-2-0,Wario,Standard Kart,Crimson Slim,Super Glider
2022-09-15,1:24.884,Vincent,,1,25.901,34.533,24.450,8-2-0,1-2-0,Wario,Standard Kart,Crimson Slim,Super Glider
2022-09-16,1:24.851,Vincent,,1,25.925,34.492,24.434,8-2-0,1-2-0,Wario,Standard Kart,Crimson Slim,Super Glider
2022-09-17,1:24.834,Army,,1,25.890,34.527,24.417,8-2-0,1-2-0,Wario,Standard Kart,Crimson Slim,Super Glider
2022-09-18,1:24.801,Vincent,,149,25.861,34.506,24.434,8-2-0,1-2-0,Wario,Standard Kart,Crimson Slim,Super Glider
2022-09-25,1:24.801 ,Army,,142,25.803,34.514,24.484,8-2-0,1-2-0,Wario,Standard Kart,Crimson Slim,Super Glider
