Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
2022-03-17,1:00.297,ろーる,,1,20.322,17.235,22.740,9-1-0,2-1-0,Wario,Blue Falcon,Slim,Gold Glider
2022-03-18,1:00.177,Thimo,,<1,20.365,17.157,22.655,9-1-0,2-1-0,Heavy Mii Toad,Sport Bike,Slim,Wario Wing
2022-03-18,1:00.067,alpha,,<1,20.385,17.152,22.530,9-1-0,2-1-0,Wario,Blue Falcon,Slim,Gold Glider
2022-03-18,1:00.053,alpha,,<1,20.311,17.116,22.626,9-1-0,2-1-0,Wario,Blue Falcon,Slim,Gold Glider
2022-03-18,0:59.980,alpha,,<1,20.394,17.109,22.477,9-1-0,2-1-0,Wario,Blue Falcon,Slim,Gold Glider
2022-03-18,0:59.922,Thimo,,<1,20.315,17.048,22.559,9-1-0,2-1-0,Wario,Master Cycle,Slim,Wario Wing
2022-03-18,0:59.917,alpha,,<1,20.366,17.093,22.458,9-1-0,2-1-0,Wario,Blue Falcon,Crimson Slim,Gold Glider
2022-03-18,0:59.914,alpha,,<1,20.379,17.101,22.434,9-1-0,2-1-0,Wario,Blue Falcon,Crimson Slim,Gold Glider
2022-03-18,0:59.837,Pii,,<1,20.207,17.117,22.513,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Super Glider
2022-03-18,0:59.796,alpha,,<1,20.195,17.096,22.505,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-03-18,0:59.791,alpha,,<1,20.236,17.060,22.495,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-03-18,0:59.775,TTyler,,<1,20.141,17.100,22.534,9-1-0,2-1-0,Wario,Gold Kart,Slim,Gold Glider
2022-03-18,0:59.734,TTyler,,<1,20.205,17.126,22.403,9-1-0,2-1-0,Wario,Gold Kart,Slim,Gold Glider
2022-03-18,0:59.701,TTyler,,<1,20.170,17.090,22.441,9-1-0,2-1-0,Wario,Gold Kart,Slim,Gold Glider
2022-03-18,0:59.673,TTyler,,<1,20.197,17.087,22.389,9-1-0,2-1-0,Wario,Gold Kart,Slim,Gold Glider
2022-03-18,0:59.635,alpha,,<1,20.136,17.136,22.363,9-1-0,2-1-0,Wario,Gold Kart,Slim,Gold Glider
2022-03-18,0:59.589,Pii,,<1,20.094,17.116,22.379,9-1-0,2-1-0,Wario,Gold Kart,Slim,Gold Glider
2022-03-18,0:59.589,alpha,,<1,20.109,17.051,22.429,9-1-0,2-1-0,Wario,Gold Kart,Slim,Gold Glider
2022-03-18,0:59.480 ,Army,,<1,20.096,17.088,22.296,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Paraglider
2022-03-18,0:59.436 ,Alberto,,1,20.068,17.079,22.289,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-03-19,0:59.426 ,Alberto,,<1,20.095,17.054,22.277,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-03-19,0:59.411 ,Alberto,,<1,20.073,17.033,22.305,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-03-19,0:59.377 ,Alberto,,<1,20.113,17.024,22.240,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-03-19,0:59.368 ,Alberto,,<1,20.108,17.008,22.252,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-03-19,0:59.348 ,Alberto,,3,20.077,16.996,22.275,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-03-22,0:59.311 ,alpha,,<1,20.066,17.022,22.223,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-03-22,0:59.265 ,alpha,,<1,20.048,17.019,22.198,9-1-0,2-1-0,Wario,Gold Kart,Slim,Gold Glider
2022-03-22,0:59.230 ,Alberto,,<1,20.068,16.995,22.167,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-03-22,0:59.220 ,Alberto,,<1,20.049,16.980,22.191,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-03-22,0:59.215 ,Alberto,,<1,20.095,16.993,22.127,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-03-22,0:59.188 ,Alberto,,19,20.062,16.978,22.148,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-04-10,0:59.187 ,Alberto,,1,20.054,16.944,22.189,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-04-11,0:59.179 ,Alberto,,<1,20.070,16.939,22.170,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-04-11,0:59.165 ,Alberto,,<1,20.022,16.955,22.188,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-04-11,0:59.099 ,Alberto,,202,20.024,16.957,22.118,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Gold Glider
2022-10-30,0:59.093 ,Alberto,,5,20.010,16.984,22.099,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Super Glider
2022-11-04,0:59.090 ,Army,,<1,19.994,16.950,22.146,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Super Glider
2022-11-04,0:59.080 ,Alberto,,1,20.023,16.964,22.093,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Super Glider
2022-11-05,0:59.066 ,Alberto,,<1,20.005,16.956,22.105,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Super Glider
2022-11-05,0:59.058 ,Alberto,,6,19.993,16.969,22.096,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Super Glider
2022-11-11,0:59.049 ,Alberto,,95,20.003,16.954,22.092,9-1-0,2-1-0,Wario,Gold Kart,Crimson Slim,Super Glider
