Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:31.942,Del,,<1,31.647,30.166,30.129,8-2-0,1-1-1,Male Villager,Standard Kart,Off-Road,Super Glider
2017-04-28,1:31.044,Danny,,<1,31.432,29.190,30.422,7-3-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:31.043,Del,,<1,31.550,29.706,29.787,-,1-1-1,King Boo,Splat Buggy,Retro Off-Road,Super Glider
2017-04-28,1:30.672,Hobbie,,<1,31.094,29.683,29.895,9-1-0,1-1-1,Dry Bowser,Splat Buggy,Off-Road,Super Glider
2017-04-28,1:29.881,Hobbie,,<1,31.094,29.762,29.025,9-1-0,1-1-1,Dry Bowser,Splat Buggy,Off-Road,Super Glider
2017-04-28,1:29.420,Hobbie,,<1,31.134,29.296,28.990,9-1-0,1-1-1,Roy,Splat Buggy,Off-Road,Super Glider
2017-04-28,1:28.585,パステル,,<1,30.864,28.831,28.890,10-0-0,1-1-1,Heavy Mii,Jet Bike,Slim,Super Glider
2017-04-28,1:27.991,Hobbie,,<1,30.407,28.934,28.650,9-1-0,1-1-1,Orange Inkling Girl,W 25 Silver Arrow,Off-Road,Super Glider
2017-04-28,1:27.694,Hobbie,,<1,30.396,28.660,28.638,9-1-0,1-1-1,Inkling Girl,Streetle,Roller,Super Glider
2017-04-28,1:27.447,John,,1,30.275,28.639,28.533,9-1-0,1-1-1,Dry Bowser,Streetle,Button,Super Glider
2017-04-29,1:27.135,Hobbie,,<1,30.117,28.572,28.446,9-1-0,1-1-1,Metal Mario,Streetle,Roller,Super Glider
2017-04-29,1:26.791,Hobbie,,<1,30.091,28.374,28.326,9-1-0,1-1-1,Metal Mario,Streetle,Roller,Super Glider
2017-04-29,1:26.451,John,,<1,29.901,28.282,28.268,8-1-0,1-1-1,Dry Bowser,Streetle,Slim,Plane Glider
2017-04-29,1:26.444,Hobbie,,<1,30.023,28.211,28.210,9-1-0,1-1-1,Metal Mario,Streetle,Roller,Super Glider
2017-04-29,1:26.206,Hobbie,,1,29.942,28.208,28.056,9-1-0,1-1-1,Metal Mario,Streetle,Roller,Plane Glider
2017-04-30,1:25.907,Hobbie,,2,29.734,28.043,28.130,9-1-0,1-1-1,Donkey Kong,Streetle,Roller,Plane Glider
2017-05-02,1:25.576,Doodle,,<1,29.842,27.933,27.801,8-2-0,1-1-1,Donkey Kong,Comet,Roller,Parachute
2017-05-02,1:25.293,Doodle,,1,29.722,27.747,27.824,9-1-0,1-1-1,Donkey Kong,Comet,Roller,Parachute
2017-05-03,1:25.235,Doodle,,<1,29.740,27.681,27.814,10-0-0,1-1-1,Roy,Comet,Roller,Peach Parasol
2017-05-03,1:25.094,Doodle,,<1,29.723,27.713,27.658,9-1-0,1-1-1,Roy,Comet,Roller,Peach Parasol
2017-05-03,1:24.884,vxlocity,,2,29.551,27.652,27.681,10-0-0,1-1-1,Roy,Yoshi Bike,Roller,Bowser Kite
2017-05-05,1:24.692,vxlocity,,2,29.417,27.560,27.715,10-0-0,1-1-1,Roy,Yoshi Bike,Leaf Tires,MKTV Parafoil
2017-05-07,1:24.591,Doodle,,11,29.335,27.577,27.679,9-1-0,1-1-1,Roy,Comet,Roller,MKTV Parafoil
2017-05-18,1:24.546,ことちゃんすき,,1,29.464,27.478,27.604,9-1-0,1-1-1,Roy,Comet,Roller,MKTV Parafoil
2017-05-19,1:24.423,ことちゃんすき,,13,29.406,27.486,27.531,9-1-0,1-1-1,Roy,Yoshi Bike,Roller,Paper Glider
2017-06-01,1:24.314,Mike B,,2,29.530,27.369,27.415,10-0-0,1-1-1,Roy,Yoshi Bike,Leaf Tires,Paper Glider
2017-06-03,1:24.133,Mike B,,<1,29.371,27.353,27.409,10-0-0,1-1-1,Roy,Yoshi Bike,Leaf Tires,Plane Glider
2017-06-03,1:24.115,Mike B,,<1,29.362,27.342,27.411,10-0-0,1-1-1,Roy,Yoshi Bike,Leaf Tires,Plane Glider
2017-06-03,1:24.106,Mike B,,<1,29.319,27.379,27.408,10-0-0,1-1-1,Roy,Yoshi Bike,Leaf Tires,Paper Glider
2017-06-03,1:24.093,Mike B,,1,29.268,27.441,27.384,10-0-0,1-1-1,Roy,Yoshi Bike,Leaf Tires,Paper Glider
2017-06-04,1:24.005,Mike B,,5,29.364,27.278,27.363,10-0-0,1-1-1,Roy,Yoshi Bike,Leaf Tires,Paper Glider
2017-06-09,1:23.926,Mike B,,13,29.307,27.310,27.309,10-0-0,1-1-1,Roy,Yoshi Bike,Button,Paper Glider
2017-06-22,1:23.887,Ryan5,,<1,29.286,27.367,27.234,10-0-0,1-1-1,Roy,Yoshi Bike,Button,Paper Glider
2017-06-22,1:23.838,Ryan5,,67,29.234,27.252,27.352,10-0-0,1-1-1,Roy,Yoshi Bike,Button,Paper Glider
2017-08-28,1:23.673,LeeD93,,1,29.181,27.318,27.174,10-0-0,1-1-1,Roy,Yoshi Bike,Button,Cloud Glider
2017-08-29,1:23.642,Ryan5,,1,29.118,27.295,27.229,9-1-0,1-1-1,Roy,Yoshi Bike,Button,Cloud Glider
2017-08-30,1:23.640,Ryan5,,<1,29.167,27.250,27.223,-,1-1-1,Roy,Yoshi Bike,Button,Cloud Glider
2017-08-30,1:23.559,Ryan5,,1,29.159,27.197,27.203,10-0-0,1-1-1,Roy,Yoshi Bike,Button,Cloud Glider
2017-08-31,1:23.474,LeeD93,,<1,29.147,27.238,27.089,10-0-0,1-1-1,Roy,Yoshi Bike,Button,Cloud Glider
2017-08-31,1:23.423,LeeD93,,6,-,-,-,-,-,-,-,-,-
2017-09-06,1:23.392,Ryan5,,8,29.117,27.227,27.048,10-0-0,1-1-1,Roy,Yoshi Bike,Button,Cloud Glider
2017-09-14,1:23.322,LeeD93,,4,29.085,27.234,27.003,10-0-0,1-1-1,Roy,Yoshi Bike,Button,Cloud Glider
2017-09-18,1:23.314,LeeD93,,3,29.125,27.097,27.092,10-0-0,1-1-1,Roy,Yoshi Bike,Button,Cloud Glider
2017-09-21,1:23.283,LeeD93,,4,29.037,27.183,27.063,10-0-0,1-1-1,Roy,Yoshi Bike,Button,Cloud Glider
2017-09-25,1:23.216,LeeD93,,176,29.088,27.144,26.984,10-0-0,1-1-1,Roy,Yoshi Bike,Button,Cloud Glider
2018-03-20,1:23.192,Thimo,,2,28.973,27.277,26.942,10-0-0,1-1-1,Roy,Comet,Button,Paper Glider
