Date,Time,Player,Nation,Days,Lap 1,Lap 2,Lap 3,Coins,Shrooms,Character,Kart,Tires,Glider
Pre-release,1:45.171,パステル,,<1,36.387,34.474,34.310,10-0-0,1-1-1,Bowser,Comet,Slim,Super Glider
2017-04-28,1:45.023,パステル,,<1,36.227,34.310,34.486,10-0-0,1-1-1,Bowser,Sport Bike,Slim,Super Glider
2017-04-28,1:44.993,パステル,,<1,36.195,34.383,34.415,10-0-0,1-1-1,Heavy Mii,Jet Bike,Slim,Super Glider
2017-04-28,1:44.988,Domenico,,<1,-,-,-,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:44.832,Domenico,,<1,-,-,-,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:44.765,Domenico,,<1,36.221,34.269,34.275,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:44.371,Domenico,,<1,-,-,-,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:44.311,Domenico,,<1,36.078,34.131,34.102,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:44.267,Domenico,,<1,36.099,34.037,34.131,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-28,1:44.202,Domenico,,1,36.038,34.085,34.079,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Plane Glider
2017-04-29,1:44.139,Domenico,,<1,36.035,34.112,33.992,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Plane Glider
2017-04-29,1:44.103,Domenico,,<1,35.955,34.105,34.043,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-29,1:44.004,Domenico,,<1,35.956,34.048,34.000,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-29,1:43.908,Domenico,,1,35.843,33.945,34.120,10-0-0,1-1-1,Morton,Splat Buggy,Slim,Super Glider
2017-04-30,1:43.835,ゆゆゆ,,3,35.901,33.986,33.948,10-0-0,1-1-1,Wario,Yoshi Bike,Roller,Wario Wing
2017-05-03,1:43.701,Doodle,,3,35.851,33.841,34.009,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Peach Parasol
2017-05-06,1:43.604,がおる,,<1,35.789,33.834,33.981,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Cloud Glider
2017-05-06,1:43.593,Doodle,,1,35.750,33.917,33.926,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Cloud Glider
2017-05-07,1:43.588,こまつな,,<1,35.697,33.873,34.018,10-0-0,1-1-1,Dry Bowser,Yoshi Bike,Roller,Parachute
2017-05-07,1:43.580,ゆゆゆ,,<1,35.687,33.883,34.010,10-0-0,1-1-1,Wario,Yoshi Bike,Azure Roller,Peach Parasol
2017-05-07,1:43.526,Doodle,,1,35.720,33.926,33.880,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Cloud Glider
2017-05-08,1:43.519,zono,,<1,35.717,33.852,33.950,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Parachute
2017-05-08,1:43.486,Doodle,,<1,35.710,33.897,33.879,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Cloud Glider
2017-05-08,1:43.172,zono,,<1,35.632,33.647,33.893,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Parachute
2017-05-08,1:43.144,Alex94,,1,35.600,33.770,33.774,10-0-0,1-1-1,Wario,Comet,Button,Parachute
2017-05-09,1:43.083,zono,,3,35.653,33.735,33.695,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Parachute
2017-05-12,1:43.059,Alex94,,1,35.567,33.714,33.778,10-0-0,1-1-1,Wario,Comet,Roller,Bowser Kite
2017-05-13,1:42.960,Cole,,<1,35.557,33.610,33.793,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Parachute
2017-05-13,1:42.932,Doodle,,<1,35.509,33.601,33.822,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Cloud Glider
2017-05-13,1:42.851,Cole,,<1,35.442,33.710,33.699,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Parachute
2017-05-13,1:42.680,Cole,,22,35.426,33.621,33.633,10-0-0,1-1-1,Dry Bowser,Comet,Roller,Parachute
2017-06-04,1:42.607,zono,,<1,35.452,33.537,33.618,10-0-0,1-1-1,Dry Bowser,Yoshi Bike,Roller,Cloud Glider
2017-06-04,1:42.524,めまい,,7,35.317,33.573,33.634,10-0-0,1-1-1,Dry Bowser,Yoshi Bike,Roller,Cloud Glider
2017-06-11,1:42.519,Mike B,,5,35.317,33.579,33.623,10-0-0,1-1-1,Wario,Yoshi Bike,Azure Roller,Paper Glider
2017-06-16,1:42.481,Mike B,,22,35.347,33.571,33.563,10-0-0,1-1-1,Wario,Yoshi Bike,Azure Roller,Paper Glider
2017-07-08,1:42.452,Mike B,,3,35.296,33.555,33.601,10-0-0,1-1-1,Wario,Yoshi Bike,Azure Roller,Paper Glider
2017-07-11,1:42.436,Mike B,,8,35.299,33.550,33.587,10-0-0,1-1-1,Wario,Yoshi Bike,Azure Roller,Paper Glider
2017-07-19,1:42.352,zono,,53,35.289,33.504,33.559,10-0-0,1-1-1,Wario,Yoshi Bike,Roller,Cloud Glider
2017-09-10,1:42.313,Mike B,,38,35.265,33.485,33.563,10-0-0,1-1-1,Wario,Yoshi Bike,Azure Roller,Paper Glider
2017-10-18,1:42.312,SuperFX,,10,35.216,33.508,33.588,10-0-0,1-1-1,Wario,Yoshi Bike,Roller,Cloud Glider
2017-10-28,1:42.222,SuperFX,,77,35.233,33.429,33.560,10-0-0,1-1-1,Wario,Yoshi Bike,Roller,Cloud Glider
2018-01-13,1:42.180,X treme,,118,35.234,33.470,33.476,10-0-0,1-1-1,Roy,Biddybuggy,Roller,Cloud Glider
2018-05-11,1:42.174,Ryan's,,3,35.223,33.532,33.419,9-1-0,1-1-1,Roy,Biddybuggy,Roller,Paper Glider
2018-05-14,1:42.130,Ryan's,,11,35.156,33.471,33.503,9-1-0,1-1-1,Roy,Biddybuggy,Roller,Paper Glider
2018-05-25,1:42.102,おまえモナー,,1,35.215,33.410,33.477,9-1-0,1-1-1,Roy,Biddybuggy,Azure Roller,Flower Glider
2018-05-26,1:42.070,おまえモナー,,<1,35.215,33.437,33.418,9-1-0,1-1-1,Roy,Biddybuggy,Azure Roller,Cloud Glider
